"gr.",\N,"0","liv","6648","0",\N,"0","ἔφαγον","root aorist","aß (auf)","ate (up)",\N,"0","3","3: Suppl. zu ἐσθίω bzw. ἔδω, s. *h₁ed-.","[gr. ἔφαγον ‘aß (auf)’{3}","TD, AMB","2025-07-23 15:16:00","AMB","root aorist","270",\N,"201"
"ved.",\N,"1","liv","6649","0",\N,"1","bhájati","full-grade e-present","teilt zu","assigns / allots",\N,"0","","","ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’","TD, AMB","2025-07-23 15:16:00","AMB","full-grade e-present","270",\N,"201"
"ved.",\N,"2","liv","6649","0",\N,"2","bhájate","full-grade e-present","bekommt Anteil","receives a share",\N,"0","","","ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’","TD, AMB","2025-07-23 15:16:00","AMB","full-grade e-present","270",\N,"201"
"jav.",\N,"3","liv","6649","0",\N,"3","bažat̰","full-grade e-present","teilt zu, verteilt","allots, distributes",\N,"0","","","jav. bažat̰ ‘teilt zu, verteilt’","TD, AMB","2025-07-23 15:16:00","AMB","full-grade e-present","270",\N,"201"
"ved.",\N,"4","liv","6650","0",\N,"4","bhājáyati","éi̯e-causative–iterative","läßt Anteil nehmen","lets (someone) take a share",\N,"0","","","ved. bhājáyati ‘läßt Anteil nehmen’","TD, AMB","2025-07-23 15:16:00","AMB","éi̯e-causative–iterative","270",\N,"201"
"ved.",\N,"5","liv","6651","0",\N,"5","bhejé","perfect","hat (als Anteil bekommen)","has received (as a share)",\N,"0","3a","3a","ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}","TD, AMB","2025-07-23 15:16:00","AMB","perfect","270",\N,"201"
"ved.",\N,"6","liv","6651","0",\N,"6","babhā́ja","perfect","hat zugeteilt","has allotted",\N,"0","3a","3a","ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}","TD, AMB","2025-07-23 15:16:00","AMB","perfect","270",\N,"201"
"ved.",\N,"7","liv","6652","0",\N,"7","abhakṣayam","s-desiderative","genoß, trank","enjoyed, drank",\N,"0","4","4: Falls Iterativbildung zu einem Desider. *bhákṣa- (das im Ved. nicht sicher belegt ist, s. GOTŌ 222469) und nicht mit EWAia II 239 denominativ zu bhakṣá- m. ‘Genuß, Trank, Speise’.","[ved. abhakṣayam ‘genoß, trank’{4}","TD, AMB","2025-07-23 15:16:00","AMB","s-desiderative","270",\N,"201"
"jav.",\N,"8","liv","6652","0",\N,"8","baxšaiti","s-desiderative","teilt aus","distributes",\N,"0","5","5: Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen.","[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}","TD, AMB","2025-07-23 15:16:00","AMB","s-desiderative","270",\N,"201"
"jav.",\N,"9","liv","6652","0",\N,"9","baxšaite","s-desiderative","bekommt als Anteil","receives as a share",\N,"0","5","5: Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen.","[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}","TD, AMB","2025-07-23 15:16:00","AMB","s-desiderative","270",\N,"201"
"ved.",\N,"10","liv","6653","0",\N,"10","bhíkṣate","reduplicated sé-desiderative","wünscht, (er)bettelt","wishes, begs",\N,"0","6","6: *‘Anteil bekommen wollen’; daraus Neowurzel bhikṣ abstrahiert: z.B. Perf. bibhikṣe Chr̥.","ved. bhíkṣate ‘wünscht, (er)bettelt’{6}","TD, AMB","2025-07-23 15:16:00","AMB","reduplicated sé-desiderative","270",\N,"201"
"ved.",\N,"11","liv","6654","0",\N,"11","bhāk","s-aorist","teilt zu","assigns / allots",\N,"0","","","ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}","TD, AMB","2025-07-23 15:16:00","AMB","s-aorist","270",\N,"201"
"ved.",\N,"12","liv","6654","0",\N,"12","ábhakṣi","s-aorist","habe Anteil bekommen","have received a share",\N,"0","","","ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}","TD, AMB","2025-07-23 15:16:00","AMB","s-aorist","270",\N,"201"
"aav.",\N,"13","liv","6654","0",\N,"13","baxšaiti","s-aorist","soll zuteilen","should allot",\N,"0","","","aav. Konj. baxšaiti ‘soll zuteilen’, 3s Inj. Med. baxštā ‘nimmt Anteil’","TD, AMB","2025-07-23 15:16:00","AMB","s-aorist","270",\N,"201"
"aav.",\N,"14","liv","6654","0",\N,"14","baxštā","s-aorist","nimmt Anteil","takes a share",\N,"0","","","aav. Konj. baxšaiti ‘soll zuteilen’, 3s Inj. Med. baxštā ‘nimmt Anteil’","TD, AMB","2025-07-23 15:16:00","AMB","s-aorist","270",\N,"201"
"heth.",\N,"15","liv","6655","1",\N,"15","paddai","e-reduplicated athematic present","gräbt","digs",\N,"1","2","2: Zur Lesung und Lautung s. MELCHERT, AHP 33-4 mit Lit.; dd für *dʰ ist nur aus einer Gruppe *dʰh₂ erklärbar, vgl. JASANOFF, l.c. 87; MELCHERT, AHP 77.","?[heth. paddai ‘gräbt’{2}","TD, AMB","2025-07-23 15:16:00","AMB","e-reduplicated athematic present","297",\N,"222"
"lat.",\N,"16","liv","6655","1","18501","16","fodiō, -ere","e-reduplicated athematic present","graben","to dig",\N,"0","3","3: Aus deredupliziertem *bʰodʰ- weitergebildet; mit neuem Dehnungsperfekt fōdi.","[lat. fodiō, -ere ‘graben’{3}","TD, AMB","2025-07-23 15:16:00","AMB","e-reduplicated athematic present","297",\N,"222"
"aksl.",\N,"17","liv","6655","1",\N,"17","bodǫ","e-reduplicated athematic present","stechen","pierce / stab",\N,"0","4","4: Nach VAILLANT III 151 wird o-stufiges *bada- auch vom apr. Ptz. Prät. em-baddusisi ‘hineingesteckt’ vorausgesetzt.","[aksl. bodǫ, (bosti) ‘stechen’{4}","TD, AMB","2025-07-23 15:16:00","AMB","e-reduplicated athematic present","297",\N,"222"
"aksl.",\N,"18","liv","6655","1",\N,"18","bosti","e-reduplicated athematic present","stechen","pierce / stab",\N,"0","4","4: Nach VAILLANT III 151 wird o-stufiges *bada- auch vom apr. Ptz. Prät. em-baddusisi ‘hineingesteckt’ vorausgesetzt.","[aksl. bodǫ, (bosti) ‘stechen’{4}","TD, AMB","2025-07-23 15:16:00","AMB","e-reduplicated athematic present","297",\N,"222"
"lit.",\N,"19","liv","6656","1",\N,"19","bedù","full-grade e-present","stechen, graben","pierce, dig",\N,"0","","","lit. bedù, (bèsti) ‘stechen, graben’","TD, AMB","2025-07-23 15:16:00","AMB","full-grade e-present","297",\N,"222"
