"4096","aperiō","2286",\N,"2844",\N
"4097","apiō","2432",\N,"2888",\N
"4098","agō","2688",\N,"1534",\N
"4099","aiō","2705",\N,"1585",\N
"4100","āreō","2719",\N,"3355",\N
"4101","aceō","2762",\N,"417",\N
"4102","alō","2768",\N,"1884",\N
"4103","adoleō","2774",\N,"904",\N
"4104","adolēscō","2778",\N,"906",\N
"4105","algeō","2789",\N,"1729",\N
"4106","ambulō","2797",\N,"2097",\N
"4107","angō","2803",\N,"2445",\N
"4108","amō","2818",\N,"2177",\N
"4109","arō","2895",\N,"3541",\N
"4110","arceō","2909",\N,"3243",\N
"4111","aueō","2920",\N,"4460",\N
"4112","augeō","2927",\N,"4257",\N
"4113","aboleō","3207",\N,"142",\N
"4114","abnuō","5470",\N,"138",\N
"4115","bibō","5564",\N,"5024",\N
"4116","accendō","6926",\N,"313",\N
"4117","barba","9067",\N,"4691",\N
"4118","barbātus","9074",\N,"4708",\N
"4119","acerbus","10589",\N,"425",\N
"4120","abdōmen","10629",\N,"50",\N
"4121","abditus","10746",\N,"47",\N
"4122","aurifex","10793",\N,"4338",\N
"4123","benignus","11138",\N,"4947",\N
"4124","agnōmen","11328",\N,"1527",\N
"4125","bīmus","11481",\N,"5107",\N
"4126","aduentor","11598",\N,"1021",\N
"4127","aduentus","11612",\N,"1024",\N
"4128","acupedius","11962",\N,"620",\N
"4129","accipiter","11964",\N,"351",\N
"4130","aditus","12280",\N,"792",\N
"4131","aditiō","12348",\N,"790",\N
"4132","ariēs","12426",\N,"3452",\N
"4133","absēns","12468",\N,"198",\N
"4134","axis","12775",\N,"4514",\N
"4135","āla","12785",\N,"1592",\N
"4136","aureax","12879",\N,"4323",\N
"4137","ambāgēs","12881",\N,"2045",\N
"4138","agō","12893",\N,"1534",\N
"4139","agōnium","12895",\N,"1544",\N
"4140","agōnia","12896",\N,"1542",\N
"4141","āctor","12899",\N,"597",\N
"4142","agmen","12902",\N,"1511",\N
"4143","āctus","12911",\N,"608",\N
"4144","abiga","12919",\N,"79",\N
"4145","ager","12935",\N,"1467",\N
"4146","āctus","12958",\N,"608",\N
"4147","āctum","12960",\N,"605",\N
"4148","āctiō","12966",\N,"590",\N
"4149","agī̆na","12971",\N,"1497",\N
"4150","agolum","12973",\N,"1537",\N
"4151","agilis","12975",\N,"1494",\N
"4152","aeuum","13013",\N,"1371",\N
"4153","aetās","13074",\N,"1345",\N
"4154","aeuitas","13075",\N,"1369",\N
"4155","acer","13135",\N,"419",\N
"4156","acernus","13150",\N,"428",\N
"4157","ācer","13155",\N,"419",\N
"4158","ācer","13156",\N,"419",\N
"4159","acus","13166",\N,"621",\N
"4160","aciēs","13170",\N,"499",\N
"4161","acus","13172",\N,"621",\N
"4162","acor","13183",\N,"531",\N
"4163","agna","13196",\N,"1514",\N
"4164","acia","13199",\N,"491",\N
"4165","angor","13299",\N,"2446",\N
"4166","angustus","13315",\N,"2472",\N
"4167","anxius","13319",\N,"2815",\N
"4168","antae","13356",\N,"2594",\N
"4169","animus","13382",\N,"2515",\N
"4170","anima","13384",\N,"2494",\N
"4171","anhēlus","13402",\N,"2477",\N
"4172","animālis","13404",\N,"2501",\N
"4173","animal","13405",\N,"2500",\N
"4174","amnis","13436",\N,"2175",\N
"4175","argūtus","13495",\N,"3431",\N
"4176","argentum","13514",\N,"3392",\N
"4177","arātor","13545",\N,"3189",\N
"4178","aruum","13575",\N,"3674",\N
"4179","arūus","13576",\N,"3675",\N
"4180","arātrum","13587",\N,"3191",\N
"4181","arātiō","13604",\N,"3186",\N
"4182","augmen","13632",\N,"4263",\N
"4183","augmentum","13633",\N,"4265",\N
"4184","auctor","13640",\N,"4210",\N
"4185","auctificus","13643",\N,"4203",\N
"4186","auctifer","13644",\N,"4201",\N
"4187","auctus","13649",\N,"4221",\N
"4188","auctiō","13679",\N,"4204",\N
"4189","augustus","13681",\N,"4295",\N
"4190","Auximum","13682",\N,"4439",\N
"4191","auris","13820",\N,"4357",\N
"4192","aurōra","14044",\N,"4362",\N
"4193","aurum","14079",\N,"4369",\N
"4194","auster","14090",\N,"4395",\N
"4195","Aurēlius","14107",\N,"4325",\N
"4196","atrōx","14170",\N,"4103",\N
"4197","antīquus","14274",\N,"2766",\N
"4198","antīcus","14275",\N,"2723",\N
"4199","aciēs","14328",\N,"499",\N
"4200","biiugis","14524",\N,"5081",\N
"4201","aequinoctium","16014",\N,"1247",\N
"4202","binoctium","16015",\N,"5112",\N
"4203","bipēs","16263",\N,"5134",\N
"4204","antepēs","16267",\N,"2661",\N
"4205","acupedius","16371",\N,"620",\N
"4206","bīrotus","16967",\N,"5140",\N
"4207","assessor","17266",\N,"3853",\N
"4208","agrestis","17940",\N,"1554",\N
"4209","antistes","18012",\N,"2776",\N
"4210","ā","19227",\N,"1",\N
"4211","āh","19228",\N,"1576",\N
"4212","amnis","19235",\N,"2175",\N
"4213","Abella","19247",\N,"57",\N
"4214","ad","19321",\N,"635",\N
"4215","atque","19322",\N,"4073",\N
"4216","ac","19323",\N,"274",\N
"4217","ador","19361",\N,"923",\N
"4218","agō","19383",\N,"1534",\N
"4219","āctus","19402",\N,"608",\N
"4220","ambactus","19403",\N,"2043",\N
"4221","ambāgēs","19418",\N,"2045",\N
"4222","abiga","19436",\N,"79",\N
"4223","agmen","19443",\N,"1511",\N
"4224","agilis","19448",\N,"1494",\N
"4225","agolum","19450",\N,"1537",\N
"4226","agēa","19453",\N,"1459",\N
"4227","agīna","19470",\N,"1497",\N
"4228","acnua","19474",\N,"519",\N
"4229","āctus","19475",\N,"608",\N
"4230","actūtum","19476",\N,"609",\N
"4231","agāsō","19477",\N,"1452",\N
"4232","agō","19478",\N,"1534",\N
"4233","agōnium","19479",\N,"1544",\N
"4234","axis","19484",\N,"4514",\N
"4235","āla","19495",\N,"1592",\N
"4236","axilla","19496",\N,"4510",\N
"4237","ager","19532",\N,"1467",\N
"4238","agrestis","19544",\N,"1554",\N
"4239","Agrippa","19661",\N,"1567",\N
"4240","ascia","19676",\N,"3702",\N
"4241","agnus","19679",\N,"1533",\N
"4242","agninus","19693",\N,"1522",\N
"4243","aemulus","19725",\N,"1174",\N
"4244","aedēs","19789",\N,"1079",\N
"4245","aedis","19790",\N,"1095",\N
"4246","aestās","19792",\N,"1321",\N
"4247","aestus","19793",\N,"1343",\N
"4248","aeger","19859",\N,"1111",\N
"4249","aegrotus","19860",\N,"1151",\N
"4250","aesculus","19897",\N,"1313",\N
"4251","aes","19984",\N,"1299",\N
"4252","aēnus","19989",\N,"1197",\N
"4253","aēneus","19991",\N,"1187",\N
"4254","aestimō","19995",\N,"1331",\N
"4255","aeuum","20093",\N,"1371",\N
"4256","aetas","20094",\N,"1345",\N
"4257","aeuitas","20095",\N,"1369",\N
"4258","aeternus","20099",\N,"1351",\N
"4259","acidus","20142",\N,"497",\N
"4260","acētum","20143",\N,"449",\N
"4261","aciēs","20180",\N,"499",\N
"4262","acus","20195",\N,"621",\N
"4263","acūmen","20197",\N,"616",\N
"4264","acia","20198",\N,"491",\N
"4265","ācrifolium","20200",\N,"549",\N
"4266","aculeus","20201",\N,"615",\N
"4267","accipiter","20202",\N,"351",\N
"4268","agna","20243",\N,"1514",\N
"4269","acer","20263",\N,"419",\N
"4270","acernus","20273",\N,"428",\N
"4271","ācer","20291",\N,"419",\N
"4272","ācra","20292",\N,"537",\N
"4273","acerbus","20296",\N,"425",\N
"4274","acus","20331",\N,"621",\N
"4275","aceruus","20332",\N,"438",\N
"4276","Acca","20365",\N,"303",\N
"4277","aqua","20385",\N,"3109",\N
"4278","aquilus","20386",\N,"3148",\N
"4279","aquila","20387",\N,"3132",\N
"4280","aquilō","20388",\N,"3143",\N
"4281","alius","20506",\N,"1808",\N
"4282","aliēnus","20508",\N,"1757",\N
"4283","aliquis","20509",\N,"1789",\N
"4284","alicubi","20510",\N,"1746",\N
"4285","alter","20511",\N,"1920",\N
"4286","altrinsecus","20513",\N,"1961",\N
"4287","altrōuorsum","20514",\N,"1963",\N
"4288","adulter","20516",\N,"983",\N
"4289","alternus","20517",\N,"1933",\N
"4290","alō","20549",\N,"1884",\N
"4291","adultus","20553",\N,"992",\N
"4292","aboleō","20555",\N,"142",\N
"4293","alimentum","20560",\N,"1761",\N
"4294","alimōnia","20561",\N,"1764",\N
"4295","altus","20578",\N,"1965",\N
"4296","almus","20611",\N,"1881",\N
"4297","ālea","20661",\N,"1692",\N
"4298","ambulō","20662",\N,"2097",\N
"4299","alūcinor","20664",\N,"1968",\N
"4300","adoleō","20672",\N,"904",\N
"4301","adolēscō","20673",\N,"906",\N
"4302","alacer","20678",\N,"1600",\N
"4303","alica","20707",\N,"1743",\N
"4304","albus","20732",\N,"1662",\N
"4305","albula","20736",\N,"1654",\N
"4306","alburnus","20737",\N,"1661",\N
"4307","albūcus","20739",\N,"1651",\N
"4308","Albis","20774",\N,"1643",\N
"4309","Albula","20780",\N,"1654",\N
"4310","Albiōn","20782",\N,"1641",\N
