lex_ref_link_id,match_str
69,fārī
98,fidī
292,fūgī
340,fulsī
349,flēre
351,flāre
359,flāgō
374,flīxī
424,frēgī
485,fruī
506,fūi
507,fuās
521,fīerī
593,Präs
649,dīxī
675,didicī
676,didicī
712,indulsī
727,dolēre
866,dūxī
1104,fēcī
1136,fīnxī
1148,fiuō
1149,figere
1342,trāxī
1386,suffire
1454,genuī
1464,genunt
1483,nāscī
1538,gnōuī
1628,horitur
1666,fūdī
1799,glūpsī
1837,prehendī
2268,ioubē
2278,mulcēre
2322,ēsse
2332,ēdī
2363,ier
2383,iī
2419,ēmī
2421,dēmpsī
2436,coēpī
2551,ussī
2700,ēgī
2706,aī̆s
2769,alere
2775,olēre
2798,ambulāre
2921,auēre
2926,auxī
2931,induī
2932,exuī
2937,ind
2943,hausī
2952,lēxī
2958,lēuī
2996,momordī
2997,memordī
3208,dēlēre
3264,meiere
3270,mīxī
3310,rēxī
3488,cecidī
3722,cloāre
3799,querī
3813,cecinī
3908,perculī
3959,cucurrī
3987,cumbō
3989,cubāre
4015,cecidī
4059,clepsī
4096,cōnīxī
4145,crepuī
4339,coluī
4457,quiēuī
4510,lēgī
4608,lūsī
4624,līnxī
4668,līquī
4787,polluī
4868,lūxī
4877,lūcēre
4893,madēre
4933,medērī
5011,misc
5029,micuī
5043,mitat
5047,mīsī
5137,comminīscī
5230,morirī
5267,mersī
5300,ēmūnxī
5467,adnūit
5468,adnuī
5471,adnuō
5533,pāuī
5587,pinxī
5639,pexī
5665,coxī
5700,pepulī
5753,parentēs
5762,peperī
5777,pepercī
5790,pepēdī
5826,pepugī
5827,pupugī
5853,pauīre
5861,plēuī
5919,plexī
6006,poposcī
6060,rāsī
6115,rēpsī
6256,rūpī
6308,sedī
6362,sēuī
6401,sāgīre
6466,secuī
6507,inque
6510,insece
6518,inque
6560,cōnsuluī
6617,sēnsī
6650,sarsī
6657,serpsī
6703,sūxī
6720,insipiō
6841,scicidī
6842,scidi
6917,scandī
6925,accendī
6985,carpsī
6988,carrō
7042,scrīpsī
7065,cussī
7165,nēs
7174,nēuī
7182,nat
7183,nāmus
7184,nāre
7188,nāuī
7211,nūpsī
7230,spexī
7249,spōnsis
7251,spepondī
7259,pependī
7329,spuī
7353,sprēuī
7378,sparsī
7413,tēxī
7446,stetī
7460,stāre
7540,stinxī
7544,tonuī
7611,tutudī
7653,strīnxī
7795,tagam
7796,attigās
7798,tetigī
7869,abstulās
7943,tetinī
7958,tetendī
7962,totondī
7967,tīnxī
8015,tersī
8020,terere
8084,torpēre
8131,tuī
8199,sīuī
8302,trūsī
8441,uēxī
8466,uāsī
8484,uīdī
8609,uirēre
8693,uoluī
8695,uelim
8712,uellī
8794,uerērī
8865,uorrī
8876,uertor
8889,uortī
8930,uetāre
8968,ursī
9003,ringī
9286,Fort
9696,imbus
10133,perendinō
10134,perendinum
10175,Diouos
10178,Iuppiter
10179,Iūpiter
10181,Iouis
10213,diēī
10244,nudiustertius
10278,deiuos
10279,deiuom
10476,homōnem
10710,fēsiae
10794,aurufex
10796,carnufex
11111,genta
11185,gentum
11254,gnāuus
11264,adgnātus
11361,nōtum
11362,nōtū
11363,ignōtu
11834,būbus
11963,acupes
11973,ōcissimus
11974,ōcissimē
12021,hērem
12022,heredei
12076,ēsum
12083,ēsse
12116,dentum
12250,praitor
12281,itum
12282,itū
12330,uītāre
12617,Iouuem
12630,leibertās
12880,agī
12891,fūstigāre
13014,aeuus
13040,Iūnō
13313,anctus
13403,hālāre
13574,arua
13674,auctum
13799,auscultāre
14276,anticuus
14471,iecinis
14472,iecinoris
14473,iocineris
14474,iocinoris
14504,iniuges
14505,sēiuges
14513,iuga
14514,iuges
14522,iouxmenta
14581,iugulus
14582,iugulae
14677,cōtēs
14827,auscultāre
14935,Cloelia
14936,Clouātius
15042,canum
15193,licuus
15373,mātrīnus
15562,maiosibus
15575,Maiia
15673,mollior
15736,membrānum
15895,breuissimus
15986,noctium
16088,nāuem
16089,nāuī
16090,nāuium
16138,nepōtis
16238,ādes
16357,tripodāre
16398,peccāre
16405,pessumus
16531,coctū
16666,Iuppiter
16715,patrīnus
16978,rotulus
17031,roudus
17036,robosem
17539,senis
17675,niuis
17676,niuem
17770,inpēnsa
18021,instaurāre
18297,locī
18378,suodālēs
18595,succula
18842,torrus
18843,torrus
18910,utrem
19004,ūrīnārī
19420,agī
19445,ammentum
19459,rēmigāre
19462,indigitēs
19463,indigitāre
19680,agnīle
19694,auillus
19794,aestuāre
