string,lemma
fārī,fāra
fidī,fidī
fūgī,fūgī
fulsī,fulsīa
flēre,flēer
flāre,flāer
flāgō,flāgō
flīxī,flīxī
frēgī,frēo
fremere,fremo
fruī,fruī
fūi,fūes
fuās,fuās
fīerī,fīer
Präs,Präs
prodēre,prodēo
dedī,deus
dīxī,dīxī
didicī,didex
didicī,didex
indulsī,induls
dolēre,dolēa
reddere,reddo
reddidī,reddo
fēcī,fēcī
factud,facio
fīnxī,fīno
fiuō,fius
figere,figeo
fīxī,fīo
foue,foueo
trāxī,trāxī
suffire,suffirio
genuī,genuī
genunt,gigo
nāscī,nāscī
gnōuī,gnōuī
horitur,horo
fūdī,fūdī
glūpsī,glūpsī
prehendī,preho
ingruī,ingruo
uenire,uenio
uēnī,uēnio
offendere,offendo
iēcī,eo
ioubē,ioubē
mulsī,mulsus
mulcēre,mulcēria
operire,operio
ēsse,ēsse
edim,edo
ire,eo
ier,ier
iī,iī
ēmī,ēmī
dēmpsī,dēmpsī
coēpī,coēpī
est,sum
ussī,ussī
ēgī,ēgī
aī̆s,aī̆s
icō,io
īcī,īcīo
alere,aliuo
olēre,olēer
algēre,algeo
ambulāre,ambulāri
auēre,auēir
auxī,auxī
induī,induī
exuī,exuī
ind,ind
hausī,hausī
lēuī,lēum
mulsī,mulsīa
momordī,momor
memordī,memordmes
oit,eo
dēlēre,dēlēir
meiere,meieo
mīxī,mīxī
iūnxī,iūngo
cecidī,cecidulum
crēuī,crēo
cluere,cluo
cloāre,cloāer
querī,quer
cecinī,cecus
perculī,perculī
currere,curro
cucurrī,cuco
cubuī,cubus
cumbō,cumbōum
cubāre,cubāo
cecidī,cacio
clepere,clepo
clepsī,clepsī
crēuī,crēuī
crepuī,crepuī
coluī,coluī
quiēuī,quiēus
lēgī,lēgī
lūsī,lūsī
līquī,līquī
polluī,polluī
lūī,lūo
luere,luo
soluere,soluo
lūcēre,lūcēes
madēre,madio
medērī,medērīo
misc,miscus
micuī,micus
mitat,mito
moluī,molus
comminīscī,comminīer
mānsī,māneo
morirī,mor
mergere,mergo
mergere,mergo
ēmūnxī,ēmūnxī
adnūit,adnūo
adnuī,adnus
adnuō,adnus
pāuī,pāuī
pacunt,paco
pinxī,pinxī
pepulī,pepulī
parentēs,parentēs
peperī,peperī
pepercī,pepercī
pepēdī,pepio
pungere,pungo
pepugī,pepuio
pupugī,pupugo
pauīre,pauīrium
plēuī,plēuī
poposcī,poposcs
rēpsī,rēpsī
rŭdere,rŭdo
rūpī,rūpī
sēuī,sēuī
sāgīre,sāgī
secuī,secuī
inquit,inquam
inque,inque
insece,insexi
inquit,inquam
inque,inque
cōnsuluī,cōnsulus
sēnsī,sēnsī
sarsī,sarsī
serpsī,serpsī
sūxī,sūxī
insipiō,insipiō
scicidī,scicio
scidi,scido
scandī,scandī
accendī,accendī
carpsī,carpsī
carrō,carrō
scrīpsī,scrīpsī
quassī,quassus
cussī,cussī
nēs,nēs
net,neo
nēre,nēo
nēuī,nēuī
nat,nat
nāmus,nāmus
nāre,nāre
nāuī,nāuī
nūpsī,nūpsī
spōnsis,spōnsis
spepondī,spepon
pependī,pepeo
spuī,spuī
sprēuī,sprēuī
sparsī,sparsī
tēxī,tēxī
stāre,stāer
stinxī,stinx
tonuī,tonuī
strīnxī,strīnxī
tagam,tagxa
attigās,attigās
tetigī,tetigīa
abstulās,abstulās
attulat,attulo
tetinī,tetinus
tetendī,teteo
totondī,toton
tīnxī,tīnxī
tersī,tersī
terere,tereo
torpēre,torpēa
tuī,tuīa
sīuī,sīuī
trūsī,trūsī
uēxī,uēxī
uīdī,uīdo
uīcī,uīeo
uirēre,uiro
uoluī,uoluī
uult,uolo
uelim,uelio
uellī,ueller
uerērī,uerērī
uorrī,uorr
uertor,ueror
uertī,uerto
uortī,uortus
uetuī,uetus
uetāre,uetāre
uiēre,uio
ursī,ursī
ringī,ringī
Fort,Fort
fer,fero
imbus,imbus
datrīx,do
datum,do
datū,do
dare,do
reddere,reddo
datum,do
perendinō,perendo
perendinum,perendeo
Diouem,diouis
Diouos,diouus
Dioue,dio
Ioue,ios
Iuppiter,iuppiter
Iūpiter,Iūpiter
Iouem,ios
Iouis,iouis
Ioue,ios
diem,dies
diēī,diēīas
nudiustertius,nudiuustertus
biduum,biduus
deiuos,deiuus
deiuom,deuus
hemonem,hemo
homōnem,homōn
conditum,condo
condere,condo
abdere,abdo
fēsiae,fēsia
aurufex,aurufex
carnufex,carnufo
genta,gentus
gentum,gentus
genere,genus
gnāuus,gnāuus
adgnātus,adgnātus
gnātā,gnātus
nationu,natio
nōtum,nōo
nōtū,nōtū
ignōtu,igngo
bouem,bos
būbus,būbus
acupes,acup
ōcissimus,ōcisser
ōcissimē,ōcissem
hērem,hēris
heredei,heredior
ēsum,ēsum
esu,esus
ēsse,ēsse
escas,esca
dentum,dentus
iteris,iter
praitor,praitor
itum,itum
itū,itū
uītāre,uītāa
Iouuem,iouo
leibertās,leibertās
nāuex,nāuo
agī,agī
fūstigāre,fūstigāre
aeuus,aeuus
Iūnō,Iūnō
angiportum,angiportus
anctus,anctus
hālāre,hālār
arguere,arguo
arua,arua
arātum,arātus
auctum,aucio
auscultāre,auscultāre
anticuus,anticuus
aureae,aurea
iecinis,iecinum
iecinoris,iecinor
iocineris,iocinera
iocinoris,iocinus
iniuges,inius
sēiuges,sēio
iuga,iuga
iuges,iuges
iouxmenta,iouxmens
iūgera,iūgerum
iugulus,iugulus
iugulae,iugula
cōtēs,cōtēs
mūscerdae,mūscerda
sūcerdae,sūcerda
auscultāre,auscultāre
Cloelia,cloelia
Clouātius,clouātus
cane,canis
canum,canum
leuior,leuis
licuus,licuus
mātrīnus,mātrīnus
maiosibus,maios
Maiia,Maiia
mollior,bollis
membrānum,membrānum
breuior,breuis
breuissimus,breuissus
noctium,noctium
nāuem,nāuio
nāuī,nāuī
nāuium,nāuitus
nepōtis,nepōtus
nouior,nouus
ādes,ādes
tripodāre,tripodāesis
peccāre,peccāer
pessumus,pessumus
coctum,coctus
coctū,coctū
patrem,pater
patris,pater
patrēs,patrēs
Iuppiter,iuppiter
patrīnus,patrīnus
rotulus,rotulus
roudus,roudus
robosem,robos
rūbius,rūbus
salis,salum
senis,senes
niuis,niuis
niuem,niuis
inpēnsa,inpēndo
Praestita,praesto
instaurāre,instaurāe
statum,status
statū,sto
locī,loc
loca,locus
suodālēs,suodālēs
succula,succulum
torrus,torrus
torrus,torrus
utrem,utra
ūrīnārī,ūrīnārī
agī,agī
ammentum,ammentum
rēmigāre,rēmigor
lītigāre,lītiger
indigitēs,indigitēo
indigitāre,indigitāo
exigere,exigo
agnīle,agnīl
auillus,auillus
aestuāre,aestuāre
īcō,īcōo
aeruscāre,aeruscāe
aeuus,aeuus
acēre,aco
acuere,acuo
aquifolium,aquifolium
acerabulus,acerabulus
Interocrea,interocreus
ollī,ollī
ollīc,ollīc
olitana,olitanus
olitinata,olitino
alers,aleo
allers,allers
alterāre,alterme
altercāri,altercāor
alēscere,alēsco
coalēscere,coalēsco
adolēscere,adolēsco
abolēscere,abolēsco
altāre,altār
albarus,albarus
Albia,Albia
ālus,ālus
ampla,amplus
amma,amma
anatīna,anatīnus
ancrae,ancra
Anglii,anglius
ānsae,ānsa
anses,anses
antidīre,antidīrus
antārium,antārius
coēpi,coēpus
apur,apur
pōrcet,pōrceo
allers,allers
alers,alers
argīla,argīlum
sollennis,sollennus
uentilāre,uentilāre
ēuēlātus,ēuēlātus
uatillum,uatillus
auxilis,auxilis
auca,auca
Ostrogothae,ostrogotha
Austrogoti,austrogo
aulla,aulla
babaecalus,babaecalus
babit,bo
babiger,babigo
bambalō,bambalis
fascināre,fascināes
ballāre,ballāris
bēbō,bēbo
bālāre,bālāi
bēlāre,bēlāi
boāre,boāo
Fabidius,fabido
Fabāria,Fabāria
Baunonia,baunonius
Bōcōnia,Bōcōnia
broccus,broccus
battō,battō
fodicāre,fodicor
uidubium,uidubia
blatea,blatea
ballaena,ballaenus
fulgus,fulgus
Ζεὺς,Ζεὺς
fer,fero
fibrī,fibres
friguttiō,friguttiō
fringuliō,fringulus
fringuilla,fringuillum
forctus,forior
horctus,horctus
horctis,horco
frontēsia,frontēius
fuī,fuī
fūī,fūī
forem,forior
fuam,fuo
bam,bam
bō,bō
futāuit,futāo
blundus,blundus
barmbraccus,barmbraccus
suffrāginēs,suffrāginē
brīsāre,brīsumo
dacruma,dacruma
agedum,ago
manedum,manedo
dumnē,dumnum
dēterrimus,dēterreo
Iuppiter Iouis,iuppiter io
Iūlius,Iūlius
biduum,biduus
dīum,dīus
dīcere,dīceo
dīcāre,dīcāris
indīcāre,indīcāre
trIcontis,tricons
Decumius,decum
domī,domeo
domās,domās
domuī,do
Truentus,truo
drauoca,drauocus
derbita,derbio
trustis,trustis
duenos,duenus
duonos,duonus
dūrāre,dūrāris
doucō,doucōa
ēducāre,ēducāo
danunt,do
datum,do
duae,duo
dui,duus
bi,bi
effāfilātus,effāfilātus
ditus,ditus
conditum,condo
abdere,abdo
condere,condo
condidī,condo
perdere,perdo
crēdere,crēdo
fōculum,fōculus
fēlō,fēlō
fēta,fēo
