lemma_id,lemma,sense_id,sense_entry,proposed_resolved_meaning
516,akṣinikāṇam (अक्षिनिकाणम्),251,also nikāṇam-akṣi (निकाणम्-अक्षि) id.,"with half-closed eyes, Pāṇ. iii, 4, 54, Sch."
1647,acyutavāsa (अच्युतवास),668,"acyutā (अच्युता)vasa id., T.","the sacred fig-tree, Ficus Religiosa"
10474,abhinu (अभिनु),3448,"2. abhi- (अभि-)√ 4. nu (नु)   P. Ā. (pr. 1. pl. -navāmahe (-नवामहे), 3. pl. -navante (-नवन्ते); impf. P. 3. pl. -anāvan (-अनावन्); aor. 1. sg. -anūṣi (-अनूषि), 3. du. -anūṣātām (-अनूषाताम्), 3. pl. -anūṣata (-अनूषत) [very frequently] or -nūṣata (-नूषत), RV. ix, 103, 3) to shout towards (acc.), RV. : Intens. (1. pl. -nonumas (-नोनुमस्)) id., RV.","1. abhi- (अभि-)√ 3. nu (नु)   Ā. (3. pl. abhīnávante (अभीनवन्ते॑)) to turn one's self towards (acc.), RV. ix, 100, 1."
11152,abhiśuc (अभिशुच्),3630,"2. abhi- (अभि-)√ 2. śuc (शुच्)   (Imper. -śocatu (-शोचतु); Subj. 2. sg. -śocas (-शोचस्)) to flame towards, burn, consume, RV.; VS.; KātyŚr.; to burn, torment, AV.; VS.; KātyŚr.: Caus. (aor. Subj. 3. pl. -śūśucan (-शूशुचन्)) to burn, consume (by fire), VS.; TS. : Intens. (p. -śośúcāna (-शोशु॑चान)) id., RV. x, 87, 9 and 14.","1. abhi- (अभि-)√ 1. śuc (शुच्)   to mourn, MBh. xii, 11242."
11642,abhojana (अभोजन),3772,"a-bhojana (अ-भोजन)   n. pl. id., Kathās.","not eating, fasting, KātyŚr.; Mn. &amp;c."
12167,amatra (अमत्र),3946,"amátra (अमत्र)   m. id., RV. iii, 36, 4.","violent, strong, firm, RV. i, 61, 9 and iv, 23, 6"
13074,ayaspātra (अयस्पात्र),4261,"ayas—pātra (अयस्—पात्र)   f(ī (ई))n. id., Pāṇ. viii, 3, 46, Sch.","an iron vessel, AV. viii, 10, 22; Suśr. (v.l.)"
13257,ayogū (अयोगू),4313,"ayogū (अयोगू)   (ūs (ऊस्)), f. id.? See ayogava (अयोगव)."," = ayo-guda, an iron ball"
13408,aram (अरम्),4363,"(with puru (पुरु), or prithu (प्रिथु)) enough, sufficiently, RV. i, 142, 10 and v, 66, 5 with dat., e.g. (bhaktaya (भक्तय)) id., Pāṇ. viii, 2, 18, Kāś. [cf. alám (अलम्) and Gk. ἄρα].","(with puru (पुरु), or prithu (प्रिथु)) enough, sufficiently, RV. i, 142, 10 and v, 66, 5 with dat., e.g. (bhaktaya (भक्तय)) id., Pāṇ. viii, 2, 18, Kāś. [cf. alám (अलम्) and Gk. ἄρα]."
13425,arara (अरर),4367,"arara (अरर)   (am (अम्)), n. id., Mcar.","a covering, a sheath, L.,"
13505,ari (अरि),4399,"(arís (अरि॑स्)) id., AV. vii, 88, 1 and xiii, 1, 29, (in astron.) a hostile planet, VarBṛS.","2. a-ri (अ-रि)   mfn. (√ rā (रा); = 1. ari (अरि), assiduous, &amp;c., Gmn.), not liberal, envious, hostile, RV."
13861,arcis (अर्चिस्),4558,"arcis (अर्चिस्)   f. id., ŚBr. ii; Up. &amp;c., (is (इस्)), N. of the wife of khṛśāśva (ख्ṛśāśव) and mother of dhhūmaketu (ध्ह्ūमकेतु), BhP.","ray of light, flame, light, lustre, RV. (once. pl. arcīnṣí (अर्चीन्षि॑), RV. vii, 62, 1), AV.; ŚBr. &amp;c."
14396,arbuda (अर्बुद),4752,"arbuda (अर्बुद)   (as (अस्)), m. id., RV. i, 51, 6 and x, 67, 12","Ved. a serpent-like demon (conquered by īndra (ईन्द्र), a descendant of khadrū (खद्र्ū) therefore called khādraveya (ख्āद्रवेय), ŚBr.; AitBr.; said to be the author of RV. x, 94; RAnukr.), RV. &amp;c."
14407,arbha (अर्भ),4761,"(arbha (अर्भ)),   mfn. id., AV. vii, 56, 3","mf(ā (आ))n. little, small, unimportant, RV."
16941,avratya (अव्रत्य),5651,"a-vratya (अ-व्रत्य)   mfn. with karman (कर्मन्) id., Gobh.","am (अम्), n. anything out of harmony with, or violating, a religious obligation, ŚBr.; AitBr.; AitĀr."
17186,aśocya (अशोच्य),5717,"a-śocya (अ-शोच्य)   n. impers. id., Hariv. 6062.","not to be lamented, Kād."
17280,aśrama (अश्रम),5742,"id., RV. vi, 21, 12","indefatigable, RV. vii, 69, 7"
17479,aśvayuj (अश्वयुज्),5794,"aśva—yuj (अश्व—युज्)   (-yujáu (-युजौ॑)), f. du. id., AV. xix, 7, 5; TBr.","harnessing horses, RV. v, 54, 2"
17908,asaṃkara (असंकर),5938,"a-saṃkara (अ-संकर)   mfn. with dharma (धर्म) id., MBh. xiv, 2777","non-mixture of caste, Gaut."
17909,asaṃkalpa (असंकल्प),5940,"a-saṃkalpa (अ-संकल्प)   n. id., R. i, 67, 15.","absence of desire, BhP."
18609,astṛta (अस्तृत),6191,"mfn. id., AV. i, 20, 4 and v, 9, 7.","not overcome, invincible, indestructible, RV.; AV. xix, 46"
19161,ahīna (अहीन),6356,"ahī́na (अही॑न)   n. id. Comm. on Mn. xi, 197","1. ahī́na (अही॑न)   m. (fr. ahán (अहन्), Pāṇ. vi, 4, 145) ‘lasting several days’, a sacrifice lasting several days, AitBr.; ĀśvŚr. &amp;c."
19875,āṅgūṣa (आङ्गूष),6680,"āṅgūṣa (आङ्गूष)   (am (अम्)), n. id., RV. i, 117, 10; vi, 34, 5.","praising aloud, a hymn, RV."
26668,udakadātṛ (उदकदातृ),10189,"udaka—dātṛ (उदक—दातृ)   m. id., ib.","a giver of water, yielding water, offering water to the dead, L.; (as), an heir, a kinsman, L."
32951,oṣadhivanaspati (ओषधिवनस्पति),13276,"oṣa-dhi—vanaspati (ओष-धि—वनस्पति)   (ayas (अयस्)), m. pl. id., AitUp.","herbs and trees, ŚBr. vi"
35258,kamandaka (कमन्दक),14369,"kamandaka (कमन्दक)   m. pl. id., ib."," = kamantaka, N. of a man; (ās) N. of his descendants, gaṇa upakâdi, Pāṇ. ii, 4, 69."
38832,kārṣāpaṇika (कार्षापणिक),16252,"ifc. id., v, 1, 29.","paRika   mf(ī (ई))n. worth one khārṣāpaṇa (ख्āर्ṣāपṇअ), bought &amp;c. with one khārṣāpaṇa (ख्āर्ṣāपṇअ), Pāṇ. v, 1, 25, Vārtt. 2"
39060,kālena (कालेन),16426,"with gacchatā (गच्छता) id., VP.","(ena (एन)), ind. instr. in the course of time, Mn. ix, 246; MBh. &amp;c."
39060,kālena (कालेन),16429,kālena mahatā (कालेन महता) or bahunā (बहुना) id.,"(ena (एन)), ind. instr. in the course of time, Mn. ix, 246; MBh. &amp;c."
39385,kāvya (काव्य),16523,"[id., RV. v, 39, 5; x, 144, 2; VS.]","(fr. kavi (कवि)), endowed with the qualities of a sage or poet, descended or coming from a sage, prophetic, inspired, poetical, RV. i, 117, 12; viii, 8, 11; VS.; AV."
39435,kāśa (काश),16541,"kāśa (काश)   f(ā (आ), ī (ई)).  id., L.","‘the becoming visible, appearance’, only in sa-k° (स-क्°), q.v."
39435,kāśa (काश),16542,"kāśa (काश)   n. id., L.","‘the becoming visible, appearance’, only in sa-k° (स-क्°), q.v."
40056,kilima (किलिम),16788,"kilima (किलिम)   m. id., L.","a kind of pine (Pinus Deodar cf. deva-dāru (देव-दारु)), Car."
40218,kīlāla (कीलाल),16895,"kīlāla (कीलाल)   (am (अम्)), n. id., Naigh. ii, 7","a sweet beverage (also a heavenly drink similar to āmṛta (आम्ṛत), the food of the gods), AV.; VS.; Kauś."
42436,kūyava (कूयव),17966,"kū-yava (कू-यव)   m. pl. id., TS. iv.","N. of particular grains, MaitrS. ii, 11, 4; Kapiṣṭh. xxviii, 9"
43042,kṛdara (कृदर),18251,"kṛdára (कृदर)   m. id., Uṇ. v, 41.","a store-room, VS. xxix, 1 (Nir. iii, 20)"
43604,kṛsara (कृसर),18447,"kṛsara (कृसर)   m. pl. id., Suśr.; Kathās.","(Pāṇ. viii, 3, 59, Vārtt. 1; often spelt kṛśara (कृशर)) a dish consisting of sesamum and grain (mixture of rice and peas with a few spices), ṢaḍvBr. v, 2; Kauś.; ĀśvGṛ.; Gobh.; Mn. &amp;c."
