id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss,lemma
4548,flīxī,374,NULL,NULL,NULL,flīxī
4552,factud,1108,NULL,NULL,NULL,facio
4553,fīnxī,1136,NULL,NULL,NULL,fīnxī
4554,fiuō,1148,NULL,NULL,NULL,fius
4555,fīxī,1157,NULL,NULL,NULL,fīxī
4556,nāscī,1483,NULL,NULL,NULL,
4559,exuī,2932,NULL,NULL,NULL,exuī
4560,lēuī,2958,NULL,NULL,NULL,lēum
4562,cloāre,3722,NULL,NULL,NULL,cloāer
4563,cecinī,3813,NULL,NULL,NULL,cecus
4567,pepulī,5700,NULL,NULL,NULL,pepulī
4568,pepercī,5777,NULL,NULL,NULL,pepercī
4571,plēuī,5861,NULL,NULL,NULL,plēuī
4577,sēnsī,6617,NULL,NULL,NULL,sēnsī
4578,insipiō,6720,NULL,NULL,NULL,insipiō
4580,carpsī,6985,NULL,NULL,NULL,
4585,tīnxī,7967,NULL,NULL,NULL,tīnxī
4587,uāsī,8466,NULL,NULL,NULL,uāsī
4588,uoluī,8693,NULL,NULL,NULL,uoluī
4591,fer,9331,NULL,NULL,NULL,fero
4592,Dioue,10176,NULL,NULL,NULL,dio
4593,Iouem,10180,NULL,NULL,NULL,ios
4604,acupes,11963,NULL,NULL,NULL,acup
4605,dentum,12116,NULL,NULL,NULL,dentus
4609,arātum,13581,NULL,NULL,NULL,arātus
4610,auctum,13674,NULL,NULL,NULL,aucio
4615,noctium,15986,NULL,NULL,NULL,noctium
4619,patrīnus,16715,NULL,NULL,NULL,patrīnus
4623,inpēnsa,17770,NULL,NULL,NULL,inpēndo
4625,succula,18595,NULL,NULL,NULL,succulum
4629,aeruscāre,20017,NULL,NULL,NULL,aeruscāe
4630,Interocrea,20307,NULL,NULL,NULL,interocreus
4632,Anglii,21426,NULL,NULL,NULL,anglius
4636,babiger,23495,NULL,NULL,NULL,babiger
4637,Fabidius,24311,NULL,NULL,NULL,fabidus
4643,fer,25695,NULL,NULL,NULL,fero
4658,dūrāre,30493,NULL,NULL,NULL,dūrāris
4660,ditus,31362,NULL,NULL,NULL,ditus
4662,fīuō,31857,NULL,NULL,NULL,fīus
4665,dosinus,33372,NULL,NULL,NULL,dosinus
4677,ess,37072,NULL,NULL,NULL,ess
4679,assyr,37300,NULL,NULL,NULL,assyr
4688,gruere,39507,NULL,NULL,NULL,gruo
4692,hirrīre,42605,NULL,NULL,NULL,hirrīo
