id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss
4552,factud,1108,NULL,NULL,NULL
4555,fīxī,1157,NULL,NULL,NULL
4591,fer,9331,NULL,NULL,NULL
4592,Dioue,10176,NULL,NULL,NULL
4593,Iouem,10180,NULL,NULL,NULL
4609,arātum,13581,NULL,NULL,NULL
4619,patrīnus,16715,NULL,NULL,NULL
4630,Interocrea,20307,NULL,NULL,NULL
4636,babiger,23495,NULL,NULL,NULL
4637,Fabidius,24311,NULL,NULL,NULL
4643,fer,25695,NULL,NULL,NULL
4665,dosinus,33372,NULL,NULL,NULL
4679,assyr,37300,NULL,NULL,NULL
4688,gruere,39507,NULL,NULL,NULL
4692,hirrīre,42605,NULL,NULL,NULL
4755,opere,61975,NULL,NULL,NULL
4762,procum,64127,NULL,NULL,NULL
4781,sōc,68429,NULL,NULL,NULL
4799,σπιθίαι,74797,NULL,NULL,NULL
4844,prodēre,602,NULL,NULL,NULL
4850,iūnxī,3467,NULL,NULL,NULL
4868,uertī,8877,NULL,NULL,NULL
4882,nationu,11303,NULL,NULL,NULL
4894,angiportum,13279,NULL,NULL,NULL
4911,coctum,16530,NULL,NULL,NULL
4931,Bōcōnia,24388,NULL,NULL,NULL
4945,brīsāre,27668,NULL,NULL,NULL
4950,dumnē,28428,NULL,NULL,NULL
4964,eisdem,33884,NULL,NULL,NULL
4975,assarātum,37301,NULL,NULL,NULL
4976,reduuiae,37425,NULL,NULL,NULL
5014,Lallia,53887,NULL,NULL,NULL
5015,dīligere,54351,NULL,NULL,NULL
5020,mahonus,56946,NULL,NULL,NULL
5022,mihi,57137,NULL,NULL,NULL
5024,micciō,58041,NULL,NULL,NULL
5032,mutidus,60331,NULL,NULL,NULL
5076,Pennocrucium,71887,NULL,NULL,NULL
5139,ingruī,1944,NULL,NULL,NULL
5140,iēcī,2257,NULL,NULL,NULL
5149,clepere,4053,NULL,NULL,NULL
5169,genere,11216,NULL,NULL,NULL
5174,nāuex,12877,NULL,NULL,NULL
5202,alterāre,20515,NULL,NULL,NULL
5207,babit,23494,NULL,NULL,NULL
5216,frontēsia,26402,NULL,NULL,NULL
5224,dēterrimus,28479,NULL,NULL,NULL
5232,trustis,30289,NULL,NULL,NULL
5242,id,33885,NULL,NULL,NULL
5245,ēdimus,34238,NULL,NULL,NULL
5251,oitile,34704,NULL,NULL,NULL
5288,uoltur,44983,NULL,NULL,NULL
5289,uolturus,44984,NULL,NULL,NULL
5291,iotta,46055,NULL,NULL,NULL
5313,cacabāre,51838,NULL,NULL,NULL
5315,serescunt,52465,NULL,NULL,NULL
5316,ancunulentae,52614,NULL,NULL,NULL
5325,Lalla,53886,NULL,NULL,NULL
5383,ragere,66873,NULL,NULL,NULL
5394,dēsinere,68826,NULL,NULL,NULL
5409,solidāre,74557,NULL,NULL,NULL
5412,spīcārium,74617,NULL,NULL,NULL
5443,uitus,83181,NULL,NULL,NULL
5453,uersiōn,85394,NULL,NULL,NULL
5462,foue,1244,NULL,NULL,NULL
5474,lūī,4828,NULL,NULL,NULL
5500,Fort,9286,NULL,NULL,NULL
5501,datum,9979,NULL,NULL,NULL
5502,datum,10039,NULL,NULL,NULL
5534,auillus,19694,NULL,NULL,NULL
5537,allers,20497,NULL,NULL,NULL
5538,adolēscere,20552,NULL,NULL,NULL
5539,allers,21948,NULL,NULL,NULL
5543,auca,23289,NULL,NULL,NULL
5562,drauoca,29908,NULL,NULL,NULL
5564,datum,30735,NULL,NULL,NULL
5567,perdere,31393,NULL,NULL,NULL
5571,danea,32165,NULL,NULL,NULL
5612,epocalium,46927,NULL,NULL,NULL
5641,intellegere,54352,NULL,NULL,NULL
5661,martellus,58083,NULL,NULL,NULL
5667,nāuigāre,60423,NULL,NULL,NULL
5670,Nōdonti,61251,NULL,NULL,NULL
5677,paenitet,62640,NULL,NULL,NULL
5681,plusima,63178,NULL,NULL,NULL
5701,rancāre,66864,NULL,NULL,NULL
5715,sarctus,70184,NULL,NULL,NULL
5719,scirpea,72591,NULL,NULL,NULL
5733,stupendus,77928,NULL,NULL,NULL
5737,tālia,79179,NULL,NULL,NULL
5740,pertinēre,79788,NULL,NULL,NULL
5774,algēre,2790,NULL,NULL,NULL
5776,oit,3195,NULL,NULL,NULL
5802,diem,10212,NULL,NULL,NULL
5819,leuior,15175,NULL,NULL,NULL
5834,exigere,19466,NULL,NULL,NULL
5836,acuere,20196,NULL,NULL,NULL
5845,Baunonia,24321,NULL,NULL,NULL
5862,δρυναίμετον,30235,NULL,NULL,NULL
5881,interus,35674,NULL,NULL,NULL
5884,tūne,36074,NULL,NULL,NULL
5895,hippitāre,41538,NULL,NULL,NULL
5897,uallessit,44382,NULL,NULL,NULL
5908,cicendula,47046,NULL,NULL,NULL
5922,coirauit,51829,NULL,NULL,NULL
5955,manganum,58976,NULL,NULL,NULL
5961,Nōdenti,61252,NULL,NULL,NULL
6012,scarpinat,72320,NULL,NULL,NULL
6014,scrautum,72519,NULL,NULL,NULL
6016,nēmen,74150,NULL,NULL,NULL
6022,σπιθάμη,74796,NULL,NULL,NULL
6026,despondēre,75100,NULL,NULL,NULL
6139,pōrcet,21813,NULL,NULL,NULL
6158,Decumius,29009,NULL,NULL,NULL
6161,Truentus,29683,NULL,NULL,NULL
6163,danunt,30711,NULL,NULL,NULL
6164,crēdere,31394,NULL,NULL,NULL
6173,emptum,35500,NULL,NULL,NULL
6174,erat,37157,NULL,NULL,NULL
6177,Zypressenzapfen,38133,NULL,NULL,NULL
6180,ignārurēs,39198,NULL,NULL,NULL
6187,exippitāre,41539,NULL,NULL,NULL
6202,facētiae,45683,NULL,NULL,NULL
6220,carpisculum,50158,NULL,NULL,NULL
6226,cluuior,51502,NULL,NULL,NULL
6227,clunāculum,51624,NULL,NULL,NULL
6229,citimus,51715,NULL,NULL,NULL
6241,neglegere,54353,NULL,NULL,NULL
6262,ossu,62098,NULL,NULL,NULL
6267,paca,62359,NULL,NULL,NULL
6268,tribřic̨u,62610,NULL,NULL,NULL
6269,pēminōsus,62657,NULL,NULL,NULL
6278,patre,65011,NULL,NULL,NULL
6293,sūdum,68189,NULL,NULL,NULL
6313,screa,72443,NULL,NULL,NULL
6370,offendere,2171,NULL,NULL,NULL
6373,icō,2737,NULL,NULL,NULL
6383,luere,4835,NULL,NULL,NULL
6394,attulat,7870,NULL,NULL,NULL
6421,aureae,14419,NULL,NULL,NULL
6425,mūscerdae,14809,NULL,NULL,NULL
6434,patrēs,16633,NULL,NULL,NULL
6437,salis,17147,NULL,NULL,NULL
6444,Praestita,18013,NULL,NULL,NULL
6453,īcō,19969,NULL,NULL,NULL
6461,bambalō,23532,NULL,NULL,NULL
6489,Furiae,33266,NULL,NULL,NULL
6504,glēbō,38148,NULL,NULL,NULL
6513,gnāruris,39197,NULL,NULL,NULL
6520,gabulum,40927,NULL,NULL,NULL
6524,offendere,45492,NULL,NULL,NULL
6530,caputrum,47092,NULL,NULL,NULL
6546,cauellum,50846,NULL,NULL,NULL
6550,coaxare,52580,NULL,NULL,NULL
6561,pollūcēre,56276,NULL,NULL,NULL
6565,mattiuca,57037,NULL,NULL,NULL
6577,mutmut,60179,NULL,NULL,NULL
6581,dēnicāles,60834,NULL,NULL,NULL
6582,ēnectāre,60837,NULL,NULL,NULL
6585,opiōn,61976,NULL,NULL,NULL
6587,aureae,62205,NULL,NULL,NULL
6589,panceps,62413,NULL,NULL,NULL
6607,patres,65008,NULL,NULL,NULL
6609,pippitāre,65083,NULL,NULL,NULL
6648,respondēre,75099,NULL,NULL,NULL
6676,uassus,82223,NULL,NULL,NULL
6677,uassallus,82224,NULL,NULL,NULL
6699,mulsī,2275,NULL,NULL,NULL
6701,mulsī,2984,NULL,NULL,NULL
6731,conditum,10681,NULL,NULL,NULL
6741,iūgera,14539,NULL,NULL,NULL
6746,cane,15041,NULL,NULL,NULL
6750,breuior,15887,NULL,NULL,NULL
