global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
69633,14,1,n69633,ν,,τό,,,"[""ν,νῦ,τό ,indecl., fourteenth (later thirteenth) letter of Greek alphabet; as numeral,ν́ = 50 , but n' = 50 , 000 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69634,14,2,n69634,νᾶας,,,,,"[""νᾶας, Dor. acc. pl. of ναῦς(q.v.).""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69635,14,3,n69635,ναβαισατρεῦ,,,,,"[""v.l. βαβακατρεῦ .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""βαβακατρεῦ""},{""type"":"""",""target"":"""",""text"":""v.l. βαβακατρεῦ""}]",1,0,0,0,1,1,0,0,0
69636,14,4,n69636,νάβλα,,ἡ,,,"[""a musical instrument of ten or (acc. to J. AJ 7.12.3 )of twelve strings, cj. in S. Fr. 849 , cf. LXX 1 Ki. 10.5 , al.:—also νάβλας,α,ὁ, Sopat. 16 , Philem. 44 , Str. 10.3.17 ; cf. ναῦλον 1 . (Semitic word, cf. Hebr.nēbel; Phoenician, acc. to Ath. 4.175b .)."",""dub. sens. in acc.τὸν νάβλα, OGI 175.9 (Egypt,ii B.C.).""]","[""a musical instrument of ten"",""of twelve strings"",""nēbel""]",[],"[{""biblio"":"""",""quote"":""ναῦλον""},{""biblio"":""1"",""quote"":""ναῦλον 1""}]","[""1""]",{},[],1,1,0,1,0,2,3,0,2
69637,14,5,n69637,ναβλ-ίζω,,,,,"[""= ψάλλω ,Gloss.""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ψάλλω""},{""type"":"""",""target"":"""",""text"":""= ψάλλω""}]",1,0,0,0,1,1,0,0,0
69638,14,6,n69638,ναβλ-ιστής,,ὁ,,,"[""player on the νάβλα, Euph. Fr.Hist. 8 .""]","[""player on the""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
69639,14,7,n69639,ναβλ-ιστοκτῠπεύς,,ὁ,,,"[""ναβλ-ιστοκτῠπεύς,έως,ὁ,=foreg., Man. 4.185 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69640,14,8,n69640,ναβοῦς,,ὁ,,,"[""camelopard, IG 14.1302 (Praeneste). (Ethiopian, acc. to Plin. HN 8.69 .)""]","[""camelopard,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
69641,14,9,n69641,νᾰγεύς,,ὁ,,,"[""pestle, Tz.ad Hes. Op. 421 .""]","[""pestle""]","[""νάσσω""]",[],[],{},[],1,1,1,0,0,1,1,1,0
69642,14,10,n69642,νάγμα,,τό,,,"[""anything piled up, as a stone wall, J. BJ 1.21.7 .""]","[""anything piled up""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
69643,14,11,n69643,νάερρα:,,,,,"[""νάερρα: δέσποινα, Hsch. ναέτειρα(ναίτ- cod.): οἰκοδέσποινα, Id.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69644,14,12,n69644,νᾰετήρ,,ὁ,,,"[""νᾰετήρ,ῆρος,ὁ,=sq., AP 7.409 (Antip. Thess.), D.P. 455 , etc.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69645,14,13,n69645,νᾰέτης,,ὁ,,,"[""inhabitant, Simon. 57 , Ephipp. 5.1 (anap.), AP 9.535 , Limen. 41 , IG 5(2).474 (Megalopolis): asfem., AP 6.207.10 ( Arch. ).""]","[""inhabitant""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
69646,14,14,n69646,ναέτωρ,,,,,"[""= νάτωρ , Hsch.""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""νάτωρ""},{""type"":"""",""target"":"""",""text"":""= νάτωρ""}]",1,0,0,0,1,1,0,0,0
69647,14,15,n69647,νᾱεύω,,,,,"[""take sanctuary in a temple, Leg.Gort. 1.39 .""]","[""take sanctuary in a temple,""]","[""ναός""]",[],[],{},[],1,1,1,0,0,1,1,1,0
69648,14,16,n69648,ναηλεῖς:,,ὁ,,,"[""reef, Id."",""upright threads in a loom, Id.νάθραξ, = νάρθηξ , Id.""]","[""reef"",""upright threads in a loom""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""νάρθηξ""},{""type"":"""",""target"":"""",""text"":""= νάρθηξ""}]",1,1,0,0,1,2,2,0,0
69649,14,17,n69649,ναί,Adv.,,,,"[""yea, verily, in Hom. mostly folld. by δή, ν. δὴ ταῦτά γε πάντα . . κατὰ μοῖραν ἔειπες Il. 1.286 , al.; ν. μήν Emp. 76.2 ; ν. μάν Theoc. 27.27 ; ν. μέν A.R. 2.151 ; ν. μέντοι Luc. Astr. 14 : used alone,σὲ κρίνω, ν. σέ yea thee, S. El. 1445 ; ἀποκρίνασθαι ν. ἢ οὔ Arist. Top. 158a16 , etc.; τὸ ε̄ οὐκ ἔστι χαρακτηριστικὸν . . , τὸ δὲ ᾱ ναί Choerob. in Theod. 2.85 ."",""freq. in oaths,ν. μά yea by. . , v. μά; ν. alone, ν. τὰν Κόραν Ar. V. 1438 , cf. E. Ba. 534 (lyr.); ν. τὸν Ποτιδᾶν Epich. 81 ; ν. τὼ σιώ X. HG 4.4.10 ;ν. πρὸς θεῶν ἀρήξατ' E. Med. 1277 ."",""in answers,yes,τοῦτ' ἐτήτυμον; Answ. ν. A. Pers. 738 (troch.), cf. S. El. 845 (lyr.), Pl. Tht. 193a , Grg. 448b , etc.; doubled, Ar. Nu. 1468 , Call. Fr. 1.56 P., Ev.Matt. 5.37 ."",""ν.folld. by ἀλλά, etc., to mark a qualified assent,yes, but . . , Aeschin. 3.84 ;ν., κατὰ σχολήν γε ἴσως: οὐ μήν. . Pl. Sph. 226e , cf. R. 415e .""]","[""yea, verily"",""yea"",""yea by"",""yes"",""yes""]",[],"[{""biblio"":"""",""quote"":""δή, ν. δὴ ταῦτά γε πάντα . . κατὰ μοῖραν ἔειπες""},{""biblio"":""Il. | 1.286"",""quote"":""δή, ν. δὴ ταῦτά γε πάντα . . κατὰ μοῖραν ἔειπες Il. 1.286""},{""biblio"":"""",""quote"":""ν. μήν""},{""biblio"":""Emp. | 76.2"",""quote"":""ν. μήν Emp. 76.2""},{""biblio"":"""",""quote"":""ν. μάν""},{""biblio"":""Theoc. | 27.27"",""quote"":""ν. μάν Theoc. 27.27""},{""biblio"":"""",""quote"":""ν. μέν""},{""biblio"":""A.R. | 2.151"",""quote"":""ν. μέν A.R. 2.151""},{""biblio"":"""",""quote"":""ν. μέντοι""},{""biblio"":""Luc. | Astr. | 14"",""quote"":""ν. μέντοι Luc. Astr. 14""},{""biblio"":"""",""quote"":""ἀποκρίνασθαι ν. ἢ οὔ""},{""biblio"":""Arist. | Top. | 158a16"",""quote"":""ἀποκρίνασθαι ν. ἢ οὔ Arist. Top. 158a16""},{""biblio"":"""",""quote"":""τὸ ε̄ οὐκ ἔστι χαρακτηριστικὸν . . , τὸ δὲ ᾱ ναί""},{""biblio"":""Choerob. | in Theod. | 2.85"",""quote"":""τὸ ε̄ οὐκ ἔστι χαρακτηριστικὸν . . , τὸ δὲ ᾱ ναί Choerob. in Theod. 2.85""},{""biblio"":"""",""quote"":""ν. τὰν Κόραν""},{""biblio"":""Ar. | V. | 1438"",""quote"":""ν. τὰν Κόραν Ar. V. 1438""},{""biblio"":"""",""quote"":""ν. τὸν Ποτιδᾶν""},{""biblio"":""Epich. | 81"",""quote"":""ν. τὸν Ποτιδᾶν Epich. 81""},{""biblio"":"""",""quote"":""ν. τὼ σιώ""},{""biblio"":""X. | HG | 4.4.10"",""quote"":""ν. τὼ σιώ X. HG 4.4.10""},{""biblio"":"""",""quote"":""ν.""},{""biblio"":""A. | Pers. | 738"",""quote"":""ν. A. Pers. 738""}]","[""A. | Pers. | 738"",""A.R. | 2.151"",""Ar. | V. | 1438"",""Arist. | Top. | 158a16"",""Choerob. | in Theod. | 2.85"",""Emp. | 76.2"",""Epich. | 81"",""Il. | 1.286"",""Luc. | Astr. | 14"",""Theoc. | 27.27"",""X. | HG | 4.4.10""]",{},"[{""type"":""ref"",""target"":"""",""text"":""μά; ν.""},{""type"":"""",""target"":"""",""text"":""v. μά; ν.""}]",1,1,0,1,1,4,5,0,22
69650,14,18,n69650,νᾱτ,,,,,"[""νᾱτ, Dor. poet. dat. of ναῦς.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69651,14,19,n69651,Νάϊ-α,,τά,,,"[""Νάϊ-α[νᾱ],τά , festival of Zeus Νάϊος, at Dodona, IG 5(2).118.21 (Tegea); written Νᾶα ib. 2.1318 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
69652,14,20,n69652,Ναϊ-ᾰκός,,,,,"[""of the Naiads, λιμένες AP 10.21 ( Phld. ).""]","[""of the Naiads""]",[],"[{""biblio"":"""",""quote"":""λιμένες""},{""biblio"":""AP | 10.21"",""quote"":""λιμένες AP 10.21""}]","[""AP | 10.21""]",{},[],1,1,0,1,0,1,1,0,2
69653,14,21,n69653,Ναί̈-αρχος,,ὁ,,,"[""warden of temple of Zeus Νάϊος, SIG 1206.7 (Dodona).""]","[""warden of temple of Zeus""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
69654,14,22,n69654,Ναϊ-άς,,ἡ,,,"[""Naiad, river-nymph, spring-nymph, Od. 13.104 , 356 (pl.): in sg., A.R. 1.626 :—also Ναί̈ς, Ion. Νηί̈ς,ί̈δος,ἡ , in sg., νηί̈ς Ἀβαρβαρέη Il. 6.22 ; νύμφη τέκε νηί̈ς 14.444 , cf. Pi. P. 9.16 , E. Hel. 187 (lyr.): pl.Ναί̈δες, Str. 10.3.10 , Paus. 8.4.2 , etc.""]","[""Naiad, river-nymph, spring-nymph""]","[""νάω""]","[{""biblio"":"""",""quote"":""νηί̈ς Ἀβαρβαρέη""},{""biblio"":""Il. | 6.22"",""quote"":""νηί̈ς Ἀβαρβαρέη Il. 6.22""},{""biblio"":"""",""quote"":""νύμφη τέκε νηί̈ς""},{""biblio"":""14.444"",""quote"":""νύμφη τέκε νηί̈ς 14.444""}]","[""14.444"",""Il. | 6.22""]",{},[],1,1,1,1,0,1,1,1,4
69655,14,23,n69655,ναιδᾰμῶς,,,,,"[""yes certainly, opp.οὐδαμῶς or μηδαμῶς, Com.Adesp. 1086 .""]","[""yes certainly""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
69656,14,24,n69656,νᾱί̈διον,,τό,,,"[""νᾱί̈διον[ῐδ],τό , Dim. of ναός, Plb. 6.53.4 , Str. 8.6.21 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
