tag,total_count
bibl,579069
biblScope,529921
author,442808
title,292596
tr,231546
sense,161969
quote,159476
cit,159470
foreign,151573
orth,136279
entryFree,116501
itype,67971
gen,48412
gramGrp,40777
gram,40777
xr,27091
lbl,27091
ref,27091
date,26319
tns,14509
pos,9733
etym,9703
abbr,9603
item,8718
mood,6407
placeName,5892
pron,4296
hi,4024
pb,2071
per,1620
number,1559
name,198
p,156
state,135
resp,108
language,108
respStmt,81
refsDecl,81
note,60
head,57
publisher,54
pubPlace,54
subc,47
TEI.2,27
teiHeader,27
fileDesc,27
titleStmt,27
sponsor,27
principal,27
funder,27
publicationStmt,27
authority,27
sourceDesc,27
biblStruct,27
monogr,27
imprint,27
idno,27
encodingDesc,27
profileDesc,27
langUsage,27
revisionDesc,27
change,27
text,27
body,27
div0,27
div1,24
num,19
list,18
measure,9
closer,6
div2,6
front,3
mentioned,3
signed,3
dateline,3
