file,tag,count
grc.lsj.perseus-eng1.xml,bibl,84276
grc.lsj.perseus-eng1.xml,biblScope,76858
grc.lsj.perseus-eng1.xml,author,67274
grc.lsj.perseus-eng1.xml,title,44841
grc.lsj.perseus-eng1.xml,tr,37288
grc.lsj.perseus-eng1.xml,sense,26034
grc.lsj.perseus-eng1.xml,quote,24459
grc.lsj.perseus-eng1.xml,cit,24457
grc.lsj.perseus-eng1.xml,orth,21391
grc.lsj.perseus-eng1.xml,foreign,19832
grc.lsj.perseus-eng1.xml,entryFree,18950
grc.lsj.perseus-eng1.xml,itype,10787
grc.lsj.perseus-eng1.xml,gen,6631
grc.lsj.perseus-eng1.xml,gramGrp,6048
grc.lsj.perseus-eng1.xml,gram,6048
grc.lsj.perseus-eng1.xml,xr,3597
grc.lsj.perseus-eng1.xml,lbl,3597
grc.lsj.perseus-eng1.xml,ref,3597
grc.lsj.perseus-eng1.xml,item,2898
grc.lsj.perseus-eng1.xml,date,2632
grc.lsj.perseus-eng1.xml,tns,2311
grc.lsj.perseus-eng1.xml,pos,2233
grc.lsj.perseus-eng1.xml,etym,1662
grc.lsj.perseus-eng1.xml,abbr,1418
grc.lsj.perseus-eng1.xml,hi,1320
grc.lsj.perseus-eng1.xml,mood,941
grc.lsj.perseus-eng1.xml,placeName,892
grc.lsj.perseus-eng1.xml,pron,521
grc.lsj.perseus-eng1.xml,pb,309
grc.lsj.perseus-eng1.xml,per,159
grc.lsj.perseus-eng1.xml,number,156
grc.lsj.perseus-eng1.xml,p,52
grc.lsj.perseus-eng1.xml,subc,23
grc.lsj.perseus-eng1.xml,note,20
grc.lsj.perseus-eng1.xml,name,16
grc.lsj.perseus-eng1.xml,head,11
grc.lsj.perseus-eng1.xml,div1,8
grc.lsj.perseus-eng1.xml,list,6
grc.lsj.perseus-eng1.xml,state,5
grc.lsj.perseus-eng1.xml,resp,4
grc.lsj.perseus-eng1.xml,language,4
grc.lsj.perseus-eng1.xml,respStmt,3
grc.lsj.perseus-eng1.xml,refsDecl,3
grc.lsj.perseus-eng1.xml,measure,3
grc.lsj.perseus-eng1.xml,publisher,2
grc.lsj.perseus-eng1.xml,pubPlace,2
grc.lsj.perseus-eng1.xml,closer,2
grc.lsj.perseus-eng1.xml,div2,2
grc.lsj.perseus-eng1.xml,TEI.2,1
grc.lsj.perseus-eng1.xml,teiHeader,1
grc.lsj.perseus-eng1.xml,fileDesc,1
grc.lsj.perseus-eng1.xml,titleStmt,1
grc.lsj.perseus-eng1.xml,sponsor,1
grc.lsj.perseus-eng1.xml,principal,1
grc.lsj.perseus-eng1.xml,funder,1
grc.lsj.perseus-eng1.xml,publicationStmt,1
