lex_ref_link_id,match_str,gloss_orig,ls_lemma,comments,ls_lemma
69,fārī,sprechen,,,for
98,fidī,spaltete,,,findo
292,fūgī,floh,,,fugio
340,fulsī,"blitzte, schimmerte",,,fulcio
349,flēre,weinen,,,fleo
351,flāre,"blasen, (Metall) gießen",,,flo
359,flāgō,schlagen,,,flagito
374,flīxī,schlug,,,fligo
424,frēgī,(zer)brach etw.,,,frango
485,fruī,genießen,,,fruor
506,fūi,war,,,sum
507,fuās,sollst sein,,sum,fuat
521,fīerī,"werden, entstehen",,facio,fio
593,Präs,geben,,"Präs. dō, dáre",do
649,dīxī,sagte,,,dico
675,didicī,habe gelernt,,,disco
676,didicī,"kenne, weiß",,,disco
712,indulsī,"ließ gewähren, gab nach",,,indulgeo
727,dolēre,Schmerz empfinden,,,doleo
866,dūxī,zog,,,duco
1104,fēcī,machte,,,facio
1136,fīnxī,formte,,,fingo
1148,fiuō,"anheften, hineinstecken, durchbohren",,,fivere
1149,figere,"anheften, hineinstecken, durchbohren",,,figo
1342,trāxī,zog,,,traho
1386,suffire,räuchern,,,suffio
1454,genuī,"erzeugte, gebar",,,gigno
1464,genunt,sie erzeugen,,,gigno
1483,nāscī,"geboren werden, entstehen",,,nascor
1538,gnōuī,"erkannte; habe erkannt, weiß",,,nosco
1628,horitur,"treibt an, ermuntert",,,horior
1666,fūdī,goß,,,fundo
1799,glūpsī,schälte ab,,,glubo
1837,prehendī,ergriff,,,prehendo
2268,ioubē,befehlen,,,jubeo
2278,mulcēre,"streichen, streicheln",,,mulceo
2322,ēsse,essen,,,edo
2332,ēdī,aß,,,edo
2363,ier,man geht,,this is actually Umbr. - lang fixed,
2383,iī,ging,,,eo
2419,ēmī,nahm,,,emo
2421,dēmpsī,nahm herab,,,demo
2436,coēpī,fing an,,,coepio
2551,ussī,"brannte, versengte",,,uro
2700,ēgī,trieb,,,ago
2706,aī̆s,"sage, sagst",,,aio
2769,alere,"nähren, aufziehen",,,alo
2775,olēre,verbrennen,,"adoleo 1, sense 2",adoleo
2798,ambulāre,umhergehen,,,ambulo
2921,auēre,begehren,,aveo 1,aveo
2926,auxī,vermehrte,,,augeo
2931,induī,zog etw. an/aus,,,induo
2932,exuī,zog etw. an/aus,,,exuo
