rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index
6682.0,265.0,lat.,69,liv,8.0,,69,fārī,amphidynamic root-present,sprechen,to speak,0.0,3,"3: Wohl zum i̯e-Präs. erweitert, vgl. WALDE-HOFMANN I 525-6.","[lat. for, fārī ‘sprechen’{3}","TD, AMB",AMB,07_23_2025_1516,198.0,amphidynamic root-present,
6697.0,310.0,lat.,98,liv,10.0,,98,fidī,perfect,spaltete,split (past),0.0,7,"7: Wenn aus Komposita für *fi-fidī; dagegen nach MEISER, Habil. §219 Reimwortbildung zu scindere : scidī.",lat. fidī ‘spaltete’{7},"TD, AMB",AMB,07_23_2025_1516,228.0,perfect,
6777.0,391.0,lat.,292,liv,33.0,,292,fūgī,root aorist,floh,fled,0.0,{3},{3},lat. fūgī ‘floh’{3},"TD, AMB",AMB,07_23_2025_1516,273.0,root aorist,
6799.0,332.0,lat.,340,liv,37.0,,340,fulsī,root aorist,"blitzte, schimmerte","flashed, shimmered",1.0,6,"6: Wohl eher Neubildung, jedenfalls mit R(z) vom Präs.","?[lat. fulsī ‘blitzte, schimmerte’{6}","TD, AMB",AMB,07_23_2025_1516,242.0,root aorist,
6803.0,326.0,lat.,349,liv,38.0,,349,flēre,amphidynamic root-present,weinen,to cry,0.0,,,"[lat. fleō, flēre ‘weinen’,## [lat. flō, flāre ‘blasen, (Metall) gießen’{2}","TD, AMB",AMB,07_23_2025_1516,238.0,amphidynamic root-present,
6803.0,326.0,lat.,351,liv,38.0,,351,flāre,amphidynamic root-present,"blasen, (Metall) gießen","to blow, to cast (metal)",0.0,,,"[lat. fleō, flēre ‘weinen’,## [lat. flō, flāre ‘blasen, (Metall) gießen’{2}","TD, AMB",AMB,07_23_2025_1516,238.0,amphidynamic root-present,
6805.0,400.0,lat.,359,liv,39.0,,359,"*flāgō, -ere",full-grade e-present,schlagen,to strike / hit,0.0,2,"2: Aus den Ableitungen flāgitāre ‘(urspr. durch Schläge) dringend fordern’ und flāgitium ‘Züchtigung, Schande’ zu erschließen; vgl. SCHRIJVER 185.","lat. *flāgō, -ere ‘schlagen’{2}","TD, AMB",AMB,07_23_2025_1516,279.0,full-grade e-present,
6815.0,426.0,lat.,374,liv,42.0,,374,flīxī,sigmatic aorist,schlug,struck,0.0,,,lat. flīxī ‘schlug’,"TD, AMB",AMB,07_23_2025_1516,298.0,sigmatic aorist,
6833.0,445.0,lat.,424,liv,50.0,,424,frēgī,perfect,(zer)brach etw.,broke (something),0.0,5,"5: Vgl. MEISER, Habil. §186.",[lat. frēgī ‘(zer)brach etw.’{5},"TD, AMB",AMB,07_23_2025_1516,313.0,perfect,
6867.0,477.0,lat.,485,liv,63.0,,485,fruī,zero-grade i̯é-present,genießen,to enjoy,0.0,2,2: Nach SCHRIJVER 233 lautgesetzlich *frūu̯ōr < *frūi̯ōr < *frūgi̯ōr; anders ist das Fehlen von *g im Lat. kaum zu erklären.,"lat. fruor, fruī ‘genießen’{2}","TD, AMB",AMB,07_23_2025_1516,335.0,zero-grade i̯é-present,
6879.0,386.0,lat.,506,liv,68.0,,506,fūi,root aorist,war,was,0.0,6,"6: Wohl direkt aus *fū- abstrahiert, vgl. MEISER, Habil. §290.","alat. Konj. fuās ‘sollst sein’{5}, [lat. Perf. fūi ‘war’{6}","TD, AMB",AMB,07_23_2025_1516,271.0,root aorist,
6879.0,386.0,alat.,507,liv,68.0,,507,fuās,root aorist,sollst sein,you should be,0.0,5,"5: Mit analogischem fu- statt †f- < *fu̯- aus *fu̯ās < *bʰu̯eh₂-e-s, vgl. EICHNER, Sprache 34 (1988-90) 23169, MEISER, Habil. §83; RIX, HS 110 (1998) 263-4; Typ fast nur in Prohibitivsätzen wie nē fuās (s. RIX, l.c. 256-61 mit Lit.), daher auch Herleitung aus hier funktionell berechtigtem Inj. *bʰ(u)u̯eh₂-s (mit erhaltener R(e) und LINDEMAN in einsilbiger Wortform, R. L.) plausibel, vgl. RIX, l.c. 264. –","alat. Konj. fuās ‘sollst sein’{5}, [lat. Perf. fūi ‘war’{6}","TD, AMB",AMB,07_23_2025_1516,271.0,root aorist,
6881.0,386.0,lat.,521,liv,68.0,,521,fīerī,zero-grade i̯é-present,"werden, entstehen","to become, to arise",0.0,,,"lat. fīo, fīerī ‘werden, entstehen’{16}","TD, AMB",AMB,07_23_2025_1516,271.0,zero-grade i̯é-present,
6909.0,573.0,lat.,593,liv,75.0,,593,"Präs. dō, dáre",root aorist,geben,to give,0.0,9,"9: Vgl. MEISER, Habil. §130-1; dagegen nach LEUMANN 527-8 aus dem Präs. *didā-/dida- deredupliziert.","venet. doto ‘gab’{6},## lat. ce-dō, ce-tte ‘gib, gebt!’{7}; [falisk. por-ded ‘schenkte’{8},## → [lat. Präs. dō, dáre ‘geben’{9}","TD, AMB",AMB,07_23_2025_1516,401.0,root aorist,
6928.0,505.0,lat.,649,liv,79.0,,649,dīxī,s-aorist,sagte,said,0.0,,,lat. dīxī ‘sagte’,"TD, AMB",AMB,07_23_2025_1516,354.0,s-aorist,
6936.0,507.0,lat.,675,liv,81.0,,675,didicī,perfect,habe gelernt,have learned,0.0,16,16: Statt *de-dic-i mit di- nach Präs. discō ‘lerne’; LEUMANN 586.,"[lat. didicī ‘habe gelernt’ → ‘kenne, weiß’{16}","TD, AMB",AMB,07_23_2025_1516,355.0,perfect,
6936.0,507.0,lat.,676,liv,81.0,,676,didicī,perfect,"kenne, weiß",,0.0,16,16: Statt *de-dic-i mit di- nach Präs. discō ‘lerne’; LEUMANN 586.,"[lat. didicī ‘habe gelernt’ → ‘kenne, weiß’{16}","TD, AMB",AMB,07_23_2025_1516,355.0,perfect,
6955.0,519.0,lat.,712,liv,84.0,,712,indulsī,s-aorist,"ließ gewähren, gab nach","let it happen, gave in",0.0,,,"lat. indulsī ‘ließ gewähren, gab nach’","TD, AMB",AMB,07_23_2025_1516,365.0,s-aorist,
