index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num,doc_token_index
0,0,Ut,subordinating_conjunction,ut,U,mark,7,{PronominalType: [relative]},{F: [pos]},['ut'],[ʊt̪],8,\N,1,64221
1,0,belli,noun,bellus,bell,nmod,2,"{Case: [genitive], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['bel', 'li']",[bɛɫlɪ],8,\N,1,64222
2,0,signum,noun,signum,sign,nsubj,7,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['sig', 'num']",[sɪŋn̪ũː],8,\N,1,64223
3,0,Laurenti,adjective,laurens,Laurent,amod,2,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['lau', 'ren', 'ti']",[lawrɛn̪t̪ɪ],8,\N,1,64224
4,0,Turnus,proper_noun,Turnus,Turn,nsubj,7,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], NameType: [person_given_name], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['tur', 'nus']",[t̪ʊrn̪ʊs],8,\N,1,64225
5,0,ab,adposition,ab,ab,case,6,\N,"{F: [pos], N: [neg], V: [neg]}",['ab'],[ab],8,\N,1,64226
6,0,arce,noun,arx,arc,obl:arg,7,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ar', 'ce']",[arkɛ],8,\N,1,64227
7,0,extulit,verb,exsulo,extuli,root,-1,"{Aspect: [perfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ex', 'tu', 'lit']",[ɛkst̪ʊlɪt̪],8,\N,2,64228
8,0,et,coordinating_conjunction,et,et,cc,10,\N,{F: [pos]},['et'],[ɛt̪],8,\N,2,64229
9,0,rauco,noun,rauco,rauc,obj,10,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['rau', 'co']",[rawkɔ],8,\N,2,64230
10,0,strepuerunt,verb,strupor,strepueru,conj,7,"{Aspect: [perfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['stre', 'pu', 'e', 'runt']",[st̪rɛpʊjɛrʊn̪t̪],8,\N,2,64231
11,0,cornua,noun,cornu,cornu,obj,10,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['cor', 'nu', 'a']",[kɔrn̪ʊja],8,\N,2,64232
12,0,cantu,noun,cantus,cant,obl,10,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['can', 'tu']",[kan̪t̪ʊ],8,\N,2,64233
13,0,",",punctuation,",",",",punct,16,\N,\N,"[',']",\N,8,\N,2,64234
14,0,utque,subordinating_conjunction,utque,u,mark,16,{<class 'NoneType'>: [None]},{F: [pos]},"['ut', 'que']",[ʊt̪kʷɛ],8,\N,3,64235
15,0,acris,noun,acr,acr,nsubj,16,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['a', 'cris']",[akrɪs],8,\N,3,64236
