orig_lang_abbrev_raw,count
toch. A,365
toch. B,345
toch. AB,63
toch. В,49
toch. A ,45
ahd. as. ,38
? toch. B,33
as. ahd. ,32
ahd. mhd. ,30
mhd. nhd. ,26
toch. B ,21
? toch. A,18
as. ags. ,17
ags. as. ,15
ahd. ags.,13
mnd. mhd. ,13
serb.-ksl.,12
cymr. corn. bret. ,12
cymr. corn. ,10
norw. schwed. ,9
air. mir. ,9
schwed. norw. ,8
corn. bret. ,8
cymr. bret.,7
av. ap. ,7
toch. AB ,7
gr. poet.,7
mnd. nnd. ,7
ep. ion.,7
dän. norw. ,6
ep. ion. ,6
mhd. mnd.,6
ags. ahd.,6
norw. dän.,6
ahd. ags. ,6
ags. ahd. ,5
osk.-umbr. ,5
ags. aisl.,5
norw. dän. ,5
ahd. as. ags. ,5
aisl. ags. ,5
nd. ndl. ,5
isl. norw.,5
got. ahd.,5
ahd. as. ags.,5
mhd. mnd. ,5
serb.-ksl. ,5
skr.-ksl. ,5
russ. ksl. ,5
čech. poln.,5
ahd. mnd.,4
nhd. tirol. ,4
nhd. nd. ,4
nhd. hess. ,4
nhd. (nd.) ,4
ndd. nhd.,4
ahd. nhd. ,4
as. afries. ,4
gall.-gr.,4
skr.-ksl.,4
av. apers. ,4
hom. att. ,4
? toch. A ,4
ags. as. ahd.,4
ags. as. ahd. ,4
toch. А,4
gr thess.,4
dän. schwed. ,3
got. ags.,3
aisl. ahd.,3
afries. ags.,3
afries. ags. ,3
got. langob.,3
afries. as. ags.,3
gr. herakl.,3
afries. mnd.,3
ags. afries.,3
ags. afries. ,3
ags. ahd. as.,3
gr. lesb.,3
alit. lit. dial.,3
av. apers.,3
bret. corn. ,3
gr. dor.,3
got. ahd. as.,3
corn. mbret.,3
mhd. nd. ,3
hom. ion. ,3
illyr.-pannon.,3
lit. (žem.),3
mhd. md. ,3
mhd. nhd. dial.,3
mhd. nhd. dial. ,3
mnd. nd.,3
mnd. nhd. ,3
abrit.-lat.,3
cymr. acorn. ,3
cymr. bret. ,3
lit. lett.,2
lit. žem,2
mbret. nbret.,2
mengl. mnd.,2
mengl. nengl.,2
mengl. nengl. ,2
as. ags. ahd.,2
dor.-ill. ,2
dor. äol. ,2
gr. ion.,2
got. as. ,2
ir. cymr. corn. bret.,2
gr. dor. ,2
