eng_abbrev,source_abbrev,full_language_name,wikt_lang_key,lang_index,Glottolog_lang
Aeol.," , äol.,Ã¤ol.,äol.,aiol.","Aeolic,Aeolic Greek",Aeolic_Greek,1025,Aeolic [aeol1234]
Boeot.,"boiot.,boot.,böot.",Boeotian Greek,Boeotian_Greek,1025,Aeolic [aeol1234]
Lesb.,lesb.,Lesbian,Ancient_Greek,1025,Aeolic [aeol1234]
OBoeot.,aböot.,Old Boeotian,,1025,Aeolic [aeol1234]
Thess.," thessal.,thess.,gr. thessal.","Thessalian,Thessalian Greek",Ancient_Greek,1025,Aeolic [aeol1234]
Alb.,"alb,alb.,alban.",Albanian,Albanian,22,Albanian [alba1267][sqi]
Alb.cal.dial.,"cal.,griech.,griech. cal.",Albanian (Calabrian dialect),Albanian,22,Albanian [alba1267][sqi]
OAlb.,"aa.,aalb.",Old Albanian,Albanian,22,Albanian [alba1267][sqi]
OTosk.,atosk.,Old Tosk,Tosk_Albanian,23,Albanian-Tosk [alba1268]
Tosk,alb. tosk.,Tosk,Tosk_Albanian,23,Albanian-Tosk [alba1268]
Tosk.,tosk.,Tosk,Tosk_Albanian,23,Albanian-Tosk [alba1268]
Alem.,alem.,Alemannic German,Alemannic_German,566,Alemannic [alem1243]
Alsat.,elsäss.,Alsatian German,,585,Alsace Low Alemannic [alsa1241]
Pers.,pers.,Persian,Persian,"2,566","Anatolian [anat1257], Alemannic [alem1243]"
Apul.,apul.,Apulian Greek,Apulian_Greek,1047,Apulian Greek [apul1237]
Arc.," ark.,ark.,arkad.,gr. ark.","Arcadian,Arcadian Greek",Ancient_Greek,1035,Arcado-Cypriot [arca1234]
Arc.,", ark.,ark.",Arcadian,Ancient_Greek,1035,Arcado-Cypriot [arca1234]
Arc.Cyp.,ark. kypr.,Arcado-Cypriot,Arcadocypriot_Greek,1035,Arcado-Cypriot [arca1234]
Gutn.,gotländ.,Gutnish,,362,Archaic Gutnish [gutn1238]-l-
OGutn.,"agutn.,altgutn.",Old Gutnish,,362,Archaic Gutnish [gutn1238]-l-
Ashk.,ashkun.,Ashkun,Ashkun,2666,Ashkun [ashk1246][ask]-l-
Att.," att.,att.,gr. att.","Attic,Attic Greek",Attic_Greek,1039,Attic [atti1240]
Att.inscr.,att. inschr.,Attic Greek (inscriptional),,1039,Attic [atti1240]
OAtt.,altatt.,Old Attic,,1039,Attic [atti1240]
