rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index,orig_lang_abbrev_raw,lang_map_status
3484,,"ODan.,Norw.",86271,pok,,,67056,ōs,,Pflanzensaft,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2186,(älter) dän. norw.,conflict
3617,269,TA,9028,nil,0,,12,pāk,*bʰág-o-,Anteil,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3654,262,TA,9137,nil,4,,121,arämpāt,*bʰah₂-to-,Erscheinung,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3697,347,TA,9219,nil,8,,203,pare,*bʰōr-(i)i̯o-,Schuld; zu zahlen (Adj.),,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3761,364,TA,9437,nil,9,,421,pärkär,*bʰr̥ĝʰ-u-,lang,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3801,388,TA,9535,nil,11,,519,poto,*bʰou̯dʰ-áh₂-,Schmeichelei,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3813,474,TA,9649,nil,13,,633,pärwāṃ,*bʰruH-,Braue,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3940,1006,TA,10116,nil,18,,1100,kṣär,? *(ĝʰ)-di̯-es,"morgens, am Morgen",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
3963,1006,TA,10116,nil,18,,1100,kṣär,? *(ĝʰ)-di̯-es,"morgens, am Morgen",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
4250,926,TA,11399,nil,34,,2383,āknats,*ĝn̥h₃-tó-,"dumm, närrisch; Narr",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
4359,1143,TA,11770,nil,41,,2754,śāyu,*gʷih₃-u̯-ii̯o/ah₂-,eine Art Tier,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
4912,215,TA,13634,nil,74,,4618,okäm,*h₂áu̯g-men-,Wachstum,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
5083,2196,TA,14200,nil,86,,5184,trak,ˣh₃okʷ-ih₁,blind,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
5178,1260,TA,14512,nil,94,,5496,muk,*(-)i̯ug-ó-,Joch,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
5339,1668,TA,15000,nil,108,,5984,kᵤciṃ,*k̑u̯it-i-,hell,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
5406,1808,TA,15216,nil,114,,6200,lek,*(-)loi̯kʷ-ó-,fort,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
5493,1938,TA,15498,nil,123,,6482,māk,? *m̥ĝ-h₂-,viel; sehr (Adv.),,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
5671,2105,TA,16104,nil,138,,7088,new,*nah₂-u̯-(i)i̯o/ah₂-,Flut,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
6578,208,TA,18986,nil,201,,9970,wär,*uh₁-r-,Wasser,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A,conflict
4338,1159,TA,11666,nil,40,,2650,kuli,^^x^^gʷn-áh₂-,Frau,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A ,conflict
4338,1159,TA,11667,nil,40,,2651,kule,^^x^^gʷn-áh₂-,Frau,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A ,conflict
5722,2254,TA,16318,nil,142,,7302,päts,*(-)ped-ah₂-,Boden,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A ,conflict
6425,3101,TA,18542,nil,191,,9526,ṣar,*su̯ésor-,Schwester,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. A ,conflict
3617,269,TB,9029,nil,0,,13,pāke,*bʰág-o-,Anteil,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
3654,262,TB,9136,nil,4,,120,erepāte,*bʰah₂-to-,Erscheinung,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
3697,347,TB,9220,nil,8,,204,peri,*bʰōr-(i)i̯o-,Schuld; zu zahlen (Adj.),,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
3761,364,TB,9438,nil,9,,422,pärkare,*bʰr̥ĝʰ-u-,lang,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
3801,388,TB,9536,nil,11,,520,pauto,*bʰou̯dʰ-áh₂-,Schmeichelei,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
3813,474,TB,9650,nil,13,,634,pärwāne,*bʰruH-,Braue,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4017,1004,TB,10520,nil,22,,1504,keñiye,? *dʰĝʰ-ém-ii̯o-,zum Land gehörig,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4250,926,TB,11400,nil,34,,2384,aknātsa,*ĝn̥h₃-tó-,"dumm, närrisch; Narr",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4338,1159,TB,11668,nil,40,,2652,kl(y)iye,^^x^^gʷn-áh₂-,Frau,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4338,1159,TB,11669,nil,40,,2653,klai,^^x^^gʷn-áh₂-,Frau,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4359,1143,TB,11769,nil,41,,2753,śaiyye,*gʷih₃-u̯-ii̯o/ah₂-,"Schaf, Ziege",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4628,3511,TB,12712,nil,60,,3696,yṣuw-ar,*h₁u̯és-u-,"freundlich, günstig",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4691,13,TB,12908,nil,64,,3892,āk,*h₂ōĝ-í-,Eifer,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
