rt_ref_link_id,rt_ref_link_id_old,lang,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index,orig_lang_abbrev_raw,lang_map_status
4294.0,1080.0,TB,11530,nil,36.0,,2514,ṣar,*ĝʰes-r-,Hand,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
4372.0,1181.0,TB,11881,nil,42.0,,2865,kewiye,*gʷou̯-i̯o-,zur Kuh gehörig; Butter,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
4421.0,1249.0,RussCS,12009,nil,47.0,,2993,jatry,^^x^^Hi̯(e)nh₂-tr-,"Schwägerin, des Mannesbruders Frau",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,russ. ksl.,conflict
4839.0,110.0,TB,13364,nil,70.0,,4348,āñme,*h₂ánh₁-men-,Wunsch,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
5300.0,1557.0,TB,14865,nil,106.0,,5849,ñemkälywe ,*k̑léu̯-es-,Ruhm,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
5754.0,2365.0,TB,16433,nil,143.0,,7417,puwar,ˣph₂u̯ōr,Feuer; Verdauung,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
6258.0,2954.0,TB,17982,nil,182.0,,8966,wasto,*du̯i-sth₂-o-,"wieder, zweifach",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
6441.0,2679.0,TB,18665,nil,193.0,,9649,soy,*suH-i̯u-,Sohn,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
6441.0,2679.0,TB,18666,nil,193.0,,9650,seyi,*suH-i̯u-,Sohn,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
6442.0,2679.0,TB,18667,nil,193.0,,9651,soṃśke,*suH-nu-kiko/ah₂-,(dear) son,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,toch. B ,conflict
206.0,,,19241,pok,,,19,Abona,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1.0,gall. brit. ,conflict
3356.0,,,19360,pok,,,138,til,,bis,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,7.0,ags. aisl.,conflict
3520.0,,,19454,pok,,,232,ἀγνέω,,"führe, bringe",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,lak. ätol. kret.,conflict
3520.0,,,19455,pok,,,233,ἀγῑνέμεναι,,"führe, bringe",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,ep. ion,conflict
3520.0,,,19456,pok,,,234,ἀγῑνέω,,"führe, bringe",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,ep. ion,conflict
2.0,,,19532,pok,,,310,ager,,Feld,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,lat. umbr. ,conflict
30.0,,,19993,pok,,,771,ērīn,,ehern,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,39.0,as. ahd. mhd.,conflict
60.0,,,20353,pok,,,1131,ocet,,Egge,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,47.0,acymr. corn.,conflict
64.0,,,20433,pok,,,1211,loni,,"im vorigen Sommer, im vorigen Jahre",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,52.0,čech. poln. ,conflict
70.0,,,20685,pok,,,1463,āṭā ,,Mehl,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,56.0,hindi bengali ,conflict
76.0,,,20939,pok,,,1717,bī-,,bei,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,68.0,as. ags. ahd.,conflict
85.0,,,21005,pok,,,1783,ana,,πότνια,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,75.0,messap. illyr.,conflict
94.0,,,21144,pok,,,1922,ἀν,,"auf, in die Höhe, entlang",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,78.0,dor. böot. ark. kypr.,conflict
94.0,,,21145,pok,,,1923,ὀν,,"auf, in die Höhe, entlang",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,78.0,lesb. thess. ark.,conflict
109.0,,,21346,pok,,,2124,igle,,ein schmarotzender Blattwurm in den Eingeweiden der Tiere und in der Haut und den Kiemen der Fische,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,86.0,dän. norw.,conflict
109.0,,,21348,pok,,,2126,igil,,Igel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,86.0,ahd. ags.,conflict
109.0,,,21368,pok,,,2146,anken,,"Not, Notwendigkeit",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,87.0,corn. bret. ,conflict
113.0,,,21461,pok,,,2239,enkel,,Knöchel am Fuß,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,88.0,mhd. mnd.,conflict
118.0,,,21503,pok,,,2281,Öse,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,91.0,spätmhd. nhd.,conflict
121.0,,,21566,pok,,,2344,and-,,"ant-, ent-",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,93.0,anord. as. ags.,conflict
121.0,,,21567,pok,,,2345,ant-,,"ant-, ent-",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,93.0,ahd. mhd. nhd.,conflict
121.0,,,21569,pok,,,2347,ent-,,"ant-, ent-",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,93.0,mhd. nhd. ,conflict
125.0,,,21591,pok,,,2369,unto,,"zu, bis",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,93.0,as. engl.,conflict
125.0,,,21615,pok,,,2393,and,,und,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,93.0,ags. engl.,conflict
131.0,,,21747,pok,,,2525,o,,"ex, ab, de",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,101.0,acymr. ncymr.,conflict
131.0,,,21748,pok,,,2526,a,,"ex, ab, de",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,101.0,acorn. mcorn. bret.,conflict
134.0,,,21828,pok,,,2606,pa-,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,101.0,aksl. lit.,conflict
134.0,,,21833,pok,,,2611,ἀπύ,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,101.0,ark. kypr. lesb. thess.,conflict
145.0,,,22023,pok,,,2801,rām,,Ziel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,103.0,mhd. mnd.,conflict
147.0,,,22234,pok,,,3012,argant,,Silber,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,112.0,corn. mbret.,conflict
153.0,,,22395,pok,,,3173,ozd,,Malzdarre,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,120.0,čech. apoln. ,conflict
153.0,,,22396,pok,,,3174,ozditi ,,Malz dörren,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,120.0,čech. slov. ,conflict
157.0,,,22457,pok,,,3235,ak,,aber,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,125.0,got. as. ,conflict
165.0,,,22571,pok,,,3349,au-,,"weg, ab",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,129.0,apr. lit. lett.,conflict
168.0,,,22607,pok,,,3385,ava,,jener,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,130.0,ai. av. ap.,conflict
168.0,,,22608,pok,,,3386,ovъ- — ovъ-,,der einerseits — der andrerseits; der eine — der andere,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,130.0,aksl. aruss.,conflict
168.0,,,22609,pok,,,3387,ovogda — ovogda,,das eine Mal — das andere Mal,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,130.0,aksl. aruss.,conflict
173.0,,,22670,pok,,,3448,vā - vā,,entweder - oder,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,130.0,ai. av. ,conflict
189.0,,,22935,pok,,,3713,wascan,,waschen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,135.0,ahd. ags.,conflict
190.0,,,22962,pok,,,3740,vār ,,regnen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,135.0,iran. av.,conflict
219.0,,,23554,pok,,,4332,bl-ae-sus,,"lispelnd, lallend",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,149.0,lat. osk.,conflict
231.0,,,23754,pok,,,4532,pal,,"unbeweglich, fest",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,165.0,ndl. ndd. fries.,conflict
239.0,,,23910,pok,,,4688,podde,,Kröte,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,168.0,mengl. ndd. ,conflict
239.0,,,23918,pok,,,4696,pot,,"Pott, Topf",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,168.0,afries. mnd. ,conflict
242.0,,,23968,pok,,,4746,pogge,,"Frosch, Kröte; Geschwulst am Unterleib bei Kühen und Stuten",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,168.0,mndd. nndd. ,conflict
242.0,,,23969,pok,,,4747,pugge ,,"Frosch, Kröte; Geschwulst am Unterleib bei Kühen und Stuten",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,168.0,mndd. nndd. ,conflict
244.0,,,23985,pok,,,4763,big,,"dick, groß, aufgeblasen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,168.0,mengl. nengl. ,conflict
251.0,,,24291,pok,,,5069,baju,,"erzählen, besprechen, heilen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,179.0,russ.-serb.-ksl.,conflict
258.0,,,24414,pok,,,5192,πᾶχυς ,,"Ellbogen, Unterarm",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,186.0,äol.-dor. ,conflict
260.0,,,24436,pok,,,5214,broch,,Dachs,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,187.0,cymr. mbr.,conflict
261.0,,,24455,pok,,,5233,bar,,"Spitze, Gipfel, Laub",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,189.0,cymr. corn. ,conflict
261.0,,,24475,pok,,,5253,borre,,Klette,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,189.0,dän.-schwed.,conflict
264.0,,,24549,pok,,,5327,far,,"Dinkel, Spelt; Schrot, Mehl",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,192.0,osk. umbr.,conflict
