orig_lang_abbrev_raw,count
sloven. ,87
sloven.,76
serb.ksl.,9
waxi,8
alts.,4
waxi ,4
slovz. ,4
ädän.,3
ved,3
baloči,3
nuristani,3
de,3
pašto ,3
baluči ,2
baluči,2
baloči ,2
? mitanni,2
Ptz.,2
jav,2
waigali,2
hellen. ,2
thür.,2
waxī,2
tochar. ,2
yaγnobī,2
(älter) ndrhein. ,1
? geg,1
baluchi ,1
alts. ,1
anmhd. ,1
aleman.-rheinfränk. ,1
abair. ,1
? serb.ksl.,1
? waṇeci ,1
schwed.-norw. mdartl.,1
pamir. šugni ,1
mdn. ,1
norddt. dial. ,1
manx ,1
kashmiri,1
grruss. ,1
heṭh.,1
dardisch ,1
aeol. ,1
aegin. ,1
altbret. ,1
amhd. ,1
theban. ,1
sindhi,1
spätved,1
unklar,1
umu.,1
ukrain. ,1
tsakon. ,1
thüring. ,1
thes. ,1
südbaluči ,1
wenat.,1
westfl.,1
westfal. ,1
westoss.,1
ändl.,1
āav.,1
šughni,1
šughni ,1
аp.,1
