"18","bodǫ","pierce / stab","3693","ⰱⱘⰴⱘ","third-person plural imperative of бꙑти (byti)","third-person plural imperative of бꙑти (byti)"
"18","bodǫ","pierce / stab","4461","бѫдѫ","inflection of бꙑти (byti):","inflection of бꙑти (byti):; first-person singular future indicative"
"19","bosti","pierce / stab","482","бости","to pierce","to pierce"
"46","běžati","run, flee","2513","бѣжати","to run, to escape","to run, to escape"
"108","běditi","to force","3652","бѣдити","to persuade","to persuade"
"119","bi","struck (sg. and pl.)","2302","би","second-person singular conditional of бꙑти (byti)","second-person singular conditional of бꙑти (byti)"
"120","bišę","struck (sg. and pl.)","3694","ⰱⰻⱎⱔ","third-person plural conditional of бꙑти (byti)","third-person plural conditional of бꙑти (byti)"
"120","bišę","struck (sg. and pl.)","4493","бишѧ","third-person plural conditional of бꙑти (byti)","third-person plural conditional of бꙑти (byti)"
"229","brati","to fight","668","брати","to fight","to fight"
"264","bljusti","to pay attention to; guard","1253","блюсти","to watch, guard","to watch, guard"
"387","blęsti","err, chatter","494","блѧсти","chatter, talk nonsense","chatter, talk nonsense"
"394","blǫditi","to err, to sin, to fornicate","838","блѫдити","to wander, to roam","to wander, to roam"
"606","dati","to give","325","дати","to give","to give"
"972","žešti","burn; kindle, burn","486","жещи","burn","burn"
"1039","děti","set, lay","1111","дѣти","children","(plural only) children"
"1039","děti","set, lay","1112","дѣти","to do","to do"
"1039","děti","set, lay","2153","дѧти","to put","to put"
"1302","dǫti","to blow","1065","дѫти","to blow","to blow"
"1307","drobiti","splinter, grind up","3759","ⰴⱃⱁⰱⰻⱅⰻ","Glagolitic spelling of дробити (drobiti)","Glagolitic spelling of дробити (drobiti)"
"1431","zęti","to tear apart","538","зѧть","bridegroom","bridegroom"
"1431","zęti","to tear apart","720","зѧти","to gnaw","(hapax legomenon) to gnaw"
"1431","zęti","to tear apart","1097","жѧти","to reap","to reap"
"1544","znati","know","628","знати","to know","to know"
"1578","zinǫti","open the mouth wide","2867","зинѫти","to gape, to open (one's mouth)","to gape, to open (one's mouth)"
"1749","gubiti","ruin, destroy","466","гоубити","to destroy","to destroy"
"1752","gybnǫti","perish","679","гꙑбнѫти","to perish","to perish"
"1788","gnesti","press, knead","491","гнести","to squeeze","to squeeze"
"1866","žlěsti","pay, atone","1155","жлѣсти","alternative form of жласти (žlasti)","alternative form of жласти (žlasti)"
"1913","grabiti","snatch, seize","2358","грабити","seize, snatch","seize, snatch"
"1919","greti","row; dig","1187","грети","to bury","to bury"
"1949","gresti","go, come","305","грѧсти","come","come"
"2067","žrěti","to devour","1098","жрѣти","alternative form of жрьти (žrĭti)","alternative form of жрьти (žrĭti)"
"2067","žrěti","to devour","3322","зрѣти","alternative form of зьрѣти (zĭrěti)","alternative form of зьрѣти (zĭrěti)"
"2112","žęti","harvest","538","зѧть","bridegroom","bridegroom"
"2112","žęti","harvest","720","зѧти","to gnaw","(hapax legomenon) to gnaw"
"2112","žęti","harvest","1097","жѧти","to reap","to reap"
