lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
1,OIr.,fa,\N,main,fá,/βa/,conj.,\N,Apparently a derivative of some form of the copula is that is from Proto-Indo-European *bʰuH-.,"<div class=""oldirish bodytext"">(in indirect interrogative clauses) or</div>",(in indirect interrogative clauses) or,or
2,OIr.,a-,\N,main,\N,\N,prefix,\N,From Proto-Celtic *em m and *ed n.,"<div class=""oldirish bodytext"">him (triggers eclipsis)</div>",him (triggers eclipsis),him (triggers eclipsis)
2,OIr.,a-,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">it (triggers lenition)</div>",it (triggers lenition),it (triggers lenition)
3,OIr.,abb,\N,main,\N,\N,n.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ap</div>",alternative spelling of ap,alternative spelling of ap
4,OIr.,on,1,main,\N,\N,pron.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ón</div>",alternative spelling of ón,alternative spelling of ón
5,OIr.,on,2,main,\N,\N,article,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ón</div>",alternative spelling of ón,alternative spelling of ón
6,OIr.,de,1,main,\N,/d̠ʲe/,prep.,\N,\N,"<div class=""oldirish bodytext"">alternative form of di (“of, from”)</div>","alternative form of di (“of, from”)","alternative form of di (“of, from”)"
7,OIr.,de,2,main,\N,/d̠ʲe/,pron.,\N,\N,"<div class=""oldirish bodytext"">third-person singular masculine/neuter of di (“of, from”)</div>","third-person singular masculine/neuter of di (“of, from”)","third-person singular masculine/neuter of di (“of, from”)"
7,OIr.,de,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">Used after the comparative degree of an adjective in the meaning of English “the” before a comparative</div>",Used after the comparative degree of an adjective in the meaning of English “the” before a comparative,Used after the comparative degree of an adjective in the meaning of English “the” before a comparative
8,OIr.,in,1,main,\N,\N,article,\N,"From Proto-Celtic *sindos (“this”), from Proto-Indo-European *sḗm (“one”) or *só (“this”); weak doublet of sin (“this”).","<div class=""oldirish bodytext"">the (masculine singular nominative/accusative; feminine singular accusative; masculine/feminine/neuter dual nominative/accusative/genitive)</div>",the (masculine singular nominative/accusative; feminine singular accusative; masculine/feminine/neuter dual nominative/accusative/genitive),the (masculine singular nominative/accusative; feminine singular accusative; masculine/feminine/neuter dual nominative/accusative/genitive)
8,OIr.,in,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ind</div>",alternative spelling of ind,alternative spelling of ind
9,OIr.,in,2,main,\N,\N,particle,\N,"Unknown. Probably related to Middle Welsh a (interrogative particle). The n may be from Proto-Celtic *ne (compare Latin -ne (interrogative particle). Has been compared to Latin an (“or, whether”, interrogative particle).","<div class=""oldirish bodytext"">interrogative particle forming yes-no questions</div>",interrogative particle forming yes-no questions,interrogative particle forming yes-no questions
10,OIr.,in,3,main,\N,\N,v.,\N,"Unknown. Probably related to Middle Welsh a (interrogative particle). The n may be from Proto-Celtic *ne (compare Latin -ne (interrogative particle). Has been compared to Latin an (“or, whether”, interrogative particle).","<div class=""oldirish bodytext"">third-person singular present indicative interrogative of is: is...?</div>",third-person singular present indicative interrogative of is: is...?,third-person singular present indicative interrogative of is: is...?
11,OIr.,in,4,main,\N,\N,prep.,\N,\N,"<div class=""oldirish bodytext"">alternative form of i (“in”) (often before cach, cech (“each, every”) and for (“your pl”))</div>","alternative form of i (“in”) (often before cach, cech (“each, every”) and for (“your pl”))","alternative form of i (“in”) (often before cach, cech (“each, every”) and for (“your pl”))"
12,OIr.,in,5,main,\N,\N,particle,\N,"Certainly cognate with Middle Welsh and Welsh yn (predicate marker); possibly originally the masculine/neuter dative singular of the definite article (see etymology 1).\nAlternatively from a preposition Proto-Celtic *endo, governing the dative, a compound of *en (“in”) and *do (“to”)","<div class=""oldirish bodytext"">Used with the masculine/neuter dative singular of an adjective to form the corresponding adverb: -ly</div>",Used with the masculine/neuter dative singular of an adjective to form the corresponding adverb: -ly,Used with the masculine/neuter dative singular of an adjective to form the corresponding adverb: -ly
13,OIr.,o,1,main,\N,\N,prep.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ó</div>",alternative spelling of ó,alternative spelling of ó
14,OIr.,o,2,main,\N,\N,n.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ó</div>",alternative spelling of ó,alternative spelling of ó
15,OIr.,i,\N,main,\N,\N,prep.,\N,"From Proto-Celtic *en (compare Welsh yn), from Proto-Indo-European *h₁én (compare English in, Latin in, Ancient Greek ἐν (en)).\nThe third-person singular masculine and neuter inflected dative form and is not derived from a contraction with a pronoun. Instead, it was originally an adverb with an independent etymology. See its page for its etymology.","<div class=""oldirish bodytext"">in [with dative]</div>",in [with dative],in
15,OIr.,i,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">into [with accusative]</div>",into [with accusative],into
15,OIr.,i,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">in regard to, as to [with dative]</div>","in regard to, as to [with dative]","in regard to, as to"
15,OIr.,i,4,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">as [with accusative]</div>",as [with accusative],as
16,OIr.,mann,\N,main,mainne,/ˈman̪/,n.,\N,"From Late Latin manna, from Ancient Greek μάννα (mánna), from Biblical Hebrew מָן (mān, “manna”).","<div class=""oldirish bodytext"">manna (food)</div>",manna (food),manna (food)
17,OIr.,bit,\N,main,\N,\N,v.,\N,\N,"<div class=""oldirish bodytext"">third-person plural future of is</div>",third-person plural future of is,third-person plural future of is
18,OIr.,be,\N,main,ba,\N,v.,\N,\N,"<div class=""oldirish bodytext"">second-person singular present subjunctive of is</div>",second-person singular present subjunctive of is,second-person singular present subjunctive of is
18,OIr.,be,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">first/second-person singular future of is</div>",first/second-person singular future of is,first/second-person singular future of is
19,OIr.,is,\N,main,iss,/ˈisʲ/,v.,\N,"The lemma is itself is from Proto-Celtic *esti, from Proto-Indo-European *h₁ésti; other forms are from either *h₁es- or *bʰuH-.","<div class=""oldirish bodytext"">to be</div>",to be,to be
20,OIr.,cum,\N,main,·cum,/ˈkuβ̃/,v.,\N,\N,"<div class=""oldirish bodytext"">alternative form of ·cumai, third-person singular present subjunctive prototonic of con·icc</div>","alternative form of ·cumai, third-person singular present subjunctive prototonic of con·icc","alternative form of ·cumai, third-person singular present subjunctive prototonic of con·icc"
21,OIr.,port,\N,main,puirt,/ˈport̪/,n.,\N,Borrowed from Latin portus.,"<div class=""oldirish bodytext"">place</div>",place,place
21,OIr.,port,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">shore</div>",shore,shore
22,OIr.,os,\N,main,ot,\N,conj.,\N,"Hamp derives this from Proto-Celtic *sonts, plural *sontes (whence ot); ultimately from Proto-Indo-European *h₁sónts. Copular origin explains the use of independent subject pronouns with this conjunction, which otherwise are usually used with the copula is.\nA more traditional theory, assumed by Pedersen and Thurneysen among others, supposes that this is a contraction of ocus (“and”), with the apparent copular behaviour being analogical.","<div class=""oldirish bodytext"">disjunctive conjunction</div>",disjunctive conjunction,disjunctive conjunction
23,OIr.,estar,\N,main,·estar,/ˈes.t̪əɾ/,v.,\N,\N,"<div class=""oldirish bodytext"">third-person singular present subjunctive conjunct of ithid</div>",third-person singular present subjunctive conjunct of ithid,third-person singular present subjunctive conjunct of ithid
24,OIr.,and,1,main,\N,/ˈan̪d̪/,pron.,\N,"From Proto-Celtic *andom, from Proto-Indo-European *h₁n̥dó. The adverbial sense of this term is the original one, and it has an etymology independent of i.","<div class=""oldirish bodytext"">third-person singular masculine/neuter dative of hi: in him, in it</div>","third-person singular masculine/neuter dative of hi: in him, in it","third-person singular masculine/neuter dative of hi: in him, in it"
25,OIr.,and,2,main,\N,/ˈan̪d̪/,adv.,\N,"From Proto-Celtic *andom, from Proto-Indo-European *h₁n̥dó. The adverbial sense of this term is the original one, and it has an etymology independent of i.","<div class=""oldirish bodytext"">there</div>",there,there
25,OIr.,and,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">then, in that case</div>","then, in that case","then, in that case"
26,OIr.,ci,1,main,\N,\N,pron.,\N,\N,"<div class=""oldirish bodytext"">alternative form of cía</div>",alternative form of cía,alternative form of cía
27,OIr.,ci,2,main,\N,\N,conj.,\N,\N,"<div class=""oldirish bodytext"">alternative form of cía</div>",alternative form of cía,alternative form of cía
28,OIr.,amar,\N,main,\N,/ˈa.β̃əɾ/,n.,\N,"From Proto-Celtic *amarom (“wailing, crying”); compare Welsh afar (“lamentation”).","<div class=""oldirish bodytext"">wailing, moaning</div>","wailing, moaning","wailing, moaning"
