lemma,type,orthography,part-of-speech,etymology,entry
A1,main,"A, a indecl.",n. n.,\N,"(sometimes joined with<sense level=""1"" n=""I"" id=""n0.0""><hi rend=""ital"">littera</hi>), the first letter of the Latin alphabet, corresponding to the a, <foreign lang=""greek"">α</foreign> of the other Indo-European languages: <cit><quote lang=""la"">A primum est: hinc incipiam, et quae nomina ab hoc sunt, Lucil. ap. Terent. Scaur. p. 2255 P.: sus rostro si humi A litteram impresserit,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi053.perseus-lat2:1:13:23""><author>Cic.</author> Div. 1, 13, 23</bibl></cit>: <cit><quote lang=""la"">ne in A quidem atque S litteras exire temere masculina Graeca nomina recto casu patiebantur,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:1:5:61""><author>Quint.</author> 1, 5, 61</bibl></cit>.</sense><sense level=""4"" n=""a"" id=""n0.5"">In consequence of the suppression of the following consonants at the end or in the middle of the word: ăb, <hi rend=""ital"">ā;</hi> vădis, <hi rend=""ital"">vās;</hi> ăg-, ăg-men, <hi rend=""ital"">exāmen;</hi> tăg-, <hi rend=""ital"">contāmino;</hi> căd-, <hi rend=""ital"">cāsus</hi>. Hence also in the <hi rend=""ital"">abl. sing.</hi> of the first decl., and in the particles derived from it, in consequence of the suppression of the original ablat. end. -<hi rend=""ital"">d</hi>: PRAEDAD (Col. Rostr.), <hi rend=""ital"">praedā;</hi> SENTENTIAD (S. C. de Bacch.), <hi rend=""ital"">sententiā;</hi> EXTRAD (ib.), <hi rend=""ital"">extrā;</hi> SVPRAD (ib.), <hi rend=""ital"">suprā</hi>. —Hence,</sense><sense level=""5"" n=""(b)"" id=""n0.15""> Sometimes also before <hi rend=""ital"">two consonants</hi> (where it is usually changed into <hi rend=""ital"">ĕ;</hi> <xr><lbl>v.</lbl> <ref targOrder=""U"" type=""sym"">supra</ref></xr>, 2. <foreign lang=""greek"">α. β.</foreign>): tăg-, tango, <hi rend=""ital"">contingo;</hi> păg-, pango, <hi rend=""ital"">compingo</hi> (unchanged in some compounds, as <hi rend=""ital"">peragro, desacro, depango, obcanto</hi>, etc.).</sense><sense level=""4"" n=""a"" id=""n0.23"">In the second part of compounds, particularly before <hi rend=""ital"">l, p</hi>, and <hi rend=""ital"">b</hi>: calco, <hi rend=""ital"">inculco;</hi> salsus, <hi rend=""ital"">insulsus;</hi> salto, <hi rend=""ital"">exsulto;</hi> capio, <hi rend=""ital"">occŭpo;</hi> răpio, <hi rend=""ital"">surrupio</hi> and <hi rend=""ital"">surruptus</hi> (also written surripio and surreptus); tăberna, <hi rend=""ital"">contŭbernium;</hi>—before other consonants: quătio, <hi rend=""ital"">concŭtio;</hi> as, <hi rend=""ital"">decussis;</hi> Mars, <hi rend=""ital"">Mamŭrius, Mamŭralia;</hi> and once also <hi rend=""ital"">condumnari</hi> (Tab. Bant. lin. 8, immediately followed by <hi rend=""ital"">condemnatus</hi>, v. Klenze, Philol. Abhandl. tab. I., and Mommsen, Unterital. Dial. p. 149).</sense><sense level=""1"" n=""VII"" id=""n0.38"">In primitive roots, which have their kindred forms in the sister-languages of the Latin, the original <hi rend=""ital"">a</hi>, still found in the Sanscrit, is in Latin either preserved or more frequently changed into other vowels.</sense><sense level=""2"" n=""B"" id=""n0.40""><hi rend=""ital"">Original a</hi> is changed into other Latin vowels—</sense><sense level=""3"" n=""2"" id=""n0.42""> Into <hi rend=""ital"">i</hi>: S. <hi rend=""ital"">an-</hi>, <hi rend=""ital"">a-</hi> (neg. part.), L. in-: S. <hi rend=""ital"">ana</hi> (prep.), L. in; S. <hi rend=""ital"">antar</hi>, L. inter; S. <hi rend=""ital"">sama</hi>, L. similis; S. <hi rend=""ital"">agni</hi>, L. ignis; S. <hi rend=""ital"">abhra</hi>, L. imber; S. <hi rend=""ital"">panća</hi>, L. quinque, etc.</sense>"
a2,main,a,prep.,\N,\N
a3,main,ā,interj.,\N,\N
Aaron,main,Ăărōn,\N,\N,"<bibl><author>Prud.</author> Psych. 884</bibl>), ), <itype>ōnis</itype>, , <gen>m.</gen>, , <foreign/>  <sense level=""1"" n=""I"" id=""n3.0""><hi rend=""ital"">Aaron</hi>, <hi rend=""ital"">brother of Moses</hi>, and <hi rend=""ital"">first high-priest of the Hebrews</hi>, <bibl n=""urn:cts:greekLit:tlg0527.tlg002:4:14""><author>Vulg.</author> Exod. 4, 14</bibl>; <bibl>6, 25 al.</bibl></sense>"
ab,main,"ăb, ā, abs",prep.,\N,"with<case>abl.</case> This IndoEuropean particle (Sanscr. apa or ava, Etr. av, Gr.  This IndoEuropean particle (Sanscr. apa or ava, Etr. av, Gr. <foreign lang=""greek"">ὐπό</foreign>, Goth. af, Old Germ. aba, New Germ. ab, Engl. of, off) has in Latin the following forms: , Goth. af, Old Germ. aba, New Germ. ab, Engl. of, off) has in Latin the following forms: <sense level=""1"" n=""I"" id=""n4.0""><hi rend=""ital"">ap</hi>, <hi rend=""ital"">af</hi>, <hi rend=""ital"">ab</hi> (av), <hi rend=""ital"">au-</hi>, ā, <hi rend=""ital"">ă; aps</hi>, <hi rend=""ital"">abs</hi>, <hi rend=""ital"">as-</hi>. The existence of the oldest form, <hi rend=""ital"">ap</hi>, is proved by the oldest and best MSS. analogous to the prep. apud, the Sanscr. api, and Gr. <foreign lang=""greek"">ἐπί</foreign>, and by the weakened form <hi rend=""ital"">af</hi>, which, by the rule of historical grammar and the nature of the Latin letter <hi rend=""ital"">f</hi>, can be derived only from <hi rend=""ital"">ap</hi>, not from <hi rend=""ital"">ab</hi>. The form <hi rend=""ital"">af</hi>, weakened from <hi rend=""ital"">ap</hi>, also very soon became obsolete. There are but five examples of it in inscriptions, at the end of the sixth and in the course of the seventh century B. C., viz.: <cit><quote lang=""la"">AF VOBEIS,</quote> <bibl><author>Inscr. Orell.</author> 3114</bibl></cit>; <cit><quote lang=""la"">AF MVRO,</quote> <bibl><author>ib.</author> 6601</bibl></cit>; <cit><quote lang=""la"">AF CAPVA,</quote> <bibl><author>ib.</author> 3308</bibl></cit>; <cit><quote lang=""la"">AF SOLO,</quote> <bibl><author>ib.</author> 589</bibl></cit>; <cit><quote lang=""la"">AF LYCO,</quote> <bibl><author>ib.</author> 3036</bibl></cit> (<hi rend=""ital"">afuolunt</hi>=avolant, Paul. ex <bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 26</bibl> Múll., is only a conjecture). In the time of Cicero this form was regarded as archaic, and only here and there used in account-books; v. <bibl n=""urn:cts:latinLit:phi0474.phi040.perseus-lat1:47:158""><author>Cic.</author> Or. 47, 158</bibl> (where the correct reading is <hi rend=""ital"">af</hi>, not <hi rend=""ital"">abs</hi> or <hi rend=""ital"">ab</hi>), and cf. Ritschl, Monum. Epigr. p. 7 sq.—The second form of this preposition, changed from <hi rend=""ital"">ap</hi>, was <hi rend=""ital"">ab</hi>, which has become the principal form and the one most generally <cb n=""AB""/> used through all periods—and indeed the only oue used before all vowels and <hi rend=""ital"">h;</hi> here and there also before some consonants, particularly <hi rend=""ital"">l</hi>, <hi rend=""ital"">n</hi>, <hi rend=""ital"">r</hi>, and <hi rend=""ital"">s;</hi> rarely before <hi rend=""ital"">c</hi>, <hi rend=""ital"">j</hi>, <hi rend=""ital"">d</hi>, <hi rend=""ital"">t;</hi> and almost never before the labials <hi rend=""ital"">p</hi>, <hi rend=""ital"">b</hi>, <hi rend=""ital"">f</hi>, <hi rend=""ital"">v</hi>, or before <hi rend=""ital"">m</hi>, such examples as <hi rend=""ital"">ab</hi> Massiliensibus, <bibl n=""urn:cts:latinLit:phi0448.phi002:1:35""><author>Caes.</author> B. C. 1, 35</bibl>, being of the most rare occurrence.—By changing the <hi rend=""ital"">b</hi> of <hi rend=""ital"">ab</hi> through <hi rend=""ital"">v</hi> into <hi rend=""ital"">u</hi>, the form <hi rend=""ital"">au</hi> originated, which was in use only in the two compounds <hi rend=""ital"">aufero</hi> and <hi rend=""ital"">aufugio</hi> for abfero, ab-fugio; <hi rend=""ital"">aufuisse</hi> for afuisse, in Cod. Medic. of <bibl n=""urn:cts:latinLit:phi1351.phi005.perseus-lat1:12:17""><author>Tac.</author> A. 12, 17</bibl>, is altogether unusual. Finally, by dropping the <hi rend=""ital"">b</hi> of <hi rend=""ital"">ab</hi>, and lengthening the <hi rend=""ital"">a</hi>, <hi rend=""ital"">ab</hi> was changed into <hi rend=""ital"">á</hi>, which form, together with <hi rend=""ital"">ab</hi>, predominated through all periods of the Latin language, and took its place before all consonants in the later years of Cicero, and after him almoet exclusively.—By dropping the <hi rend=""ital"">b</hi> without lengthening the <hi rend=""ital"">a</hi>, <hi rend=""ital"">ab</hi> occurs in the form <hi rend=""ital"">ă-</hi> in the two compounds <hi rend=""ital"">ă-bîo</hi> and <hi rend=""ital"">ă-pĕrio</hi>, q. v.—On the other hand, instead of reducing <hi rend=""ital"">ap</hi> to <hi rend=""ital"">a</hi> and <hi rend=""ital"">ă</hi>, a strengthened collateral form, <hi rend=""ital"">aps</hi>, was made by adding to <hi rend=""ital"">ap</hi> the letter <hi rend=""ital"">s</hi> (also used in particles, as in <hi rend=""ital"">ex</hi>, <hi rend=""ital"">mox</hi>, <hi rend=""ital"">vix</hi>). From the first, <hi rend=""ital"">aps</hi> was used only before the letters <hi rend=""ital"">c</hi>, <hi rend=""ital"">q</hi>, <hi rend=""ital"">t</hi>, and was very soon changed into <hi rend=""ital"">abs</hi> (as <hi rend=""ital"">ap</hi> into <hi rend=""ital"">ab</hi>): <cit><quote lang=""la"">abs chorago,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi014.perseus-lat1:1:3:79""><author>Plaut.</author> Pers. 1, 3, 79</bibl></cit> (159 Ritschl): <cit><quote lang=""la"">abs quivis,</quote> <bibl n=""urn:cts:latinLit:phi0134.phi006.perseus-lat1:2:3:1""><author>Ter.</author> Ad. 2, 3, 1</bibl></cit>: <cit><quote lang=""la"">abs terra,</quote> <bibl><author>Cato</author>, R. R. 51</bibl></cit>; <cit><quote lang=""la"">and in compounds: aps-cessero,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi019.perseus-lat1:3:1:24""><author>Plaut.</author> Trin. 3, 1, 24</bibl></cit> (625 R.); <bibl><author>id.</author> ib. 3, 2, 84</bibl> (710 R): abs-condo, abs-que, abs-tineo, etc. The use of <hi rend=""ital"">abs</hi> was confined almost exclusively to the combination <hi rend=""ital"">abs te</hi> during the whole ante-classic period, and with Cicero till about the year 700 A. U. C. (=B. C. 54). After that time Cicero evidently hesitates between <hi rend=""ital"">abs te</hi> and <hi rend=""ital"">a te</hi>, but during the last five or six years of his life <hi rend=""ital"">a te</hi> became predominant in all his writings, even in his letters; consequently <hi rend=""ital"">abs te</hi> appears but rarely in later authors, as in <bibl n=""urn:cts:latinLit:phi0914.phi001:10:19:8""><author>Liv.</author> 10, 19, 8</bibl>; <bibl n=""urn:cts:latinLit:phi0914.phi001:26:15:12"">26, 15, 12</bibl>; <cit><quote lang=""la"">and who, perhaps, also used abs conscendentibus,</quote> <bibl n=""urn:cts:latinLit:phi0914.phi001:28:37:2""><author>id.</author> 28, 37, 2</bibl></cit>; v. Drakenb. ad. h. l. (Weissenb. <hi rend=""ital"">ab</hi>).—Finally <hi rend=""ital"">abs</hi>, in consequence of the following <hi rend=""ital"">p</hi>, lost its <hi rend=""ital"">b</hi>, and became <hi rend=""ital"">ds-</hi> in the three compounds <hi rend=""ital"">aspello</hi>, <hi rend=""ital"">as-porto</hi>, and <hi rend=""ital"">as-pernor</hi> (for asspernor); <xr><lbl>v.</lbl> <ref targOrder=""U"" type=""sym"">these words</ref></xr>.—The late Lat. verb <hi rend=""ital"">abbrevio</hi> may stand for adbrevio, the <hi rend=""ital"">d</hi> of <hi rend=""ital"">ad</hi> being assimilated to the following <hi rend=""ital"">b</hi>.The fundamental signification of <hi rend=""ital"">ab</hi> is <hi rend=""ital"">departure from some fixed point</hi> (opp. to ad. which denotes motion to a point). </sense>"
Aba,main,"Aba, ae",n. m.,\N,\N
Ababus,spur,Ababus,\N,\N,"false read. in inscrr., written for abavus."
abactor,main,"ăbactor, ōris",n. m.,abigo,"<sense level=""1"" n=""I"" id=""n7.0""><hi rend=""ital"">one who drives off, a driver off</hi> (late Latin): pecorum, Firm. Astr. 6, 31; cf. <bibl><author>Isid.</author> Orig. 10, 14</bibl>; and boum, Min. Fel. O-ct. 5; and <hi rend=""ital"">absol., a cuttle-stealer</hi> or <hi rend=""ital"">thief</hi>, <bibl><author>App.</author> M. 7, p. 199 <hi rend=""ital"">med.</hi></bibl> Elm.; Paul. Sent. ō, 18, 1.</sense>"
abactus1,main,"ăbactus, a, um",\N,\N,"<mood>Part.</mood> of abigo, q. v. of abigo, q. v."
abactus2,hapax,"ăbactus, ūs",n. m.,abigo,"<sense level=""1"" n=""I"" id=""n9.0""><hi rend=""ital"">a driving away, robbing</hi> (of cattle, vessels, etc.), <bibl n=""Plin. Pan. 20.4""><author>Plin.</author> Pan. 20, 4</bibl>.</sense>"
