rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index
6648,270,gr.,0,liv,0,,0,ἔφαγον,root aorist,aß (auf),ate (up),0,3,"3: Suppl. zu ἐσθίω bzw. ἔδω, s. *h₁ed-.",[gr. ἔφαγον ‘aß (auf)’{3},"TD, AMB",AMB,23-07-25 15:16,201,root aorist,
6649,270,ved.,1,liv,0,,1,bhájati,full-grade e-present,teilt zu,assigns / allots,0,,,"ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’","TD, AMB",AMB,23-07-25 15:16,201,full-grade e-present,
6649,270,ved.,2,liv,0,,2,bhájate,full-grade e-present,bekommt Anteil,receives a share,0,,,"ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’","TD, AMB",AMB,23-07-25 15:16,201,full-grade e-present,
6649,270,jav.,3,liv,0,,3,bažat̰,full-grade e-present,"teilt zu, verteilt","allots, distributes",0,,,"jav. bažat̰ ‘teilt zu, verteilt’","TD, AMB",AMB,23-07-25 15:16,201,full-grade e-present,
6650,270,ved.,4,liv,0,,4,bhājáyati,éi̯e-causative–iterative,läßt Anteil nehmen,lets (someone) take a share,0,,,ved. bhājáyati ‘läßt Anteil nehmen’,"TD, AMB",AMB,23-07-25 15:16,201,éi̯e-causative–iterative,
6651,270,ved.,5,liv,0,,5,bhejé,perfect,hat (als Anteil bekommen),has received (as a share),0,3a,3a,"ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}","TD, AMB",AMB,23-07-25 15:16,201,perfect,
6651,270,ved.,6,liv,0,,6,babhā́ja,perfect,hat zugeteilt,has allotted,0,3a,3a,"ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}","TD, AMB",AMB,23-07-25 15:16,201,perfect,
6652,270,ved.,7,liv,0,,7,abhakṣayam,s-desiderative,"genoß, trank","enjoyed, drank",0,4,"4: Falls Iterativbildung zu einem Desider. *bhákṣa- (das im Ved. nicht sicher belegt ist, s. GOTŌ 222469) und nicht mit EWAia II 239 denominativ zu bhakṣá- m. ‘Genuß, Trank, Speise’.","[ved. abhakṣayam ‘genoß, trank’{4}","TD, AMB",AMB,23-07-25 15:16,201,s-desiderative,
6652,270,jav.,8,liv,0,,8,baxšaiti,s-desiderative,teilt aus,distributes,0,5,"5: Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen.","[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}","TD, AMB",AMB,23-07-25 15:16,201,s-desiderative,
6652,270,jav.,9,liv,0,,9,baxšaite,s-desiderative,bekommt als Anteil,receives as a share,0,5,"5: Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen.","[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}","TD, AMB",AMB,23-07-25 15:16,201,s-desiderative,
6653,270,ved.,10,liv,0,,10,bhíkṣate,reduplicated sé-desiderative,"wünscht, (er)bettelt","wishes, begs",0,6,6: *‘Anteil bekommen wollen’; daraus Neowurzel bhikṣ abstrahiert: z.B. Perf. bibhikṣe Chr̥.,"ved. bhíkṣate ‘wünscht, (er)bettelt’{6}","TD, AMB",AMB,23-07-25 15:16,201,reduplicated sé-desiderative,
6654,270,ved.,11,liv,0,,11,bhāk,s-aorist,teilt zu,assigns / allots,0,,,"ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}","TD, AMB",AMB,23-07-25 15:16,201,s-aorist,
6654,270,ved.,12,liv,0,,12,ábhakṣi,s-aorist,habe Anteil bekommen,have received a share,0,,,"ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}","TD, AMB",AMB,23-07-25 15:16,201,s-aorist,
