lemma_id,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
1,A,\N,main,a,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">The first letter of the Lithuanian alphabet, called a and written in the Latin script.</div>","The first letter of the Lithuanian alphabet, called a and written in the Latin script.","The first letter of the Lithuanian alphabet, called a and written in the Latin script."
2,name,1,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">locative singular of namas</div>",locative singular of namas,locative singular of namas
2,name,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">vocative singular of namas</div>",vocative singular of namas,vocative singular of namas
3,abate,1,main,abatè,[ɐb.ɐˈtʲɛ],n.,\N,\N,"<div class=""lithuanian bodytext"">locative singular of abatas</div>",locative singular of abatas,locative singular of abatas
3,abate,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">instrumental singular of abatė</div>",instrumental singular of abatė,instrumental singular of abatė
4,abate,1,main,abãte,[ɐb.ɐˈtʲɛ],n.,\N,\N,"<div class=""lithuanian bodytext"">vocative singular of abatas</div>",vocative singular of abatas,vocative singular of abatas
4,abate,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">vocative singular of abatė</div>",vocative singular of abatė,vocative singular of abatė
5,y,\N,main,Y,/iː/,n.,\N,\N,"<div class=""lithuanian bodytext"">The fifteenth letter of the Lithuanian alphabet, called i ilgoji and written in the Latin script.</div>","The fifteenth letter of the Lithuanian alphabet, called i ilgoji and written in the Latin script.","The fifteenth letter of the Lithuanian alphabet, called i ilgoji and written in the Latin script."
6,te,\N,main,tè,/tʲɛ/,particle,\N,"Cognate with Latvian te. The interjection is identical to Ancient Greek τῆ (tê, “here!, take this!”), which Beekes derives from Proto-Indo-European *teh₁, the instrumental neuter singular form of *tód. Compare Gothic 𐌱𐌹𐌸𐌴 (biþē, “while”), 𐌳𐌿𐌸𐌴 (duþē, “therefore”), Tocharian A ca-, Tocharian B ce (“demonstrative pronoun”) < *tē, and possibly Old Armenian թէ (tʻē, “that”).","<div class=""lithuanian bodytext"">(with third person) may, let (used to indicate the optative mood)</div>","(with third person) may, let (used to indicate the optative mood)","may, let (used to indicate the optative mood)"
7,te,\N,main,tè,/tʲɛ/,interj.,\N,"Cognate with Latvian te. The interjection is identical to Ancient Greek τῆ (tê, “here!, take this!”), which Beekes derives from Proto-Indo-European *teh₁, the instrumental neuter singular form of *tód. Compare Gothic 𐌱𐌹𐌸𐌴 (biþē, “while”), 𐌳𐌿𐌸𐌴 (duþē, “therefore”), Tocharian A ca-, Tocharian B ce (“demonstrative pronoun”) < *tē, and possibly Old Armenian թէ (tʻē, “that”).","<div class=""lithuanian bodytext"">(with object cases) here you go, take this (when giving something to someone)</div>","(with object cases) here you go, take this (when giving something to someone)","here you go, take this (when giving something to someone)"
8,o,\N,main,õ,/oː/,conj.,\N,"From Proto-Balto-Slavic *ō. Cognate with Latgalian a and Proto-Slavic *a (“and, but”). From Proto-Indo-European *h₁od; compare Sanskrit आत् (āt, “afterwards, then, so”), Avestan 𐬁𐬀𐬝 (āat̰, “afterward, then”), perhaps the ablative singular of *h₁e- (“demonstrative pronoun”).","<div class=""lithuanian bodytext"">(coordinating, adversative) and, but (used to express binary contrasts)</div>","(coordinating, adversative) and, but (used to express binary contrasts)","and, but (used to express binary contrasts)"
9,LDP,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">abbreviation of Liberalų Demokratų Partija</div>",abbreviation of Liberalų Demokratų Partija,abbreviation of Liberalų Demokratų Partija
10,i,\N,main,I,/ɪ/,n.,\N,\N,"<div class=""lithuanian bodytext"">The thirteenth letter of the Lithuanian alphabet, called i trumpoji and written in the Latin script.</div>","The thirteenth letter of the Lithuanian alphabet, called i trumpoji and written in the Latin script.","The thirteenth letter of the Lithuanian alphabet, called i trumpoji and written in the Latin script."
11,man,\N,main,mán,[man],pron.,\N,\N,"<div class=""lithuanian bodytext"">first-person singular dative of aš</div>",first-person singular dative of aš,first-person singular dative of aš
12,be,1,main,bè,[bʲɛ],prep.,\N,"From Proto-Balto-Slavic *beź, from Proto-Indo-European *bʰe (instrumental particle) + *-ǵʰs (“out”). Cognate with Proto-Slavic *bez(ъ) (“without”); see there for more cognates.","<div class=""lithuanian bodytext"">(shows absence of something) without</div>",(shows absence of something) without,without
12,be,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">besides; but, except</div>","besides; but, except","besides; but, except"
13,libero,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive singular of liberas (“Liberian”)</div>",genitive singular of liberas (“Liberian”),genitive singular of liberas (“Liberian”)
14,ten,\N,main,\N,\N,adv.,\N,"From Proto-Baltic *ten ""thither"", formed from *tas by analogy with Proto-Balto-Slavic *kun ""whither"", from Proto-Indo-European *kú, with an accusative suffix -m.","<div class=""lithuanian bodytext"">there</div>",there,there
15,grok,\N,main,grók,/ˈɡrôːk/,v.,\N,\N,"<div class=""lithuanian bodytext"">second-person singular imperative of groti</div>",second-person singular imperative of groti,second-person singular imperative of groti
16,euro,\N,main,eũro,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive singular of eũras</div>",genitive singular of eũras,genitive singular of eũras
17,Angola,\N,main,no-table-tags,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">Angola (a country in Southern Africa)</div>",Angola (a country in Southern Africa),Angola (a country in Southern Africa)
18,Argentina,\N,main,Argentinà,[ɐrʲɡʲɛnʲtʲɪˈnɐ],n.,f.,"Borrowed from Spanish Argentina, from Latin argentum (“silver”).","<div class=""lithuanian bodytext"">Argentina (a country in South America; official name: Argenti̇̀nos Respùblika)</div>",Argentina (a country in South America; official name: Argenti̇̀nos Respùblika),Argentina (a country in South America; official name: Argenti̇̀nos Respùblika)
19,Burundi,\N,main,Burùndi,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">vocative of Burùndis</div>",vocative of Burùndis,vocative of Burùndis
20,Bahamas,\N,main,Bahamàs,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">accusative of Bahãmos</div>",accusative of Bahãmos,accusative of Bahãmos
21,Haiti,\N,main,Hai̇̀ti,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">vocative of Hai̇̀tis</div>",vocative of Hai̇̀tis,vocative of Hai̇̀tis
22,Kiribati,\N,main,Kiribãti,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">vocative of Kiribãtis</div>",vocative of Kiribãtis,vocative of Kiribãtis
23,Malta,1,main,Málta,[ˈmɑˑltɐ],n.,f.,\N,"<div class=""lithuanian bodytext"">Malta (an archipelago and country in Southern Europe, in the Mediterranean Sea; official name: Máltos Respùblika)</div>","Malta (an archipelago and country in Southern Europe, in the Mediterranean Sea; official name: Máltos Respùblika)","Malta (an archipelago and country in Southern Europe, in the Mediterranean Sea; official name: Máltos Respùblika)"
23,Malta,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">Malta (the largest island in the Maltese Archipelago)</div>",Malta (the largest island in the Maltese Archipelago),Malta (the largest island in the Maltese Archipelago)
24,Nauru,\N,main,Naùru,[nɐˈʊrʊ],n.,m.,\N,"<div class=""lithuanian bodytext"">Nauru (a country and island of Oceania, in the Pacific Ocean; official name: Naùru Respùblika)</div>","Nauru (a country and island of Oceania, in the Pacific Ocean; official name: Naùru Respùblika)","Nauru (a country and island of Oceania, in the Pacific Ocean; official name: Naùru Respùblika)"
25,Panama,1,main,Panamà,[pɐnɐˈmɐ],n.,f.,Borrowed from Spanish Panamá.,"<div class=""lithuanian bodytext"">Panama (a country in Central America; official name: Panãmos Respùblika)</div>",Panama (a country in Central America; official name: Panãmos Respùblika),Panama (a country in Central America; official name: Panãmos Respùblika)
25,Panama,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">Panama City (the capital and largest city of Panama)</div>",Panama City (the capital and largest city of Panama),Panama City (the capital and largest city of Panama)
26,Peru,\N,main,Perù,[pʲɛˈrʊ],n.,m.,Borrowed from Spanish Perú.,"<div class=""lithuanian bodytext"">Peru (a country in South America; official name: Perù Respùblika)</div>",Peru (a country in South America; official name: Perù Respùblika),Peru (a country in South America; official name: Perù Respùblika)
27,Togo,\N,main,Tògo,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive of Tògas</div>",genitive of Tògas,genitive of Tògas
28,Tonga,\N,main,Tònga,[ˈtɔŋɡɐ],n.,f.,Borrowed from Tongan Tonga.,"<div class=""lithuanian bodytext"">Tonga (a country and archipelago of Polynesia in Oceania; official name: Tòngos Karalỹstė)</div>",Tonga (a country and archipelago of Polynesia in Oceania; official name: Tòngos Karalỹstė),Tonga (a country and archipelago of Polynesia in Oceania; official name: Tòngos Karalỹstė)
