lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
6353,sěti,sift,629,сѣти,to sow,to sow
6353,sěti,sift,1255,сѣть,"snare, trap, net","snare, trap, net"
6353,sěti,sift,3020,сѧти,to touch,to touch
8648,vlasti,to resist,464,власти,rule,rule
8648,vlasti,to resist,1075,власть,power,power
22986,vědro,"??????????, ??????????????",606,вѣдро,bucket,bucket
22986,vědro,"??????????, ??????????????",798,ведро,good weather,good weather
26820,bǫdǫ,"become, ????????????????",3693,ⰱⱘⰴⱘ,third-person plural imperative of бꙑти (byti),third-person plural imperative of бꙑти (byti)
26820,bǫdǫ,"become, ????????????????",4461,бѫдѫ,inflection of бꙑти (byti):,inflection of бꙑти (byti):; first-person singular future indicative
33936,ję,\N,2588,ѥ,it (* no nominative singular; use то or оно or оное for the nominative singular),it (* no nominative singular; use то or оно or оное for the nominative singular)
33936,ję,\N,2630,ѩ,accusative plural of и (i),accusative plural of и (i)
34015,a,but,10,а,"A letter of the Old Church Slavonic alphabet, called азъ (azŭ) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called азъ (azŭ) and written in the Old Cyrillic script."
34015,a,but,11,а,and,and
34015,a,but,2205,ⰰ,Glagolitic spelling of а (a),Glagolitic spelling of а (a)
36009,neže,as,2664,нѧже,accusative plural of иже (iže),accusative plural of иже (iže)
36009,neže,as,2700,неже,The variant of еже after a preposition,The variant of еже after a preposition
41194,neže,as,2664,нѧже,accusative plural of иже (iže),accusative plural of иже (iže)
41194,neže,as,2700,неже,The variant of еже after a preposition,The variant of еже after a preposition
45369,žętva,harvest,3811,ⰶⱔⱅⰲⰰ,Glagolitic spelling of жѧтва (žętva),Glagolitic spelling of жѧтва (žętva)
78241,sypati,sleep,2825,сꙑпати,"to pour, strew","to pour, strew"
78241,sypati,sleep,3803,ⱄⱏⰹⱂⰰⱅⰻ,Glagolitic spelling of сꙑпати (sypati),Glagolitic spelling of сꙑпати (sypati)
