lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
19,bosti,pierce / stab,482,бости,to pierce,to pierce
46,běžati,"run, flee",2513,бѣжати,"to run, to escape","to run, to escape"
108,běditi,to force,3652,бѣдити,to persuade,to persuade
119,bi,struck (sg. and pl.),2302,би,second-person singular conditional of бꙑти (byti),second-person singular conditional of бꙑти (byti)
229,brati,to fight,668,брати,to fight,to fight
264,bljusti,to pay attention to; guard,1253,блюсти,"to watch, guard","to watch, guard"
387,blęsti,"err, chatter",494,блѧсти,"chatter, talk nonsense","chatter, talk nonsense"
394,blǫditi,"to err, to sin, to fornicate",838,блѫдити,"to wander, to roam","to wander, to roam"
606,dati,to give,325,дати,to give,to give
972,žešti,"burn; kindle, burn",486,жещи,burn,burn
1302,dǫti,to blow,1065,дѫти,to blow,to blow
1307,drobiti,"splinter, grind up",3759,ⰴⱃⱁⰱⰻⱅⰻ,Glagolitic spelling of дробити (drobiti),Glagolitic spelling of дробити (drobiti)
1544,znati,know,628,знати,to know,to know
1578,zinǫti,open the mouth wide,2867,зинѫти,"to gape, to open (one's mouth)","to gape, to open (one's mouth)"
1749,gubiti,"ruin, destroy",466,гоубити,to destroy,to destroy
1752,gybnǫti,perish,679,гꙑбнѫти,to perish,to perish
1788,gnesti,"press, knead",491,гнести,to squeeze,to squeeze
1866,žlěsti,"pay, atone",1155,жлѣсти,alternative form of жласти (žlasti),alternative form of жласти (žlasti)
1913,grabiti,"snatch, seize",2358,грабити,"seize, snatch","seize, snatch"
1919,greti,row; dig,1187,грети,to bury,to bury
1949,gresti,"go, come",305,грѧсти,come,come
2131,žędati,"desire, thirst",303,жѧдати,to thirst,to thirst
2168,goniti,"drive, chase",465,гонити,to persecute,to persecute
2313,jasti,to eat,677,ꙗсти,to eat,to eat
2391,lakati,to hunger,4007,ⰾⰰⰽⰰⱅⰻ,alternative form of ⰰⰾⱏⰽⰰⱅⰻ (alŭkati),alternative form of ⰰⰾⱏⰽⰰⱅⰻ (alŭkati)
2412,jęti,to take,1066,ѩти,to take,to take
2524,učiti,to teach,1161,оучити,to teach,to teach
2601,nositi,to carry,658,носити,to carry,to carry
2608,nesti,to carry,344,нести,to carry (on foot),to carry (on foot)
2725,iskati,to seek,327,искати,to seek,to seek
2864,oriti,pull down,627,орити,to break down,to break down
2879,orati,to plow,145,орати,to plow,to plow
3069,vějati,to blow,2182,вѣꙗти,to waft,to waft
3097,vlěšti,"drag, pull",620,влѣщи,to drag,to drag
3215,rasti,to grow,299,расти,to grow,to grow
3668,sluti,"be valid, be called",754,слоути,to be known as,to be known as
3714,slyšati,to hear,316,слꙑшати,to hear,(ambitransitive) to hear
3824,kovati,forge,123,ковати,to forge,to forge
3880,klati,slaughter,2360,клати,"to stab, to sting","to stab, to sting"
3953,česati,to comb,1041,чесати,to pick,to pick
4011,klasti,lay,493,класти,"to put, place","to put, place"
4091,krasti,to steal,492,красти,to steal,to steal
4127,krotiti,to tame,2491,кротити,"to tame, to subdue","(transitive) to tame, to subdue"
4129,kryti,"cover, hide",1428,крꙑти,to cover,to cover
4172,kypěti,"surge, boil",461,кꙑпѣти,to boil,to boil
4180,cvisti,to bloom,1156,цвисти,to bloom,to bloom
4208,cajati,"expect, hope",3014,чаꙗти,"hope, expect","hope, expect"
4515,lěgati,lie down repeatedly,4527,лѣгати,to lie down,to lie down
4518,ležati,lay,323,лежати,"lie (be in horizontal position), recline","lie (be in horizontal position), recline"
4548,lajati,"bark, scold",3031,лаꙗти,to bark,to bark
4875,mazati,"anoint, smear",457,мазати,to smear,to smear
4959,minǫti,pass by (time),2866,минѫти,to pass,to pass
4993,měšǫ,"mix, knead",286,мѧсо,meat,meat
4994,měsiti,"mix, knead",624,мѣсити,"to mix, blend","to mix, blend"
5168,mǫčiti,"torment, torture",1123,мѫчити,to torture,to torture
5183,mǫtiti,to confuse,3142,мѫтити,to stir,to stir
5202,mrěti,to die,722,мрѣти,to die,to die
5242,meštǫ,to throw,176,мѣсто,place,place
5546,piti,to drink,94,пити,drink,drink
5646,polěti,"burn, flame",4362,полѣти,to be on fire,to be on fire
5648,paliti,to ignite,485,палити,to burn (to cause to be consumed by fire),(transitive) to burn (to cause to be consumed by fire)
5886,plesti,braid,590,плести,to plait,to plait
6045,roditi,be born,368,родити,bear,bear
6154,reče,said,2375,рече,second/third-person singular aorist indicative of рещи (rešti),second/third-person singular aorist indicative of рещи (rešti)
6218,ryti,to dig,1483,рꙑти,to dig,to dig
6293,saditi,"set, plant",554,садити,to plant,to plant
6305,sěděti,to sit,312,сѣдѣти,"reside, live","reside, live"
6341,sějati,sow,3032,сѣꙗти,to sow,to sow
6986,čuti,"feel, notice",630,чоути,"to sense, feel","to sense, feel"
7209,plěti,to weed,897,плѣти,to root out,to root out
7252,prěti,fly,3190,прѣти,alternative form of пьрѣти (pĭrěti),alternative form of пьрѣти (pĭrěti)
7255,pariti,to fly,4304,парити,to fly,(hapax legomenon) to fly
7281,pręsti,spider,1162,прѧсти,to spin,to spin
7317,spěti,have success,752,спѣти,"to succeed, to prosper","to succeed, to prosper"
7427,stajati,"place oneself, step",2929,стаꙗти,stand,stand
7437,stojati,stand,4336,стоꙗти,to stand,to stand
7762,tajati,"melt, thaw",654,таꙗти,"to thaw, to melt","to thaw, to melt"
7814,tešti,"run, flow",436,тещи,to flow,to flow
7819,točiti,cause to flow,437,точити,"to drive, to hurry","(intransitive) to drive, to hurry"
7876,tomiti,to torment,1160,томити,to torture,(hapax legomenon) to torture
7964,teti,to strike / hit,1088,тети,"to beat, hit","to beat, hit"
8249,tręsti,to shake,499,трѧсти,to shake,to shake
8375,voditi,to lead,596,водити,lead,lead
8383,vaditi,"accuse, charge, slander",2379,вадити,"to slander, to accuse","(transitive) to slander, to accuse [with (generally) на (na, + accusative) or (once) dative]"
8670,velěti,want; command,889,велѣти,"command, order","command, order"
9076,ǫtroba,entrails,914,ѫтроба,viscera,viscera
9223,brěmę,load,473,брѣмѧ,load,load
9499,bljusti,"pay attention, beware",1253,блюсти,"to watch, guard","to watch, guard"
9722,byti,being,124,бꙑти,to be,(copulative) to be
10054,dati,give,325,дати,to give,to give
10547,zemlja,"earth, ground, land",1015,землꙗ,earth,earth
10667,dělo,"deed, work",172,дѣло,"deed, act","deed, act"
10674,dělja,because of,1808,дѣлꙗ,"for, because of","for, because of"
11375,znati,"know, get to know",628,знати,to know,to know
11797,žito,grain,182,жито,grain,grain
12028,jętry,"sister-in-law, brother of man's wife",3230,ѩтрꙑ,sister-in-law (brother's wife),sister-in-law (brother's wife)
12093,jasti,eat,677,ꙗсти,to eat,to eat
12106,jasli,manger,2393,ꙗсли,manger,(plural only) manger
12295,xoditi,"go, walk, move",349,ходити,"to walk, to go (on foot)","to walk, to go (on foot)"
13111,junota,"young man, young person",884,юнота,young man,young man
13116,junoša,"young man, youth",2254,юноша,"youngster, young man","youngster, young man"
13160,kamy,stone,448,камꙑ,stone,stone
13229,osla,whetstone,895,осла,whetstone,whetstone
13332,ǫza,"band, fetter",825,ѫза,"shackle, fetter","shackle, fetter"
13339,ǫže,rope,824,ѫже,rope,rope
13835,uxo,"lex_ref_link_id 13806    ear; hearing 13806    ear; hearing Name: gloss_eng, dtype: object",292,оухо,ear,ear
13836,uxo,"lex_ref_link_id 13806    ear; hearing 13806    ear; hearing Name: gloss_eng, dtype: object",292,оухо,ear,ear
13837,ušesa,"lex_ref_link_id 13807    ear; hearing 13807    ear; hearing Name: gloss_eng, dtype: object",2525,ушеса,nominative plural of ухо (uxo),nominative plural of ухо (uxo)
13838,ušesa,"lex_ref_link_id 13807    ear; hearing 13807    ear; hearing Name: gloss_eng, dtype: object",2525,ушеса,nominative plural of ухо (uxo),nominative plural of ухо (uxo)
13940,suxota,dryness,2157,соухота,"dryness, drought","dryness, drought"
14158,vesna,spring,642,весна,spring,spring
14484,usta,mouth,221,оуста,mouth,(plural only) mouth
14773,slana,"hoarfrost, ice precipitation",875,слана,hoarfrost,hoarfrost
14893,sluti,be called,754,слоути,to be known as,to be known as
15509,mežda,"boundary, lane",861,межда,lane,lane
15511,meždu,between,1810,междоу,between,between
15786,męso,flesh,286,мѧсо,meat,meat
