lemma_id,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
1,б,\N,main,b,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called боукꙑ (buky) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called боукꙑ (buky) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called боукꙑ (buky) and written in the Old Cyrillic script."
2,з,\N,main,z,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called земл҄ꙗ (zemlʹja) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called земл҄ꙗ (zemlʹja) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called земл҄ꙗ (zemlʹja) and written in the Old Cyrillic script."
3,к,\N,main,к (k),\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called како (kako) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called како (kako) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called како (kako) and written in the Old Cyrillic script."
4,м,\N,main,М,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called мꙑслите (myslite) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called мꙑслите (myslite) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called мꙑслите (myslite) and written in the Old Cyrillic script."
5,н,\N,main,н (n),\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called нашь (našĭ) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called нашь (našĭ) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called нашь (našĭ) and written in the Old Cyrillic script."
6,о,1,main,o,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called онъ (onŭ) and written in the Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called онъ (onŭ) and written in the Cyrillic script.","A letter of the Old Church Slavonic alphabet, called онъ (onŭ) and written in the Cyrillic script."
7,о,2,main,o,\N,prep.,\N,"From Proto-Slavic *o(b), from Proto-Indo-European *h₃ebʰi.","<div class=""oldchurchslavonic bodytext"">about</div>",about,about
7,о,2,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">around</div>",around,around
7,о,3,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">through</div>",through,through
7,о,4,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">during</div>",during,during
