lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss,sense_id,h_number,parent_h_number
1,OCS,б,\N,main,b,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called боукꙑ (buky) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called боукꙑ (buky) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called боукꙑ (buky) and written in the Old Cyrillic script.",\N,\N,\N
2,OCS,з,\N,main,z,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called земл҄ꙗ (zemlʹja) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called земл҄ꙗ (zemlʹja) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called земл҄ꙗ (zemlʹja) and written in the Old Cyrillic script.",\N,\N,\N
3,OCS,к,\N,main,к (k),\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called како (kako) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called како (kako) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called како (kako) and written in the Old Cyrillic script.",\N,\N,\N
4,OCS,м,\N,main,М,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called мꙑслите (myslite) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called мꙑслите (myslite) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called мꙑслите (myslite) and written in the Old Cyrillic script.",\N,\N,\N
5,OCS,н,\N,main,н (n),\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called нашь (našĭ) and written in the Old Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called нашь (našĭ) and written in the Old Cyrillic script.","A letter of the Old Church Slavonic alphabet, called нашь (našĭ) and written in the Old Cyrillic script.",\N,\N,\N
6,OCS,о,1,main,o,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">A letter of the Old Church Slavonic alphabet, called онъ (onŭ) and written in the Cyrillic script.</div>","A letter of the Old Church Slavonic alphabet, called онъ (onŭ) and written in the Cyrillic script.","A letter of the Old Church Slavonic alphabet, called онъ (onŭ) and written in the Cyrillic script.",\N,\N,\N
7,OCS,о,2,main,o,\N,prep.,\N,"From Proto-Slavic *o(b), from Proto-Indo-European *h₃ebʰi.","<div class=""oldchurchslavonic bodytext"">about</div>",about,about,\N,\N,\N
7,OCS,о,2,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">around</div>",around,around,1,n7.0,\N
7,OCS,о,3,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">through</div>",through,through,2,n7.1,\N
7,OCS,о,4,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">during</div>",during,during,3,n7.2,\N
7,OCS,о,5,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">because of</div>",because of,because of,4,n7.3,\N
7,OCS,о,6,sense,\N,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">for</div>",for,for,5,n7.4,\N
