lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
121,bí,struck (variant form),550,bí,second/third-person singular habitual present indicative conjunct of at·tá,second/third-person singular habitual present indicative conjunct of at·tá
172,beir,"to carry, to bring",981,beir,second-person singular imperative of beirid,second-person singular imperative of beirid
183,birt,carried,2514,birt,third-person singular preterite absolute of beirid,third-person singular preterite absolute of beirid
1975,baïd,die,1397,baid,to die,to die
2133,geiss,shall ask,5274,geiss,third-person singular present subjunctive absolute of guidid,third-person singular present subjunctive absolute of guidid
2570,lotar,go,2627,lotar,third-person plural preterite absolute of téit,third-person plural preterite absolute of téit
2820,anais,"remained, waited, stopped",1385,anais,second-person singular future/present subjunctive conjunct of aingid,second-person singular future/present subjunctive conjunct of aingid
3150,fíu,"spent the night, stayed",284,fiú,alternative spelling of fíu,alternative spelling of fíu
6111,rigid,stretch out; rule,273,rigid,"to stretch, to distend","to stretch, to distend"
7459,tāit,go,1171,tait,alternative spelling of taít,alternative spelling of taít
8368,fess,"lead, bring",568,fess,passive singular perfect prototonic of ro·finnadar,passive singular perfect prototonic of ro·finnadar
8632,feil,there is,1291,feil,alternative form of fil,alternative form of fil
8941,fúar,found,6257,fúar,first-person singular preterite prototonic of fo·gaib,first-person singular preterite prototonic of fo·gaib
9486,buide,"thanks, recognition",1764,buide,thanks,thanks
9680,dubae,sorrow,2635,dubae,"gloom, grief","gloom, grief"
9808,both,being,55,both,alternative form of buith,alternative form of buith
9811,both,hut,55,both,alternative form of buith,alternative form of buith
10207,día,day,96,día,day,day
10208,dé,day,1103,De,alternative spelling of Dé,alternative spelling of Dé
10299,día,god,97,día,god,god
10300,dé,god,642,dé,inflection of día (“god”):,inflection of día (“god”):; vocative/genitive singular
10475,dú,"place, spot",933,dú,"place, spot","place, spot"
10477,dú,"place, spot",933,dú,"place, spot","place, spot"
10782,dál,"meeting, assembly, court, trial, judgment, debate etc.",1196,dál,"meeting, encounter","meeting, encounter"
10898,dub,black; dark,62,dub,black,black
11265,ingen,daughter,664,ingen,daughter,daughter
11408,gnáth,"known, customary, usual",1666,gnáth,customary,customary
11660,bé,woman,873,bé,woman,(poetic) woman
11697,ben,\N,75,ben,woman,woman
11751,bith,world,472,bith,world,world
11801,bïad,"food, meal",2666,bíad,food,food
11802,bïid,"food, meal",3821,biid,alternative spelling of bíid,alternative spelling of bíid
12137,dét,tooth,2624,dét,tooth,tooth
12735,fíu,"worthy, deserving; worth, equivalent value (subst.)",1245,fíu,"worthy, fitting","worthy, fitting"
12742,feib,"goodness, quality, wealth",6090,feib,inflection of feb:,inflection of feb:; accusative/dative singular
12743,feib,"according to, like",6091,feib,"as, just as","as, just as"
12932,ág,fight,840,ág,"fight, battle, contest","fight, battle, contest"
12954,án,"driving, game",38,an,alternative form of a,alternative form of a
12973,ár,"battle, slaughter",618,ár,"slaughter, carnage","slaughter, carnage"
13100,óa,younger,1236,óa,comparative degree of óc (“young”),comparative degree of óc (“young”)
13788,oí,sheep,584,oí,sheep,"(poetic, archaic) sheep"
13831,áu,"lex_ref_link_id 13804    ear 13804    ear Name: gloss_eng, dtype: object",171,au,alternative spelling of áu (“ear”),alternative spelling of áu (“ear”)
