lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
173,berat,"to carry, to bring",768,berat,third-person plural present indicative/subjunctive conjunct of beirid,third-person plural present indicative/subjunctive conjunct of beirid
247,bibdu,"guilty, enemy",5993,bibdu,guilty,guilty
315,bongid,"breaks, harvests",3621,bongid,alternative spelling of bongaid,alternative spelling of bongaid
513,beith,should be,1970,beith,third-person singular present subjunctive absolute of at·tá,third-person singular present subjunctive absolute of at·tá
881,dringid,climbs,4065,dringid,to climb,to climb
1119,dingid,suppresses,3195,dingid,to press,to press
2144,gelid,"consumes, grazes",418,gelid,"to graze, consume","to graze, consume"
2156,gonaid,"wounds, kills",3329,gonaid,to wound,to wound
2308,ithid,eats,2561,ithid,to eat,to eat
2569,luid,go,701,luid,third-person singular preterite absolute of téit,third-person singular preterite absolute of téit
2751,alt,"nourished, raised",452,alt,third-person singular preterite active conjunct of ailid,third-person singular preterite active conjunct of ailid
2936,lenaid,follows,3175,lenaid,"to stick, cling","to stick, cling [with di ‘to’]"
4470,crenaid,buy,2748,crenaid,"to buy, purchase","to buy, purchase"
4498,laigid,"lies down, lies",3155,laigid,to lie down,to lie down
4901,midithir,"judges, evaluates",3354,midithir,"to weigh, to judge, to estimate","to weigh, to judge, to estimate"
4987,mescaid,"mixes, confuses, dips",3239,mescaid,to mix,to mix
6296,seiss,will sit,5546,seiss,third-person singular future absolute of saidid (“to sit”),third-person singular future absolute of saidid (“to sit”)
7070,loingid,to eat,5166,loingid,"to eat, consume","to eat, consume"
7137,sníid,binds; strives for,5635,sníid,to spin,(hapax legomenon) to spin
7169,snigid,"rains, drips, snows",2562,snigid,"to drip, drop, flow (of liquids, hair, sand)","to drip, drop, flow (of liquids, hair, sand)"
7274,sluindid,"explains, narrates; means",3379,sluindid,to signify,to signify
9346,breth,"carrying, producing, birth, judging, judgment",4398,breth,"verbal noun of beirid: carrying, bearing","verbal noun of beirid: carrying, bearing"
9371,idbart,"sacrifice, alms",6289,idbart,verbal noun of ad·opair,verbal noun of ad·opair
9392,brí,"hill, elevation",1694,brí,hill,hill
9553,bráthre,brother,4326,bráthre,alternative spelling of bráithre,alternative spelling of bráithre
9675,indeb,"gain, wealth",4090,indeb,wealth,wealth
9679,subae,joy,2631,subae,"joy, pleasure, happiness, merriment","joy, pleasure, happiness, merriment"
9809,buith,being,5171,buith,verbal noun of at·tá,verbal noun of at·tá
9950,dán,"(divine) gift, (artistic) talent, science, (poetic) art, poem",540,dán,gift,gift
10215,indiu,today,1296,indiu,today,today
