lemma_id,lemma,sense_num,page_num,type,ipa,orthography,pos,gender,etymology,entry,entry_str,gloss
1,-a,\N,1,main,ɑ,"-a, affixed to words, denotes",,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a,\N,1,main,ɑ,a,prep. acc.,\N,\N,"<div class=""oldenglish bodytext""><I>To, for;</I> in :-- A worlda world <I>to</I> or <I>in an age of ages ;</I> in seculorum seculum, Ps. Th. 18, 8, =on worlda world, Ps. Lamb. 20, 5, = on worulda world, Ps. Th. 103, 6.</div>","To, for; in :-- A worlda world to or in an age of ages ; in seculorum seculum, Ps. Th. 18, 8, =on worlda world, Ps. Lamb. 20, 5, = on worulda world, Ps. Th. 103, 6.","To, for"
1,Á,\N,1,main,á,"Á, aa, aaa",adv.,\N,\N,"<div class=""oldenglish bodytext""><I>ever, for ever;</I> hence the <I>O. Eng.</I> AYE, <I>ever;</I> semper, unquam, usque :-- Ac á sceal ðæt wiðerwearde gemetgian</div><xml_line><I>but ever must the contrary moderate.</I> Bt. 21; Fox 74, 19. Án God á on ecnysse <I>one God to all eternity</I> [lit. <I>one God ever, in eternity</I>], Homl. Th. ii. 22, 32. Á on écnisse <I>usque in æternum,</I> Jos. 4, 7. Ic á ne geseah <I>'I not ever saw' = I never saw,</I> Cd. 19; Th. 24, 10; Gen. 375. Á = ǽfre: Nú, sceal beón á on Ii abbod <I>now, there shall always</I> [<I>ever</I>] <I>be an abbot in Iona,</I> Chr. 565; Th. 33, 2, col. 2. Nu, sceal beón ǽfre on Ií abbod <I>now, there shall ever</I> [<I>alway</I> s] <I>be an abbot in lona,</I> Chr. 565; Th. 32, 11; 33, 4, col. 1. He biþ aa [áá MS.] ymbe ðæt an <I>he is for ever about that one</I> [<I>thing</I>], L. Th. ii. 310, 25. Aa on worulda woruld <I>semper in seculorum seculum,</I> Ps. Th. 105, 37. Nú and aaa [ááá MS.], to worulde búton ǽghwilcum ende <I>now and ever, to a world without any end,</I> Bt. 42; Fox 260, 15. Á world <I>for ever,</I> Ex. 21, 6. Á forþ <I>ever forth, from thence,</I> Bt. Tupr. 303, 31. [The original signification seems to be a flowing, referring to time, which every moment flows on, hence <I>ever, always,</I> also to ǽ, eá <I>flowing water, a river.</I> In Johnston's Index Geog. there are nineteen rivers in Europe with the name of Aa -- Á.]</xml_line>","ever, for ever; hence the O. Eng. AYE, ever; semper, unquam, usque :-- Ac á sceal ðæt wiðerwearde gemetgianbut ever must the contrary moderate. Bt. 21; Fox 74, 19. Án God á on ecnysse one God to all eternity [lit. one God ever, in eternity], Homl. Th. ii. 22, 32. Á on écnisse usque in æternum, Jos. 4, 7. Ic á ne geseah 'I not ever saw' = I never saw, Cd. 19; Th. 24, 10; Gen. 375. Á = ǽfre: Nú, sceal beón á on Ii abbod now, there shall always [ever] be an abbot in Iona, Chr. 565; Th. 33, 2, col. 2. Nu, sceal beón ǽfre on Ií abbod now, there shall ever [alway s] be an abbot in lona, Chr. 565; Th. 32, 11; 33, 4, col. 1. He biþ aa [áá MS.] ymbe ðæt an he is for ever about that one [thing], L. Th. ii. 310, 25. Aa on worulda woruld semper in seculorum seculum, Ps. Th. 105, 37. Nú and aaa [ááá MS.], to worulde búton ǽghwilcum ende now and ever, to a world without any end, Bt. 42; Fox 260, 15. Á world for ever, Ex. 21, 6. Á forþ ever forth, from thence, Bt. Tupr. 303, 31. [The original signification seems to be a flowing, referring to time, which every moment flows on, hence ever, always, also to ǽ, eá flowing water, a river. In Johnston's Index Geog. there are nineteen rivers in Europe with the name of Aa -- Á.]","ever, for ever"
1,á,\N,2,main,á,á,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,aac,\N,2,main,ɑːk,"aac, e",n.,f.,\N,"<div class=""oldenglish bodytext""><I>oak:</I> -- Aac-tún <I>Acton Beauchamp, Worcestershire,</I> Cod. Dipl. 75 ; A. D. 727; Kmbl. i. 90, 19. v. Ác-tún.</div>","oak: -- Aac-tún Acton Beauchamp, Worcestershire, Cod. Dipl. 75 ; A. D. 727; Kmbl. i. 90, 19. v. Ác-tún.",oak:
1,aad,\N,2,main,ɑːd,aad,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,áǽðan,\N,2,main,áǽðɑn,áǽðan,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,aam,\N,2,main,ɑːm,"aam, es",n.,m.,\N,"<div class=""oldenglish bodytext""><I>reed of a weaver's loom.</I> Exon. 109 a; Th. 417, 22 ; Rä. 36, 8; Cod. Lugd. Grn. v. ám.</div>","reed of a weaver's loom. Exon. 109 a; Th. 417, 22 ; Rä. 36, 8; Cod. Lugd. Grn. v. ám.",reed of a weaver's loom.
1,aar,\N,2,main,ɑːr,aar,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,aaþ,\N,2,main,ɑːθ,aaþ,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bacan,\N,2,main,ɑbɑkɑn,"a-bacan, ic -bace, ðú -bæcest, -bæcst, he -bæceþ, -bæcþ, pl. -bacaþ; p. -bóc, pl. -bócon; pp. -bacen",,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bád,\N,2,main,ɑbád,a-bád,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bæd,\N,2,main,ɑbæd,"a-bæd, abǽdon",,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bǽdan,\N,2,main,ɑbǽdɑn,a-bǽdan; p. -bǽdde; pp. -bǽded,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bæligan,\N,2,main,ɑbæligɑn,a-bæligan; p. ode; pp. od,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bær,\N,2,main,ɑbær,a-bær,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,ABAL,\N,2,main,ɑbɑl,"ABAL, afol, es",n.,n.,\N,"<div class=""oldenglish bodytext""><I>of body, strength;</I> vigor, vires, robur corporis :-- Ðín abal and cræft <I>thy strength and power,</I> Cd. 25; Th. 32, 9; Gen. 500. [<I>Orm.</I> afell: <I>O. H. Ger.</I> aval, <I>n:</I> <I>O. Nrs.</I> afl, <I>n. robur, vis: Goth.</I> abrs <I>strong: Grk. GREEK.</I>]</div>","of body, strength; vigor, vires, robur corporis :-- Ðín abal and cræft thy strength and power, Cd. 25; Th. 32, 9; Gen. 500. [Orm. afell: O. H. Ger. aval, n: O. Nrs. afl, n. robur, vis: Goth. abrs strong: Grk. GREEK.]","of body, strength"
1,a-bannan,\N,2,main,ɑbɑnːɑn,"a-bannan; p. -beónn, pl. -beónnon ; pp. -bannen. I.",,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,a-barian,\N,2,main,ɑbɑriɑn,a-barian; p. ede; pp. ed,,\N,"[a, barian to make bare; bær, se bara; adj. bare]","<div class=""oldenglish bodytext""></div>",\N,\N
1,a-bát,\N,2,main,ɑbát,a-bát,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbad,\N,2,main,ɑbːɑd,"abbad, abbod, abbud, abbot, es; m: abboda, an",n.,m.,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbad-dóm,\N,2,main,ɑbːɑddóm,abbad-dóm,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbad-hád,\N,2,main,ɑbːɑdhád,abbad-hád,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbadisse,\N,2,main,ɑbːɑdisːe,"abbadisse, abbodisse, abbatisse, abbudisse, abedisse, an",n.,f.,"[abbad f. [abbad an abbot, isse a female termination, q. v.]","<div class=""oldenglish bodytext""></div>",\N,\N
1,abbad-ríce,\N,2,main,ɑbːɑdríke,abbad-ríce,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,Abban dún,\N,2,main,ɑbːɑn dún,"Abban dún, e",n.,f.,\N,"<div class=""oldenglish bodytext""><I>in Berkshire,</I> Chr. 985; Ing. 167, 5. v. Æbban dún.</div>","in Berkshire, Chr. 985; Ing. 167, 5. v. Æbban dún.",in Berkshire
1,abbod,\N,2,main,ɑbːod,abbod,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abboda,\N,2,main,ɑbːodɑ,"abboda, an",n.,m.,\N,"<div class=""oldenglish bodytext""><I>abbot;</I> abbas :-- Swá gebireþ abbodan <I>as becometh abbots,</I> L. I. P. 13; Th. ii. 320, 35. v. abbad.</div>","abbot; abbas :-- Swá gebireþ abbodan as becometh abbots, L. I. P. 13; Th. ii. 320, 35. v. abbad.",abbot
1,abbod-ríce,\N,2,main,ɑbːodríke,"abbod-ríce, abbot-ríce, es",n.,n.,\N,"<div class=""oldenglish bodytext""><I>rule of an abbot, an abbacy;</I> abbatia :-- On his tíme wæx ðæt abbodríce swíðe ríce <I>in his time the abbacy waxed very rich,</I> Chr. 656; Ing. 41, l. On ðis abbotríce <I>in this abbacy,</I> Chr. 675; Ing. 51, 12.</div>","rule of an abbot, an abbacy; abbatia :-- On his tíme wæx ðæt abbodríce swíðe ríce in his time the abbacy waxed very rich, Chr. 656; Ing. 41, l. On ðis abbotríce in this abbacy, Chr. 675; Ing. 51, 12.","rule of an abbot, an abbacy"
1,abbodyase,\N,2,main,ɑbːodyɑze,abbodyase,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbot,\N,2,main,ɑbːot,abbot,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbud,\N,2,main,ɑbːud,abbud,,\N,\N,"<div class=""oldenglish bodytext""></div>",\N,\N
1,abbud-dóm,\N,2,main,ɑbːuddóm,"abbud-dóm, es",n.,m.,"[ = abbod-ríce, m, [ = abbod-ríce, q. v.]","<div class=""oldenglish bodytext""></div>",\N,\N
