lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
34816,āgan,"have, possess",1177,AGAN,pres. part,"pres. part, ágende; pres. indic, ic, he áh, ðú áhst, pl. ágon, ágan, águn; p. ic, he áhte, ðú ahtest, pl. áhton; subj. ic, ðú, he áge, pl. ágen; p. ic áhte, pl. áhten; pp. ágen. I. to OWN, possess, have, obtain; possidere, habere, percipere :-- Ðe micel ágan willaþ who desire [will] to possess much, Bt. 14, 2; Fox 44, 13. Nú ic áh mǽste þearfe Now I have the utmost need, Byrht. Th. 136, 60; By. 175. Gesyle eall ðæt ðú age vende quæcumque habes, Mk. Bos. 10, 21. Ðú ðe áhst dóma geweald thou that hast power of dignities, Elen. Kmbl. 1448; El. 726. Áh him lífes geweald he hath power over life, Andr. Kmbl. 1036; An. 518 : Cd. 103; Th. 137, 8 ; Gen. 2270. Wuna ðǽm ðé ágon dwell with those who own thee, Cd. 104; Th. 138, 18; Gen. 2293 : 221; Th. 287, 3; Sat. 361. Ðæt hie heofonríce ágan that they shall possess heaven's kingdom, 22; Th. 27, 33; Gen. 427. Hí águn they possess, Exon. 33 b; Th. 106, 33; Gú. 50. Ðæt ic éce líf áge ut vitam æternam percipiam, Mk. Bos. 10, 17. He sealde eall ðæt he áhte vendidit omnia quæ habuit, Mt. Bos. 13, 46: Ps, Th. 147, 3: Beo. Th. 5210; B. 2608. Hi gewyrhto áhton They possessed merits, Cd. 196; Th. 244, 7; Dan. 444. Áhton, Ps. Th. 118, 79. Ðæt hí sige áhten that they had the victory, Bd. 3, 2 ; S. 524, 28. Dóm ágende possessing power. Andr. Kmbl. 1139; An. 570: Exon. 68 a; Th. 253, 26; Jul. 186. Ðeáh he feoh-gestreón áhte although he possessed riches, Exon. 66b; Th. 245, 13; Jul. 44. II. to make another to own or possess, hence, -- to give, deliver, restore; dare in possessionem, reddere, rependere :-- Éðelstówe ðé ic ágan sceal I shall give thee a dwelling-place, Cd. 130; Th. 164, 34; Gen. 2724. On hand ágan to deliver in hand, Ors. 3, 11? Ágan út to have or find out. Lett ágan ut, hú fela permit to find out, how many, Chr. 1085; Th. 353, 5. Ágan ERROR is the first of the following twelve Anglo-Saxon verbs, -- ágan, cunnan, dugan, durran, magan, mótan, munan, nugan, sculan, þurfan, unnan, witan, which are called præterito-præsentia, because they take their new infinitives and their present tenses from the perfects of strong verbs with their inflections. These new infinitives form their p. tenses regularly in accordance with the weak conjugations. Thus, the new infinitive. ágan has pres. ic, he áh = ág, pl. ágon; p. áhte = ágde, pl. áhton = ágdon. The inf. ágan and the pres. áh, pl. ágon [for igon], retaining preterite inflections, are taken from the p. of a strong verb, ascertained from áh [Goth, áih], which shews the á of the p. singular in the eighth class of Grimm's division of strong verbs [Grm. i. p. 837; Koch i. p. 253], and requires by analogy, with other verbs of the same class, the inf. ígan, the p. pl. igon, and the pp. igen. Thus we find the original verb ígan; p. áh, pl. igon; pp. igen. But in ágan the á of the singular indef. is kept in the pl. inf. and pp. The weak p. áhte = ágde, pl. áhton=ágdon are formed regularly from the weak infin. ágan. The same præterito-præsens may be generally observed in the following cognate words :--inf. pres. pl. p.Engl. owe, possidere, ought.Laym agen,ah,agen,ahte.O. Sax. égan,[éh],égunéhtaO. Frs. ága, hága,ách,ágonáchte.O. H. Ger. eigan,eigumés.Goth. áigan,áih,áigum,áihta.O. Nrs. eiga,á,eigum,átta. ERR???"
20123,ār,"benefit, mercy, honor, fortune",2036,ÁR,"honour, glory, rank, dignity, magnificence, respect, reverence;","honour, glory, rank, dignity, magnificence, respect, reverence; honor, dignitas, gloria, magnificentia, honestas, reverentia :-- Sý him ár and onwald be to him honour and power, Exon. 65 b; Th. 241, 28; Ph. 663. Ne wolde he ǽnige áre wítan nor would he ascribe any honour, Bd. 2, 20; S. 521, 29. He sundor líf wæs fóreberende eallum ðám árum he was preferring a private life to all honours, Bd. 4, 11; S. 579, 8. Nyton náne áre on nánum men they know no respect for any man, Bt. 35, 6; Fox 168, 25. Be ðære cirican áre according to the rank of the church, L. Alf. pol. 42; Th. i. 90, 10. He on his ágenum fæder áre ne wolde gesceáwian he would not look with reverence on his own father, Cd. 76; Th.95, 18; Gen. 1580."
27145,blāc,"pale, pallid",4554,blác,"bright, shining;","bright, shining; lucidus, splendidus :-- On bryne blácan fýres into the burning of the bright fire, Cd. 186; Th. 231, 13; Dan. 246. Lígetta hérgen bláce dýrne Dryhten lightnings bright praise the beloved Lord, Exon. 54 b; Th. 192, 16; Az. 107. Engel ða burh oferbrægd blácan lýge, hátan heaðowealme an angel spread over the town a bright flame, hot warlike floods, Andr. Kmbl. 3081; An. 1543. Blácum leóhte with bright light, Bt. Met. Fox 4, 15; Met. 4, 8. Lígetu bláce lightnings bright, Cd. 192; Th. 340, 3; Dan. 381."
40316,cyst,"object of choice, excellence",7255,cyst,Desirable,"Desirable; desiderabilis :-- Ne hí for áwyht eorþan cyste ða sélestan geseón woldan pro nihilo habuerunt terram desiderabilem, Ps. Th. 105, 20."
61674,earfoþ,"effort, work",8589,earfoþ,"Hardship, trouble","Hardship, trouble; lăbor, tribŭlātio :-- Má earfoða more of troubles, Guthl. 5; Gdwin. 32, 13. v. earfeðe."
36179,ǣfen,evening,385,ǽFEN,The,"The EVEN, evening, eventide; vesper, vespera :-- Syððan ǽfen cwom after evening came, Beo. Th. 2475; B. 1235. ǽfen ǽrest vesperum primum, Cd. 8; Th. 9, 7; Gen. 138. ǽfena gehwám in each of evenings, 148; Th. 184, 16; Exod. 108. Æt ǽfenne, on ǽfenne, or to ǽfenne, at even, in the evening, Ps. Spl. 29, 6. [Laym. aefen: Orm. efen: Gow. Chauc. even: N. Dut. avond: M. Dut. avont, m: Plat, abend, m: O. Sax. áband, m: O. Frs. ávend, m: Ger. abend, m; M. H. Ger. ábent, m: O. H. Ger. ápand, ábant, ábunt, m: Dan. aften, m: Swed. afton, m: Icel. aptan, aftan, m: confr. Grk. GREEK.]"
19586,eax,axle,8784,EAX,"An axis, axle-tree","An axis, axle-tree; axis :-- Neáh ðam norþende ðære eaxe near the north end of the axis, Bt. 39, 3; Fox 214, 20: 39, 13; Fox 232, 33: Bt. Met. Fox 28, 44; Met. 28, 22: 29, 36; Met. 29, 18. On ðære ilcan eaxe hwerfeþ eall rúma ródor all the spacious sky turns on the same axis, 28, 30; Met. 28, 15. Ymb ða eaxe about the axis, Bt. 39, 3; Fox 214, 23. On wǽnes eaxe hwearlaþ ða hweói, and sió eax stent stille the wheels turn on the waggon's axle-tree, and the axle-tree stands still, 39, 7; Fox 220, 27, 30, 31: 39, 8; Fox 224, 5. Sió nafu ferþ néhst ðære eaxe the nave goes nearest to the axle-tree, 39, 7; Fox 222, 2, 12, 20, 21, 22, 28. Twegen steorran synd gehátene axis, ðæt is ex, forðamðe se firmamentum went on ðam twám steorran, swá swá hweogel tyrnþ on eaxe, and forðí hi standaþ symle stille two stars are called axis, that is axle-tree, because the firmament turns on the two stars, as a wheel turns on an axle-tree, and because they always stand still, Bd. de nat. rerum; Wrt. popl. science 16, 12-15; Lchdm. iii. 270, 20-23. [Wyc. ax-tre, ex-tre an axle-tree: Plat, asse: Dut. as, f: Ger. achse, axe, f; M. H. Ger. ahse, f: O. H. Ger. ahsa. f; Dan. axe. m. f; Swed. axel, m; Icel. axull, öxull, m; öxul-tré, n: Lat. axis, m: Grk. GREEK, m: Lith. aszis, f: Sansk. aksha the axle of a wheel, a wheel, car.]"
37257,eð-,again,8832,ed-,"anew, again","anew, again, as the Latin re- meaning rursus, dēnuo, itĕrum. Edniwian to renew, to make new again; renŏvāre. [Wyc. ed-: Plat. O. Frs. et- in etmal: M. H. Ger. ite-: O. H. Ger. it-, ita-: Goth. id-: O. Nrs. ið-.]"
21813,æfter,"behind, after (adv.); after, behind, according to (prep. w. dat.)",444,æfter,dat.,"dat. - AFTER; post :-- Ne far ðú æfter fremdum godum go not thou after strange gods, Deut. 6, 14. Æfter þrím monþum after three months, Gen. 38, 24. Æfter dagum after those days, Lk. Bos. 1, 24. Cumaþ æfter me venite post me, Mt. Bos. 4, 19. Æfter þrým dagum [MS. dagon] ic aríse post tres dies resurgam, Mt. Bos. 27, 63. Ðá eóde ðæt wíf æfter him then the wife went after him, Bt. 35, 6; Fox 170, 13. Hám staðeledon, án æfter ódrum they established a home, one after another, Cd. 213; Th. 266, 22 ; Sat. 26. Æfter ðám wordum werod eall arás after those words all the host rose, Cd. 158; Th. 196, 29; Exod. 299: Exon. 28 b; Th. 86, 24; Cri. 1413. Wunder æfter wundre wonder afer wonder, Beo. Th. 1866; B. 931: Cd. 8; Th. 9, 19; Gen. 144 Cd. 46; Th. 59, 15; Gen. 964: Cd. 143; Th. 178, 1; Exod. 5 : Cd. 148; Th.184,18; Exod. 109: Cd. 227; Th. 304, 14; Sat. 630: Exon. 16 a; Th. 36, 8; Cri. 573: Exon. 18 a; Th. 44. 31; Cri, 711: Exon. 117 a; Th. 449, 32; Dóm. 80: Exon. 117 a; Th. 450, 3; Dóm. 82: Exon. 124 a; Th. 476, 20; Ruin. 10: Beo. Th. 170; B. 85: Beo. Th. 238; B. 119: Apstls. Kmbl. 163; Ap.82: Andr. Kmbl. 175; An. 88: Andr. Kmbl. 265; An. 133: Exon. 39 b ; Th. 130, 22 ; Gú. 442: Exon. 40 b ; Th. 134, 5; Gú. 503: Elen. Kmbl. 859; El. 430: Elen. Kmbl. 977; El 490: Exon. 118 a ; Th. 454, 10 ; Hy. 4, 30."
61793,ǣg,egg,489,ÆG,if he ask for an egg,"if he ask for an egg, Homl. Th. i. 250, 9. Ðæt æg [æig MS.] getácnaþ ðone hálgan hiht the egg betokens the holy hope, i. 250, 11. Gif he bit æg si petierit ovum, Lk. Bos. 11, 12. Gením hænne æges geolocan take the yolk of a hen's egg, L. M. 1, 2; Lchdm, ii. 38, 6. Sceáwa nú on ánum æge, hú ðæt hwíte ne biþ gemenged to ðam geolcan, and biþ hwæðere án æg look now on an egg, how the white is not mingled with the yolk, and yet it is one egg, Homl. Th. i. 40, 27, 28. On æge biþ gioleca on middan in on egg the yolk is in the middle, Bt. Met. Fox 20, 338 ; Met. 20, 169. Of ægerum from eggs, Exon. 59a; Th. 214, 2 ; Ph. 233. Ægru lecgan to lay eggs, Som.121. Æges hwíte white of an egg. Æmettan ægru gením take emmet's eggs, L. M. I, 87; Lchdm, ii. 156, 6. [Ger. ei, n. M. H. Ger. ei, g. eies, eiges, pl. eiger, n: O. H. Ger. ei, g. eies, eiges, pl. eigir, a: Dan. äg, n : Swed, ägg, n: O. Nrs. egg, n.]"
