lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
4005,hlōwan,to roar / bellow,19232,hlówan,"To low, bellow, make a loud noise","To low, bellow, make a loud noise :-- Oxa hléwþ bos mugit, Ælfc. Gr. 22; Som. 24, 9. Hleówon hornboran the trumpeters sounded, Elen. Kmbl. 107; El. 54. Hlówendra fearras flǽsc the flesh of lowing oxen, Homl. Th. i. 590, 15. [Icel. hlóa to roar (of streams): O. H. Ger. hlóon mugire, rudere.]"
16797,feld,field,10223,FELD,A,"A FIELD, pasture, plain, an open country; campus, campestria :-- Se æðela feld wrídaþ under wolcnum the noble field flourishes under the skies, Exon. 56 a; Th. 199, 16; Ph. 26. Feld campus, Wrt. Voc. 80, 48. Weaxaþ hraðe feldes blóstman the flowers of the field quickly grow, Bt. Met. Fox 6, 19; Met. 6, 10. On felda ðam ðe deórmóde Díran héton in the field which the brave men call Dura, Cd. 180; Th. 226, 13; Dan. 170: Byrht. Th. 138, 56; By. 241. He sette fóretácn his on felda Taneos pŏsuit prōdĭgia sua in campo Taneos, Ps. Spl. 77, 48. On ðam felde upon the plain, Salm. Kmbl. 427; Sal. 214. Hie gesóhton Sennera feld they sought the plains of Shinar, Cd. 80; Th. 100, 23; Gen. 1668: 205; Th. 253, 27; Dan. 602. Híg fundon ánne feld invēnērunt campum, Gen. 11, 2. Habbaþ feldas eác fægere blisse gaudēbunt campi, Ps. Th. 95, 12: Ps. Lamb. 103, 8. On Moabes feldum in campestrĭbus Moab, Deut. 34, 8. On fealda in campo, Ps. Spl. 77, 15. Feadas ðíne beóþ gefylled of genihtsumnysse campi tui replēbuntur ubertāte, 64, 12. [Piers P. felde: Wyc. feld, felde, feeld: Chauc. R. Glouc. feld: Laym. feld, ueld, feold, uald: Orm. feld: O. Sax. feld, m: Frs. fjild: O. Frs. feld, field: Dut. veld, n: Ger. feld, n: M. H. Ger. velt, n: O. H. Ger. feld, n: Dan. fælled, m. f: Swed. fält, n: Icel. fold, f.] DER. here-field, sun-, wæl-, wudu-."
19371,æppuldre,apple tree,716,æppuldre,An apple-tree,An apple-tree; malus. v. apuldre.
19602,ōxn,armpit,25003,óxn,The arm-pit,"The arm-pit :-- Óxn ascella, Wrt. Voc. i. 43, 65 : 64, 70. Under his óxne sub ascella sua, Kent. Gl. 992. Heó ðone fúlan stenc ðæra óxna áfyrreþ, Lchdm. i. 284, 7. [O. H. Ger. uohsana ascella.] Cf. óhsta."
19671,dǽg,day,7307,DÆG,a,"a DAY; dies :-- Se dæg segþ ðam óðium dæge Godes wundru one day to another tells of God's wonders, Ps. Th. 18, 2. God hét ðæt leóht, dæg God called the light, day, Gen. 1, 5. Se þridda dæg the third day, Gen. 1, 13. Emnihtes dæg the day of equinox; æquinoctium, Menol. Fox 347; Men. 175. Wintres dæg the winter's day or beginning of winter, Menol. Fox 401; Men. 202."
19743,acan,pain,137,ACAN,To,"To AKE, pain; dolere :-- Gif mannes midrif [MS. midrife] ace if a man's midriff ake, Herb. 3,6; Lchdm. i. 88, 11: Herb. Cont. 3, 6; Lchdm, i. 6; 3, 6. Acaþ míne eágan my eyes ake, Ælfc. Gr. 36, MS. D; [mistiaþ=acaþ, Som. 38, 48]; dolent mei oculi, Mann. [Laym. p. oc: R. Glouc. p. ok: Chauc, ake: N. L. Ger. aken, æken.]"
19845,āfor,"sharp, violent",1134,afor,"Vehement, dire, hateful, rough, austere","Vehement, dire, hateful, rough, austere; vehemens, atrox, odiosus, asper, austerus, acerbus :-- Iudiþ, egesfull and afor Judith, dreadful and vehement, Judth. 12; Thw. 25, 13; Jud. 257. Afrum onfengum with their dire attempts, Exon. 403; Th. 133, 15; Gú. 490. Ðæt [sǽd] byþ þreóhyrne, and hyt byþ afor and sweart the scent is three-cornered, and it is rough and swarthy, Herb. 181, 1; Lchdm, i. 316, 11. [Goth. ,-brs strong: O. Nrs. æfr sævus, vehemens, ferox.] v. nefre."
19875,ād,"glow, funeral pyre",238,ÁD,"A funeral pile, pile, heap","A funeral pile, pile, heap; rogus, congeries :-- Ðá on-bærnde he ðone ád then kindled he the pile, Bd. 3, 16; S. 542, 25. Ád stód onæled the pile was [stood] kindled, Cd. 141; Th. 176, 35; Gen. 2922. Hét ád onælan he commanded to kindle the funeral pile, Exon. 74a; Th. 277, 13; Jul. 580. Mycelne aad [ád MS. B.T.] gesomnode on beámum advexit plurimam congeriem trabium, Bd. 3, 16; S. 542, 22. [Kath. ad: O. Ger. eit ignis, rogus. v. Lat. æs-tus: Grk. GREEK: Sansk. edh-as wood for fuel, from the Sansk. root indh to light, kindle.] DER. ád-fær, -fýr, -lég, -loma."
19903,ǣlan,burn,568,ælan,"To kindle, set on fire, burn, bake","To kindle, set on fire, burn, bake; accendere, urere, comburere, coquere :-- Ne ælaþ hyra leóhtfæt neque accendunt lucernam, Mt. Bos. 5, 15. Úton wircean us tigelan and ælan híg on fýre faciamus lateres et coquamus eos igni, Gen. 11, 3. Fýr æleþ uncyste the fire burns the vices, Exon. 63 b; Th. 233, 17; Ph. 526. Flǽsc and bán ádlég æleþ the fire of the pile burns flesh and bones, Exon. 59 a; Th. 213, 9; Ph. 222. Brond biþ ontyhte, æleþ ealdgestreón let the brand be kindled, consume the old treasure, 19 b; Th. 51, 8. DER. in-ælan, on-."
19953,ācol,"agitated, dismayed",177,acol,"Excited, excited by fear, frightened, terrified, trembling","Excited, excited by fear, frightened, terrified, trembling; agitatus, perterritus, pavidus :-- Wearþ he on ðam egesan acol worden he had through that horror become chilled, trembling, Cd. 178; Th. 223, 24; Dan. 124. Forht on móde, acul for ðam egesan fearful in mood, trembling with dread, 210; Th. 261, 14; Dan. 726. Acol for ðam egsan trembling with terror. Exon. 42 b; Th. 143, 20; Gú. 664. Forht and acol afraid and trembling. Cd. 92; Th. 117, 18; Gen. 1955. Wurdon hie ðá acle they then became terrified, Andr. Kmbl. 2678; An. 1341. Fyrd-leóþ galan aclum stefnum they sung a martial song with loud excited voices, Cd. 171; Th. 215, 4; Exod. 578."
