lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
20334,egenu,chaff,9079,egenu,a little round heap,"a little round heap; glŏmŭlus, Som. Ben. Lye."
20476,ēa,"river, water",8244,eá,oh! alas! commonly,oh! alas! commonly eá-lá; interjec. q. v.
22959,otor,otter,24993,otor,for,"for ofer (?), Cd. Th. 220, 19 ; Dan. 73."
24027,posa,pouch,25219,posa,. v. pusa.,. v. pusa.
24077,bȳsting,beestings,5696,býsting,m.,"m. BIESTINGS, the first milk of a cow after calving; colostrum :-- Býsting, þicce meolc biestings, thick milk, Ælfc. Gl. 33; Som. 62, 20; Wrt. Voc. 28, 3. v. beóst."
21024,þā,both,30680,þá,"conj. Then, when.","conj. Then, when. When the word stands at the beginning of a clause and may be translated by then, the verb generally precedes its subject; if it is to be translated by when the subject generally precedes the verb. I. then, at that time :-- Ic ofstikode hyne. Swíþe þrýste ðú wǽre þá (tunc), Coll. Monast. Th. 22, 19. Ðá wæs ðæt Agustinus gelaþode tó his sprǽce Brytta bisceopas interea Augustinus convocavit ad suum colloquium episcopos Brittonum provinciae, Bd. 2, 2; S. 502, 5. Godes ðeówas ðá náne landáre hleótan ne móston, Homl. Th. ii. 224, 4. On anginne ðissere worulde menn móston lybban be heora lustum ðá ... wé ne móton lybban be úrum lustum nú, Homl. Skt. i. 16, 233. Hit mæg eów nú fremian swá micclum swá hit ðá mihte, Homl. Th. ii. 378, 12. Se stán ðe ðæt wæter ðá of fleów, ii. 274, 1. Hé on fulluhte underfangen næs, forðan ðe Martinus ðá on neáwiste næs, 504, 24 : Homl. Skt. i. 6, 112. On ðære tíde ðe Ehfrid and Ædelréd wunnon, ðá æt sumon gefeohte wearð án ðegen áfylled, Homl. Th. ii. 356, 24. II. marking sequence, then, after that, thereupon :-- Ðá cwæð hé : 'Gá gé on mínne wíngeard.' And hig þá férdon, Mt. Kmbl. 20, 4. Sum iungling com mid gyrde tó mé, and wearp hí ðá tó mé, Homl. Th. ii. 312, 17. Se engel mé lǽdde ðá furðor ... Efne ðá æteówdon lígas ... Ic ðá beheóld ðone ormǽtan líg, 350, 15-21 : 456, 24-26. Eft ðá on ðære þriddan nihte middan hé gewát of ðisum lífe. Þá cómon eft englas and hine gelǽddon, 336, 2-5. Hwæt ðá com sum man, 286, 19. Hwæt ða hǽþenan þá hine bestódon, Homl. Skt. ii. 28, 104. Þá se bisceop dyde up ðone sanct, i. 21, 139. III. as adverbial connective, (1) of time, when :-- Þá hé út eode embe underntíde, hé geseah óðre ídele standan, Mt. Kmbl. 20, 3 : 3, 7. Hwæt hé dyde, þá hine seó menego þreáde, Blickl. Homl. 19, 11, 31 : 5, 25. (2) of cause or reason, when, since, as :-- Hí héton hine secgan hweþer hé cristen wǽre, þá hé wilnode þyllíces, Homl. Skt. ii. 28, 106. Hwá mæg áuht óþres cweþan bútan ðú wǽre se gesǽligesta, ðá ðú mé wǽre ǽr leóf þonne cúþ, Bt. 8; Fox 24, 26. III a. where the form is doubled, or combined with ðe; v. also IV. (1) marking time, when :-- Crist sylf gefæstnode his sprǽce, þá ðá hé spræc tó ánum Samaritaniscan wífe, Homl. Th. i. 482, 24. Ðæt Drihten cwǽde tó Nichodéme, án ðæra ealdra, ðá ðá hé his láre sóhte, ii. 238, 4, 9. Ðá ðe (cum) hé in áre wes, Ps. Surt. 48, 21 : 106, 6. (1 a) where the two forms are separated :-- Þá heó þá in tó ðære hire moddrian eode, sóna ðæt cild onsprang, Blickl. Homl. 165, 28. (2) marking cause or reason, when, since, as :-- Ðá cwæð his geféra, ðæt hé gefyrn smeáde hwǽr hí bigleofan biddan sceoldon, ðá ðá hí ða fare férdon búton wiste, Homl. Th. ii. 138, 33. (3) marking condition, when, if :-- Ðæt hit wǽre geðúht ðæs ðe máre gemynd ðæs fæder, ðá ðá se sunu, his yrfenuma, wæs gecíged ðæs fæder naman, Homl. Th. i. 478, l l. IV. in correlative combinations, then ... when, when ... then :-- Ðá se cyng ðæt hiérde, þá wende hé hine west, Chr. 894; Erl. 91, 9 : 90, 22-24. Þá (then) þú cýþdest ðæt þú neatest hwelces endes ǽlc angin wilnode, þá ðú wéndest ðæt steórleáse men wǽron gesǽlige, Bt. 5, 3; Fox 12, 34. Þá þá (cum) hé fæste feówurtig daga, þá ongan hyne syððan hingrian, Mt. Kmbl. 4, 2. Ðá ðá hé ealdode, þá clypode hé his yldestan cniht him tó, Homl. Th. ii. 234, 22 : 286, 6 : 390, 19-22. Þá hé ðá út faran wolde, þá hét hé beódan, Chr. 905; Erl. 98, 21 : 894; Erl. 90, 33. Ðá se wísdóm ðá þis spell áreht hæfde, ðá ongan hé giddian, Bt. 19; Fox 68, 19. Þá þe ... þá sóna, Blickl. Homl. 163, 15. Þá geseah Abraham Drihtnes dæg, þá þá hé ðás gerýnu tócneów, Homl. Th. ii. 234, 22. Se Frysa ðá, þá ðá hé hine gehæftan ne mihte, lét hine faran, 358, 22. IV a. in combination with other demonstrative forms :-- Mid ðý ðe heó gehýrde ðone fruman, þá cwæþ heó þus, Blickl. Homl. 7, 20. Þǽr ðú cýþdest ðæt ðú nystest mid hwilcan gerece God wylt ðisse worulde, þá ðú sǽdest ðæt . . . , Bt. 5, 3; Fox 14, 4. ¶ See git, gita, gén, géna, nú for other instances of the word. [Chauc. Piers P. tho, thoo : O. Frs. thá : O. Sax. thó, thuo : O. H. Ger. dó : Icel. þá]"
21570,ōs,Ase,24914,ós,"a divinity, god","a divinity, god, the Anglo-Saxon form of a word whose existence in Gothic is inferred from a passage in Jornandes, 'Gothi proceres suos quasi qui fortuna vincebant non pares homines sed semideos, id est, Anses vocavere.' The Icelandic, which throws out n before s, as the Anglo-Saxon does (cf. Icel. gás: A. S. gós), has áss; pl. æsir, a term which has an application in the opening chapters of the Yngling Saga very similar to that attributed to anses among the Goths: Odin, Thor, and other personages of the Scandinavian mythology are the Æsir. Particularly apparently did the term refer to Thor, so that the proper name Ás-björn is used as the equivalent of Þor-björn. As the first part of Scandinavian proper names it occurs frequently, and it is in the same dependent character that it mostly, if not exclusively, is found in Anglo-Saxon and O. H. German. Thus Ós-beorn, Ós-lác, Ós-wine, Ós-weald preserve the word which is found in Ás-björn, Ás-lákr, Ás-mundr, and this is certainly the independent áss. The O. H. Ger. Ans-gár shews the same word. Whether ós in the sense of god occurs as an independent word is doubtful. It is the name of the Rune RUNE, which in the Runic poem is accompanied by the following verse:--'Ós byþ ordfruma ǽlcre sprǽce Wísdómes wraðu and witena frófurAnd eorla gehwam eádnís and tóhyht.'Runic pm. Kmbl. 340, 5-10; Rún. 4.Kemble translates ós by mouth (as if the Latin word had been taken?), but if the verse is old, the reference might be to Woden. Cf. the account of Óðinn in the Yngfinga Saga: þar þóttust Ódins menn eiga ale traust, er hann var, c. 2. Óðinn var göfgastr af öllum, ok af honum námu þeir allir íþróttirnar: því at hann kunni fyrst allar ok þó fiestar. . . . Hann ok hofgoðar hans heita ljóðasmiðir, því at sfi íþrótt hófst af þeim í norðrlöndum, c. 6. See also c. 7, and Salm. Kmbl. p. 192: Saga mé hwá ǽrost bócstafas sette? Ic ðe secge Mercurius ( = Woden) se gygand. Further in Lchdm. iii. 54, in a charm, occurs a genitive pl. ésa:--Gif hit wǽre ésa gescot, oððe hit wǽre ylfa gescot, oððe hit wǽre hægtessan gescot, nú ic wille ðín helpan. Ðis Ðis ðé tó bóte ésa gescotes, &c. . . . But though on the comparison of other forms, a nom. pl. és might be inferred for Ís, the change of vowel would not occur in the genitive, which should be ósa. Ésa would point to a singular és (cf. ést; Goth. ansts). The meaning however of the word is that given to ós. See Grmm. D. M. p. 22."
24351,batian,become better,3016,bátian,To,"To BAIT or lay a bait for a fish, to bait a hook; inescare, Som."
28945,tyn,ten,30656,týn,"To instruct, educate, teach","To instruct, educate, teach :-- Ic tý oððe lǽre imbuo, Ælfc. Gr. 28, 3; Zup. 166, 14. Hé lǽrþ and hé týð heorde his docet et erudit gregem suam, Scint. 146, 7. Se wísdóm ðe hit lange ǽr týde and lǽrde, Bt. 3, 1; Fox 4, 30. Hé hine geornlíce týde and lǽrde hú hé drohtian sceolde eum erudire studuit qualiter conversari debuisset. Bd. 1. 27; S. 489, 5. Hí mycelne ðreát discipula on metercræfte and on tungolcræfte týdan and lǽrdan, 4, 2; S. 565, 26. Láreówas ðe hí (wudufuglas) týdon and temedon. Met. 13, 39. Swá hwilce men swá willnadon ðæt hí on hálgum leornungum týde wǽron hí hæfdon gearuwe magistras ða ðe hig lǽrdon and tyddon quicumque lectionibus sacris cuperent erudiri, haberent in promptu magistros qui docerent, Bd. 4, 2; S. 565, 34: 4, 3; S. 569, 6. Láreów ðú æþele þeáwas tý doctor egregie mores instrue, Hymn. Surt. 106, 5. Se ðe ðone mǽran noman abbodes underféhþ hé sceal mid twyfealdre láre ða wyldan and týn ðe him underþeódde synt cum aliquis suscipit nomen abbatis dupplici debet doctrina suis preesse discipulis, R. Ben. 11. 12. Hé scole gesette in ðære cneohtas tydde and lǽrde wǽron instituit scholam in qua pueri literis erudirentur, Bd. 3, 18; S. 545, 45. v. ge-týan, -týdan (in each case read -týn), and teón, III. 1."
30532,tēam,"team of draft oxen, birth, offspring",29635,teám,A line,"A line; but the word which is used in the related dialects (v. infra) with a physical meaning is used in English figuratively. I. a line of descendants, offspring, progeny, family, children :-- Nán wen ne wífaþ, ne wíf ne ceorlaþ, ne teám ne biþ getýmed children are not brought forth, Homl. Th. i. 238, 1. Seó gelaþung is úre ealra módor ... hire teám nis ná líchamlíc ac gástlíc, 492, 8: Homl. Skt. i. 20, 9. Wuenumon and hire teám, Moruiw and hire teám and Wurgustel and his teám wuárun gefreód ... Marh gefreóde Leðelt and ealle hire teám, Chart. Th. 626, 22-37. Ðæs teámes wæs tuddor gefylled unlytel dǽl eorðan gesceafta, Cd. Th. 97, 15; Gen. 1613. Berende in teáme fecunda in sobole, Rtl. 110, 7. Hé Noe bearh and his wífe and his teáme, Gen. 5, 31 note: Homl. Skt. i. 8, 18. Caines ofspring forwearð ádrenced on ðam deópan flóde ... and of ðam yfelan teáme ne com nán þing siððan, Ælfc. T. Grn. 3, 27. Séd ł teám semen, Mk. Skt. Lind. 12, 21, 22. Ðæt folc týmde micelne teám on ðam wéstene, Homl. Th. ii. 212, 17. Teám gestrýnan, 324, 11. Ðreó wíteþeówe men mé salde bisceop and hire teám, Chart. Th. 152, 22. Fyllaþ eówre fromcynne foldan sceátas, teámum and túdre, Cd. Th. 92, 27; Gen. 1535. ¶ of animals :-- Beón týmaþ heora teám mid clǽnnysse, Homl. Th. ii. 10, 17. [Weóx swa Adames team her, ne mahte hit na mon tellen, Jul. 61, 7. Drauh togedere al þene team under þe moder, A. R. 336, 15. Wurrþenn wiþþ childe, and tæmenn hire tæm, Orm. 2415. Ys foure sones ... Þys was a stalwarde tem, R. Glouc. 261, 4.] I a. bringing forth children, child-bearing :-- Ðonne wíf byþ teámes ætealdod, Homl. Ass. 20, 159. His wíf wearð mid Esau and Iacob, and heó geswác ðá teámes, 38, 339. [Weren boðe (John's parents) teames ateald, O. E. Homl. ii. 133, 32.] II. a line of animals harnessed together, a team :-- Oxa on ðam forman teáme (cf. oxa on frumteáme imus, ii. 48, 36) imus, on ðam æfteran teáme binus (bimus), Wrt. Voc. i. 23, 47, 48. On ðæm æftran teáme bimus, ii. 12, 70. v. feoþer-tíme, iuc-tíma, ge-týme. The old pictures represent the plough as drawn by two pairs of oxen one behind the other. Cf. My plowman ... a teme (teome, MS. C.) shal he haue. Grace gaue Piers a teme, foure gret oxen, Piers P. B. 19, 256. III. as a legal term, (1) vouching to warranty. The word denotes one step in the proceedings of a suit for the recovery of property, which was found in one man's possession and claimed by another, who alleged that it had been stolen or had strayed from him. The peculiar character of the process to which it refers was determined by the formalities insisted upon by the law when property changed hands. At such a transaction the presence of witnesses was necessary (L. Ed. 1; Th. i. 158, 11: L. Edg. H. 4; Th. i. 258, 22: L. Edm. C. 5; Th. i. 253, 8: L. C. S. 23; Th. i. 388, 21: 24; Th. i. 390, 4), and one responsible person (geteáma), who according to Ine's laws must not be a þeów man (L. In. 47; Th. i. 132, 5), was to be fixed upon as representing the party that made the sale or transfer, and to him, if a question subsequently arose as to ownership, the new owner might refer (tíman) in support of his right; this referring the property to the party who had sold it was teám. In cases of undivided ownership the geteáma would be the person making the sale; in cases of joint ownership one of the parties would be taken. The proceedings in a suit in which teám was resorted to seem to have been somewhat as follows. The plaintiff, who made claim to property on the plea that it had been stolen from him, had to give security that he would carry on his case: Warige hine, se ðe his ágen befóþ, ðæt hé tó ǽlcan teáme hæbbe getrýwne borh, L. Eth. ii. 9; Th. i. 290, 6: Wil. I. 21; Th. i. 477, 11; the defendant had to declare how the property came into his hands, and to give security that he would produce his geteáma in court: Gif hwá befó ðæt him losod wæs, cenne se ðe hé hit æt befó hwanon hit him cóme, sylle on hand and sette borh (pledge himself and find security) ðæt hé bringe his geteáman in ðǽr hit besprecen biþ, L. Eth. ii. 8; Th. i. 288, 15. On the case being brought into court (which was to be held in cynges sele, L. H. E. 7; Th. i. 30, 18: 16; Th. i. 34, 7, or kyninges burh: ǽlc teám beó on ðæs kyninges byrig; L. Eth. iii. 6; Th. i. 296, 4), the plaintiff made oath, that he prosecuted his suit lawfully and fairly, L. O. 2; Th. i. 178, 10, and without malice, 4; Th. i. 180, 8; the defendant on his side made oath that he had had no part in the alleged robbery, but had acquired the property in a lawful manner, 3; Th. i. 178, 16, and was guiltless, 5; Th. i. 180, 14. He was now bound to produce witnesses of the transaction which resulted in his acquiring the property in dispute, or teám was denied him: Búton hé ðara óðer (certain witness) hæbbe, nele him mon nǽnne teám geþafian, L. Edg. H. 4; Th. i. 260, 2. Ne beó ǽnig man ǽniges teámes wyrðe búton hé getrýwe gewitnysse hæbbe, L. C. S. 23; Th. i. 388, 20. Ne beó ðǽr nán teám, 24; Th. i. 390, 6. If the witness was forthcoming, the geteáma had to be produced, and witness or oath again was called for to prove that the defendant's proceedings were correct: Wé cwǽdon, se ðe týman scolde, ðæt hé hæfde ungeligene gewitnesse ðæs ðæt hé hit on riht týmde, oþþe ðone áð funde ðe se gelýfan mihte ðe on sprece, L. Ed. 1; Th. i. 158, 16. If the geteáma, though living, were not brought, according to one regulation the defendant lost his case, and had to resign the property, L. H. E. 7; Th. i. 30, 9; according to another, if he could bring witness to prove the sale, he received the price of the property he had to give up, 16; Th. i. 34, 8. If the geteáma were dead other formalities were prescribed, L. In. 53; Th. i. 134, 17: L. Eth. ii. 9; Th. i. 290, 9. If all the requirements had been satisfied the property in question was handed over to the geteáma: Se ðe yrfe bycge on gewitnesse, and hit eft týman scyle, ðonne onfó se his ðe hé hit ǽr æt bohte, L. Ath. i. 24; Th. i. 212, 12. Swá ic hit týme swá hit mé se sealde ðe ic hit nú on hand sette, L. O. 3; Th. i. 180, 3: L. Eth. ii. 8; Th. i. 288, 20; and the defendant thereupon appealed to the geteáma to corroborate his statement of the case, 21. If the latter accepted the property, the former was cleared, and the geteáma himself was now in a similar position to that in which the defendant had stood, 22; but if he declined to receive it, and declared that it was not the property he had sold, then the defendant had to prove that it was: Gif se mon (the geteáma) onfón ne wille, and sægþ ðæt hé him nǽfre ðæt (the property) ne sealde, ac sealde óðer, ðonne mót se gecýðan, se ðe hit tiémþ, ðæt hé him nán óðer ne sealde búton ðæt ilce, L. In. 75; Th. i. 150, 7: cf. 35; Th. i. 124, 10. If however the case were not stopped, the process, in earlier times, was repeated until either there was a failure to produce a geteáma (v. teámbyrst), or the property was traced to some person whose right to its possession was undoubted: Gange se teám forð óþþæt man wire hwǽr hé óðstande, L. Ed. 1; Th. i. 158, 15: L. Eth. ii. 9; Th. i. 290, 3. Betweox teáme gif hwá tó féhþ, and ná furðor teám ne cenþ, ac ágnian wile, ne mæg mon ðæs wyrnan, gif getrýwe gewitnes him tó ágenunge rýmþ, 290, 18. Later teám was necessary only three times: Týme hit man þrywa, æt ðam feórðan cyrre ágnige hit, oððe ágyfe ðam ðe hit áge, L. C. S. 24; Th. i. 390, 9. At one time also a change was made in the place where teám should be made: Be teámum. Hwílon stód ðæt man sceolde þrywa týman ðǽr hit ǽrest befangen wǽre, and syþþan fylgean teáme swá hwǽr swá man tó cende. Ðá gerǽddan witan, ðæt hit betere wǽre, ðæt man ǽure týmde ðǽr hit ǽrest befangen wǽre ... ðý læs ðe mon unmihtigne man tó feor and tó lange for his ágenan swencte, L. Eth. ii. 9; Th. i. 288, 28. A case in which a defendant is cleared by his geteáma, who, however, cannot get himself cleared, is given Chart. Th. 206, 19 sqq. A woman had been stolen, and was found in the possession of one Wulfstan. Ðá týmde Wulfstán hine (the woman) tó Æðelstáne; ðá cende hé tém and lét ðone forberstan. v. teám-byrst. Another case is mentioned where a bishop was not allowed teám: Ne móste se bisceop beón ðara þreora nánes wyrðe ðe eallum leódscipe geseald wæs on wedde, tale, ne teámes, ne áhnunga, 266, 11. (2) The word also occurs often in charters along with sac, sóc, toll, etc., where according to one definition it refers to the right to the forfeitures which were made in the suits where teám was resorted to: Theam, quod si aliquis aliquid interciebatur super aliquem, et ipse non poterat warrantum suum habere, erit forisfactura, et justicia sinuliter de calumpniatore, si deficiebat, sua erit, L. Ed. C. 22; Th. i. 452, 1. Donavi abbati ... consnetudinem que dicitur teames, Chart. Th. 405, 1. v. teám-byrst. A different meaning is given elsewhere to the word. In Cod. Dip. Kmbl. iv. 202, 7 teám occurs, and in the Latin form of the charter is rendered by 'privilegium habendi totam suorum seruorum propaginem,' 203, 6. [O. Frs. tám a bridle; a line of descendants, progeny, family: O. L. Ger. tóm frenum: Du. toom: O. H. Ger. zoum funis, habena; Icel. taumr bridle, rein, cord.] v. bearn-, frum- (v. II above), here-, leger-teám; tíman."
