lang,lex_ref_link_id,reflex,reflex_normalized,lemma_id,lemma,lemma_normalized
ON,91,beita,beita,2971,beita,beita
ON,873,trega,trega,25802,trega,trega
ON,1308,drap,drap,5257,drap,drap
ON,1324,draga,draga,5215,draga,draga
ON,1337,drífa,drífa,5361,drífa,drífa
ON,1766,klífa,klífa,14578,klífa,klífa
ON,1784,klyfja,klyfja,14627,klyfja,klyfja
ON,1831,gat,gat,9226,gat,gat
ON,1835,geta,geta,9410,geta,geta
ON,2043,koma,koma,14778,koma,koma
ON,2079,kveðja,kveðja,15159,kveðja,kveðja
ON,2679,ók,ók,19349,ók,ók
ON,2898,auka,auka,1686,auka,auka
ON,2919,ausa,ausa,1736,ausa,ausa
ON,4066,hníta,hníta,12193,hníta,hníta
ON,4423,hverfa,hverfa,13087,hverfa,hverfa
ON,4425,horfa,horfa,12268,horfa,horfa
ON,4428,hverfa,hverfa,13087,hverfa,hverfa
ON,4771,laut,laut,15883,laut,laut
ON,5476,fat,fat,7125,fat,fat
ON,5854,flá,flá,7913,flá,flá
ON,6108,reiða,reiða,20230,reiða,reiða
ON,6143,rífa,rífa,20539,rífa,rífa
ON,6235,rauf,rauf,20061,rauf,rauf
ON,6927,skreppa,skreppa,22689,skreppa,skreppa
ON,7016,hrøkkva,hrøkkva,12732,hrøkkva,hrøkkva
ON,7065,sløngva,sløngva,23121,sløngva,sløngva
ON,7240,spenna,spenna,23687,spenna,spenna
ON,7282,spretta,spretta,23761,spretta,spretta
ON,7385,þekja,þekja,26326,þekja,þekja
ON,7694,svelta,svelta,24826,svelta,svelta
ON,7774,taka,taka,25246,taka,taka
ON,7795,þá,þá,26289,þá,þá
ON,8071,þerra,þerra,26351,þerra,þerra
ON,8420,vá,vá,29086,vá,vá
ON,8559,vá,vá,29083,vá,vá
ON,8655,velta,velta,29459,velta,velta
ON,8732,venja,venja,29468,venja,venja
ON,9126,beit,beit,2969,beit,beit
ON,9129,beit,beit,2966,beit,beit
ON,9614,brýnn,brýnn,4415,brýnn,brýnn
