lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
4,abbindi,\N,main,[abːindi],n.,n.,"<div class=""oldnorse bodytext""><i>constipation</i>.</div>",constipation.,constipation
13,aðalhenda,\N,main,[aðalhɛnda],n.,f.,"<div class=""oldnorse bodytext"">= alhenda.</div>",= alhenda.,\N
30,aðrir,\N,main,[aðrir],\N,\N,"<div class=""oldnorse bodytext"">from annarr, <i>other</i>.</div>","from annarr, other.",other
31,öðrum,\N,main,[œðrum],\N,\N,"<div class=""oldnorse bodytext"">from annarr, <i>other</i>.</div>","from annarr, other.",other
40,afarúðigr,\N,main,[avaruːðiɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>overbearing</i>.</div>",overbearing.,overbearing
47,afbragðligr,\N,main,[avbraɣðliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>surpassing</i>.</div>",surpassing.,surpassing
49,afbrigð,\N,main,[avbriɣð],n.,n.,"<div class=""oldnorse bodytext"">deviation, transgression.</div>","deviation, transgression.",\N
134,afkvæmismaðr,\N,main,[afkvɛːmismaðr],n.,m.,"<div class=""oldnorse bodytext""><i>descendant</i>.</div>",descendant.,descendant
137,afkynjast,\N,main,[afkynjast],v. refl. ,\N,"<div class=""oldnorse bodytext"">(að), <i>to degenerate</i>.</div>","(að), to degenerate.",to degenerate
143,aflaga,\N,main,[avlaɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>unlawfully</i>.</div>",unlawfully.,unlawfully
147,aflamaðr,\N,main,[avlamaðr],n.,m.,"<div class=""oldnorse bodytext""><i>powerful man</i>.</div>",powerful man.,powerful man
179,afllítill,\N,main,[avlːiːtilː],a. ,\N,"<div class=""oldnorse bodytext""><i>weak, feeble</i>.</div>","weak, feeble.","weak, feeble"
199,afneitan,\N,main,[avnɛitan],n.,f.,"<div class=""oldnorse bodytext""><i>abnegation, renunciation, denial</i>.</div>","abnegation, renunciation, denial.","abnegation, renunciation, denial"
226,afsakan,\N,main,[afsakan],n.,f.,"<div class=""oldnorse bodytext""><i>excuse, exculpation</i>.</div>","excuse, exculpation.","excuse, exculpation"
242,afskiptinn,\N,main,[afskiptinː],a. ,\N,"<div class=""oldnorse bodytext""><i>meddlesome</i>.</div>",meddlesome.,meddlesome
286,afvegar,\N,main,[avvɛɣar],adv.,\N,"<div class=""oldnorse bodytext"">= afvega.</div>",= afvega.,\N
304,agasamligr,\N,main,[aɣasamliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>unruly</i>.</div>",unruly.,unruly
305,róstusamligr,\N,main,[roːstusamliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>unruly</i>.</div>",unruly.,unruly
329,akragerði,\N,main,[akraɣɛrði],n.,n.,"<div class=""oldnorse bodytext""><i>enclosure of arable land</i>.</div>",enclosure of arable land.,enclosure of arable land
368,alblindr,\N,main,[alblindr],a. ,\N,"<div class=""oldnorse bodytext""><i>stone-blind</i>.</div>",stone-blind.,stone-blind
382,aldarfaðir,\N,main,[aldarvaðir],n.,m.,"<div class=""oldnorse bodytext""><i>patriarch</i>.</div>",patriarch.,patriarch
414,aldrlok,\N,main,[aldrlɔk],n.,n.,"<div class=""oldnorse bodytext"">pl. <i>end of life, death</i>.</div>","pl. end of life, death.","end of life, death"
423,aldrtjón,\N,main,[aldrtjoːn],n.,n.,"<div class=""oldnorse bodytext""><i>loss of life</i>.</div>",loss of life.,loss of life
