lang,lex_ref_link_id,reflex,reflex_normalized,lemma_id,lemma,lemma_normalized
ON,9711,búð,búð,4517,búð,búð
ON,9711,búð,búð,4518,búð,búð
ON,9819,ból,ból,3840,ból,ból
ON,9819,ból,ból,4798,böl,böl
ON,10380,tá,tá,25306,tá,tá
ON,10380,tá,tá,25307,tá,tá
ON,10630,stóð,stóð,24135,stoð,stoð
ON,10630,stóð,stóð,24165,stóð,stóð
ON,10630,stóð,stóð,24166,stóð,stóð
ON,10630,stóð,stóð,24487,stöð,stöð
ON,11059,dýrr,dýrr,5609,dyrr,dyrr
ON,11059,dýrr,dýrr,5661,dýrr,dýrr
ON,11246,kyn,kyn,15350,kyn,kyn
ON,11246,kyn,kyn,15351,kyn,kyn
ON,11755,kviðr,kviðr,15278,kviðr,kviðr
ON,11755,kviðr,kviðr,15279,kviðr,kviðr
ON,12145,tǫnn,tǫnn,25761,tónn,tónn
ON,12145,tǫnn,tǫnn,26175,tönn,tönn
ON,12146,teðr,teðr,25267,teðr,teðr
ON,12146,teðr,teðr,25347,téðr,téðr
ON,12159,át,át,1375,at,at
ON,12159,át,át,1376,at,at
ON,12159,át,át,1377,at,at
ON,12159,át,át,1378,at,at
ON,12159,át,át,1379,at,at
ON,12159,át,át,1380,at,at
ON,12159,át,át,2368,át,át
ON,12159,át,át,2369,át,át
ON,12165,áta,áta,1381,ata,ata
ON,12165,áta,áta,2370,áta,áta
ON,12350,víðr,víðr,29777,viðr,viðr
ON,12350,víðr,víðr,29778,viðr,viðr
ON,12350,víðr,víðr,29779,viðr,viðr
ON,12350,víðr,víðr,30196,víðr,víðr
ON,12474,sannr,sannr,21140,sannr,sannr
ON,12474,sannr,sannr,21141,sannr,sannr
ON,12475,saðr,saðr,20808,saðr,saðr
ON,12475,saðr,saðr,20809,saðr,saðr
ON,12500,syn,syn,24971,syn,syn
ON,12500,syn,syn,25018,sýn,sýn
ON,12554,sykn,sykn,24963,sykn,sykn
ON,12554,sykn,sykn,24964,sykn,sykn
