lang,lex_ref_link_id,reflex,reflex_normalized,lemma_id,lemma,lemma_normalized
"ON","91","beita","beita","2970","beita","beita"
"ON","91","beita","beita","2971","beita","beita"
"ON","110","beið","beið","2914","beið","beið"
"ON","139","belgja","belgja","3001","belgja","belgja"
"ON","142","bylja","bylja","4670","bylja","bylja"
"ON","143","belja","belja","3003","belja","belja"
"ON","222","byrgja","byrgja","4692","byrgja","byrgja"
"ON","232","berja","berja","3066","berja","berja"
"ON","260","bjóða","bjóða","3311","bjóða","bjóða"
"ON","327","beygja","beygja","3106","beygja","beygja"
"ON","363","blekkja","blekkja","3422","blekkja","blekkja"
"ON","389","blanda","blanda","3346","blanda","blanda"
"ON","389","blanda","blanda","3347","blanda","blanda"
"ON","389","blanda","blanda","3348","blanda","blanda"
"ON","480","brjóta","brjóta","4189","brjóta","brjóta"
"ON","519","byggva","byggva","4666","byggva","byggva"
"ON","533","bjó","bjó","3308","bjó","bjó"
"ON","768","tengja","tengja","25380","tengja","tengja"
"ON","861","teygja","teygja","25392","teygja","teygja"
"ON","873","trega","trega","25801","trega","trega"
"ON","873","trega","trega","25802","trega","trega"
"ON","1229","deyja","deyja","5070","deyja","deyja"
"ON","1259","dýja","dýja","5615","dýja","dýja"
"ON","1304","drepa","drepa","5337","drepa","drepa"
"ON","1308","drap","drap","5257","drap","drap"
"ON","1308","drap","drap","5285","dráp","dráp"
"ON","1324","draga","draga","5215","draga","draga"
"ON","1324","draga","draga","5216","draga","draga"
"ON","1337","drífa","drífa","5361","drífa","drífa"
"ON","1337","drífa","drífa","5362","drífa","drífa"
"ON","1340","dríta","dríta","5365","dríta","dríta"
"ON","1341","dreita","dreita","5306","dreita","dreita"
"ON","1350","drjúpa","drjúpa","5376","drjúpa","drjúpa"
"ON","1351","dreypa","dreypa","5346","dreypa","dreypa"
"ON","1380","dynja","dynja","5599","dynja","dynja"
"ON","1381","dynja","dynja","5599","dynja","dynja"
"ON","1493","kaus","kaus","14264","kaus","kaus"
"ON","1504","kjósa","kjósa","14484","kjósa","kjósa"
"ON","1576","gína","gína","9510","gína","gína"
"ON","1766","klífa","klífa","14572","klifa","klifa"
"ON","1766","klífa","klífa","14578","klífa","klífa"
"ON","1773","klína","klína","14581","klína","klína"
"ON","1784","klyfja","klyfja","14626","klyfja","klyfja"
"ON","1784","klyfja","klyfja","14627","klyfja","klyfja"
"ON","1831","gat","gat","9225","gat","gat"
"ON","1831","gat","gat","9226","gat","gat"
"ON","1835","geta","geta","9410","geta","geta"
"ON","1835","geta","geta","9411","geta","geta"
"ON","1869","galt","galt","9148","galt","galt"
"ON","1872","gyrða","gyrða","10363","gyrða","gyrða"
"ON","1979","kefja","kefja","14290","kefja","kefja"
"ON","2043","koma","koma","14778","koma","koma"
"ON","2043","koma","koma","14779","koma","koma"
"ON","2079","kveðja","kveðja","15159","kveðja","kveðja"
"ON","2079","kveðja","kveðja","15160","kveðja","kveðja"
"ON","2223","erta","erta","6681","erta","erta"
"ON","2619","róa","róa","20611","róa","róa"
"ON","2670","aka","aka","318","aka","aka"
"ON","2679","ók","ók","19045","ok","ok"
"ON","2679","ók","ók","19046","ok","ok"
"ON","2679","ók","ók","19349","ók","ók"
"ON","2750","ala","ala","364","ala","ala"
"ON","2898","auka","auka","1686","auka","auka"
"ON","2898","auka","auka","1687","auka","auka"
"ON","2919","ausa","ausa","1736","ausa","ausa"
"ON","2919","ausa","ausa","1737","ausa","ausa"
"ON","3240","míga","míga","17903","míga","míga"
"ON","3556","hengja","hengja","11460","hengja","hengja"
"ON","3805","hǫfundr","hǫfundr","13424","höfundr","höfundr"
"ON","3834","hjó","hjó","11912","hjó","hjó"
