lang,lex_ref_link_id,reflex,reflex_normalized
ON,1280,"dvena sw.","dvena sw."
ON,1282,"dvína sw.","dvína sw."
ON,1305,treffan,treffan
ON,1640,giósa,giósa
ON,1924,grǿta,grǿta
ON,1941,greipa,greipa
ON,1980,kǿfa,kǿfa
ON,1995,kvelia,kvelia
ON,2622,rera,rera
ON,2745,ę́ja,ę́ja
ON,3021,rǿkja,rǿkja
ON,3252,unnum,unnum
ON,3395,άsa,άsa
ON,3873,hǿla,hǿla
ON,3885,hemja,hemja
ON,3978,hjúfa,hjúfa
ON,4097,hreifa,hreifa
ON,4657,leig(j)a,leig(j)a
ON,5432,nǿra,nǿra
ON,5612,fǿgja,fǿgja
ON,5689,fǿra,fǿra
ON,5712,frat,frat
ON,5809,feyja,feyja
ON,5928,fliúga,fliúga
ON,6006,friósa,friósa
ON,7120,smiúga,smiúga
ON,7165,snàr,snàr
ON,7285,spreta,spreta
ON,7327,"sperna, sporna","sperna, sporna"
ON,7625,þrefa,þrefa
ON,7673,"sýkva, svíkja","sýkva, svíkja"
ON,7688,svall,svall
ON,7725,sǿfa,sǿfa
ON,7769,tók,tók
ON,8179,hnøggva,hnøggva
ON,8649,olla,olla
ON,8963,reigjask,reigjask
ON,9128,birt,birt
ON,9426,Borgund,Borgund
ON,9503,bjóðr,bjóðr
ON,9543,bróður,bróður
ON,9839,bǿr,bǿr
ON,10097,"í gǽr","í gǽr"
ON,10098,"í gǽr","í gǽr"
ON,10099,"í gjár","í gjár"
ON,10100,"í gjár","í gjár"
ON,10101,gjárdagr,gjárdagr
ON,10102,gjárdagr,gjárdagr
ON,10103,gjárkveld,gjárkveld
ON,10104,gjárkveld,gjárkveld
ON,10311,Tý,Tý
ON,10312,Týs,Týs
ON,10313,Tífi,Tífi
ON,10314,tífar,tífar
ON,10992,dǿtr,dǿtr
ON,11173,kníar,kníar
ON,11290,kundr,kundr
ON,11291,troll-kunder,trollkunder
ON,11414,kúðr,kúðr
ON,11474,gó-mánađr,gómánađr
ON,11626,sam-kund,samkund
ON,12149,êsts,êsts
ON,12363,ἵππειος,ἵππειος
ON,12603,lunga,lunga
ON,12614,lýðir,lýðir
ON,13122,œre,œre
ON,13123,ǿre,ǿre
ON,13131,euun,euun
ON,14190,øxna,øxna
ON,14191,yxnum,yxnum
ON,14192,øxnum,øxnum
ON,14656,geoc,geoc
ON,15008,hlør,hlør
ON,15158,herjann,herjann
ON,15305,leif,leif
ON,15358,móþer,móþer
ON,15748,milta,milta
ON,15749,mjalti,mjalti
ON,15988,njól,njól
ON,16153,nór,nór
ON,16207,nefi,nefi
ON,16746,samfeðra,samfeðra
ON,16980,røk(k)r,røk(k)r
ON,17090,roðmi,roðmi
ON,17391,siǫtull,siǫtull
ON,17398,sæte,sæte
ON,17735,auð-skæfr,auðskæfr
ON,17741,smjǫrr,smjǫrr
ON,17769,snjór/snær,snjór/snær
ON,17800,snor,snor
ON,18124,stoþ,stoþ
ON,18125,stuþ,stuþ
ON,18396,stálmi,stálmi
ON,18714,sonar,sonar
ON,18715,syner,syner
ON,18772,þund,þund
ON,18778,þind,þind
ON,19241,verre,verre
ON,19587,ǫll,ǫll
ON,19701,ōa-sk,ōask
ON,19703,ægja,ægja
ON,19952,eikenn,eikenn
ON,20011,īkorne,īkorne
ON,20620,alla,alla
ON,20820,ǫlpt,ǫlpt
ON,21027,bāðer,bāðer
ON,21081,Āli,Āli
ON,21481,ǫngoll,ǫngoll
ON,21487,ōll,ōll
