lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss,sense_id,h_num,parent_h_num
1,a,\N,main,[a],\N,\N,"<div class=""oldnorse bodytext"">a negative suffix to verbs, <i>not</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">era útmakligt, <i>at it is not unmeet that</i>.</div>","a negative suffix to verbs, not;\nera útmakligt, at it is not unmeet that.",not,\N,\N,\N
2,abbadis,\N,main,[abːadis],n.,f.,"<div class=""oldnorse bodytext"">(<span class=""p"">pl.</span> -ar),  <span class=""p"">f.</span><i>abbess</i>.</div>","(pl. -ar),  f. abbess.",abbess,\N,\N,\N
3,abbast,\N,main,[abːast],v. refl.,\N,"<div class=""oldnorse bodytext"">(að),  <i>to be angry, to quarrel</i> (~ við <span class=""p"">e-n</span>, upp á <span class=""p"">e-n</span>).</div>","(að),  to be angry, to quarrel (~ við e-n, upp á e-n).","to be angry, to quarrel",\N,\N,\N
4,abbindi,\N,main,[abːindi],\N,\N,\N,\N,\N,\N,\N,\N
5,afbindi,\N,main,[avbindi],n.,n.,"<div class=""oldnorse bodytext""><i>constipation</i>.</div>", constipation.,constipation,\N,\N,\N
6,aðal,\N,main,[aðal],n.,n.,"<div class=""oldnorse bodytext""><i>nature, disposition</i>.</div>"," nature, disposition.","nature, disposition",\N,\N,\N
7,aðalakkeri,\N,main,[aðalakːɛri],n.,n.,"<div class=""oldnorse bodytext""><i>sheet-anchor</i>.</div>", sheet-anchor.,sheet-anchor,\N,\N,\N
8,aðalborinn,\N,main,[aðalbɔrinː],pp.,\N,"<div class=""oldnorse bodytext""><i>of noble birth</i>, = <span class=""ref"">óðalborinn</span>.</div>"," of noble birth, = óðalborinn.",of noble birth,\N,\N,\N
9,aðalból,\N,main,[aðalboːl],n.,n.,"<div class=""oldnorse bodytext""><i>manor</i>.</div>", manor.,manor,\N,\N,\N
10,aðalfestr,\N,main,[aðalvɛstr],n.,f.,"<div class=""oldnorse bodytext"">see<span class=""ref"">alaðsfestr</span>.</div>", see alaðsfestr., see alaðsfestr.,\N,\N,\N
11,aðalfylking,\N,main,[aðalvylkinɣ],n.,f.,"<div class=""oldnorse bodytext""><i>the main body of troops, centre</i>.</div>"," the main body of troops, centre.","the main body of troops, centre",\N,\N,\N
12,aðalhaf,\N,main,[aðalhav],n.,n.,"<div class=""oldnorse bodytext""><i>the high sea</i>.</div>", the high sea.,the high sea,\N,\N,\N
13,aðalhenda,\N,main,[aðalhɛnda],\N,\N,\N,\N,\N,\N,\N,\N
14,alhending,\N,main,[alhɛndinɣ],n.,f.,"<div class=""oldnorse bodytext""> = <span class=""ref"">alhenda</span>.</div>", = alhenda., = alhenda.,\N,\N,\N
