,count
"(0.346, 1.438]",7
"(1.438, 2.43]",15
"(2.43, 3.422]",27
"(3.422, 4.415]",37
"(4.415, 5.407]",41
"(5.407, 6.399]",52
"(6.399, 7.391]",59
"(7.391, 8.383]",72
"(8.383, 9.375]",90
"(9.375, 10.367]",118
"(10.367, 11.359]",117
"(11.359, 12.351]",109
"(12.351, 13.343]",135
"(13.343, 14.335]",153
"(14.335, 15.327]",153
"(15.327, 16.319]",168
"(16.319, 17.311]",156
"(17.311, 18.303]",157
"(18.303, 19.295]",175
"(19.295, 20.287]",142
"(20.287, 21.279]",164
"(21.279, 22.271]",142
"(22.271, 23.263]",126
"(23.263, 24.255]",110
"(24.255, 25.247]",99
"(25.247, 26.239]",83
"(26.239, 27.231]",87
"(27.231, 28.223]",84
"(28.223, 29.215]",77
"(29.215, 30.207]",84
"(30.207, 31.199]",77
"(31.199, 32.191]",98
"(32.191, 33.183]",74
"(33.183, 34.175]",80
"(34.175, 35.167]",79
"(35.167, 36.159]",79
"(36.159, 37.151]",83
"(37.151, 38.143]",87
"(38.143, 39.135]",94
"(39.135, 40.127]",91
"(40.127, 41.119]",83
"(41.119, 42.111]",96
"(42.111, 43.103]",101
"(43.103, 44.095]",103
"(44.095, 45.087]",79
"(45.087, 46.079]",77
"(46.079, 47.071]",95
"(47.071, 48.063]",105
"(48.063, 49.055]",98
"(49.055, 50.047]",220
"(50.047, 51.039]",127
"(51.039, 52.032]",173
"(52.032, 53.024]",152
"(53.024, 54.016]",166
"(54.016, 55.008]",194
"(55.008, 56.0]",151
"(56.0, 56.992]",159
"(56.992, 57.984]",129
"(57.984, 58.976]",127
"(58.976, 59.968]",120
"(59.968, 60.96]",146
"(60.96, 61.952]",98
"(61.952, 62.944]",89
"(62.944, 63.936]",93
"(63.936, 64.928]",117
"(64.928, 65.92]",92
"(65.92, 66.912]",83
"(66.912, 67.904]",98
"(67.904, 68.896]",117
"(68.896, 69.888]",131
"(69.888, 70.88]",113
"(70.88, 71.872]",137
"(71.872, 72.864]",116
"(72.864, 73.856]",131
"(73.856, 74.848]",146
"(74.848, 75.84]",122
"(75.84, 76.832]",136
"(76.832, 77.824]",102
"(77.824, 78.816]",104
"(78.816, 79.808]",136
"(79.808, 80.8]",97
"(80.8, 81.792]",101
"(81.792, 82.784]",98
"(82.784, 83.776]",128
"(83.776, 84.768]",152
"(84.768, 85.76]",189
"(85.76, 86.752]",186
"(86.752, 87.744]",265
"(87.744, 88.736]",275
"(88.736, 89.728]",308
"(89.728, 90.72]",349
"(90.72, 91.712]",331
"(91.712, 92.704]",332
"(92.704, 93.696]",291
"(93.696, 94.688]",304
"(94.688, 95.68]",291
"(95.68, 96.672]",242
"(96.672, 97.664]",156
"(97.664, 98.656]",86
"(98.656, 99.649]",30
