lex_ref_link_id,orig_word_id,reflex,gloss_eng,master_lemma,master_entry_str,new_word_id
21714,7280,antarīpa-,island,"antara (अन्तर)","antara (अन्तर) [cf. Goth. anthar, Thema anthara; Lith. antra-s, ‘the second’; Lat. alter].",NULL
50434,41188,kakubhá-,"protruding, towering","kubja (कुब्ज)","kubja (कुब्ज) [cf. nyubja (न्युब्ज) and kanya-kubja (कन्य-कुब्ज); cf. also Lith. kupra, kupotas; Gk. κυϕός, κύπτω; Lat. gibbus, gibba, gibber.]",NULL
52184,46424,kṣiprá-ḥ,quick,"kṣipra (क्षिप्र)","[cf. Gk. κραιπνός]",NULL
60058,80244,nas-ṓḥ,nose,"nas (नस्)","nas (नस्) [cf. nāsā (नासा), nāsikā (नासिका); Lat. nas-turcium, nāres; Lith. nósis; Slav. nosǔ; Germ. Nase; Angl.Sax. nosu; Eng. nose, nostril = nose-thrill, nose-hole.]",NULL
56348,119573,mádati,"surge, bubble, be merry","mad (मद्)","2. mad (मद्) (cf. √ mand (मन्द्)) cl. 4. P. (Dhātup. xxvi, 99) mādyáti (माद्यति॑) (ep. also °te (°ते); Ved. also cl. 1. P. Ā. madati (मदति), °te (°ते); cl. 3. P. mamattí (ममत्ति), °ttu (°त्तु), mamadát (ममदत्), amámaduḥ (अममदु॑ः); Ved. Impv. matsí (मत्सि), °sva (°स्व); pf. mamādá (ममाद); aor. amādiṣuḥ (अमादिषुः), amatsuḥ (अमत्सुः), amatta (अमत्त); Subj. matsáti (मत्सति), °sat (°सत्); fut. maditā (मदिता), madiṣyati (मदिष्यति) Gr.; Ved. inf. maditos (मदितोस्)), to rejoice, be glad, exult, delight or revel in (instr. gen. loc., rarely acc.), be drunk (also fig.) with (instr.), RV. &amp;c. &amp;c.; to enjoy heavenly bliss (said of gods and deceased ancestors), RV.; TBr.; to boil, bubble (as water), RV.; TS.; ŚBr.; Hariv.; to gladden, exhilarate, intoxicate, animate, inspire, RV. : Caus. mādayáti (मादयति) or madayáti (मदयति), °te (°ते) (Dhātup. xxxiii, 31, xix, 54; aor. amī́madat (अमी॑मदत्) or amamadat (अममदत्); Ved. inf. mādayadhyái (मादयध्यै)), to gladden, delight, satisfy, exhilarate, intoxicate, inflame, inspire, RV. &amp;c. &amp;c.; (Ā.) to be glad, rejoice, be pleased or happy or at ease, RV.; VS.; Kauś.; (Ā.) to enjoy heavenly bliss, RV.; TBr.; BhP. : Desid. mimadiṣati (मिमदिषति) Gr.: Intens. māmadyate (मामद्यते), māmatti (मामत्ति), ib.",NULL
56349,119573,mádate,"surge, bubble, be merry","mad (मद्)","2. mad (मद्) (cf. √ mand (मन्द्)) cl. 4. P. (Dhātup. xxvi, 99) mādyáti (माद्यति॑) (ep. also °te (°ते); Ved. also cl. 1. P. Ā. madati (मदति), °te (°ते); cl. 3. P. mamattí (ममत्ति), °ttu (°त्तु), mamadát (ममदत्), amámaduḥ (अममदु॑ः); Ved. Impv. matsí (मत्सि), °sva (°स्व); pf. mamādá (ममाद); aor. amādiṣuḥ (अमादिषुः), amatsuḥ (अमत्सुः), amatta (अमत्त); Subj. matsáti (मत्सति), °sat (°सत्); fut. maditā (मदिता), madiṣyati (मदिष्यति) Gr.; Ved. inf. maditos (मदितोस्)), to rejoice, be glad, exult, delight or revel in (instr. gen. loc., rarely acc.), be drunk (also fig.) with (instr.), RV. &amp;c. &amp;c.; to enjoy heavenly bliss (said of gods and deceased ancestors), RV.; TBr.; to boil, bubble (as water), RV.; TS.; ŚBr.; Hariv.; to gladden, exhilarate, intoxicate, animate, inspire, RV. : Caus. mādayáti (मादयति) or madayáti (मदयति), °te (°ते) (Dhātup. xxxiii, 31, xix, 54; aor. amī́madat (अमी॑मदत्) or amamadat (अममदत्); Ved. inf. mādayadhyái (मादयध्यै)), to gladden, delight, satisfy, exhilarate, intoxicate, inflame, inspire, RV. &amp;c. &amp;c.; (Ā.) to be glad, rejoice, be pleased or happy or at ease, RV.; VS.; Kauś.; (Ā.) to enjoy heavenly bliss, RV.; TBr.; BhP. : Desid. mimadiṣati (मिमदिषति) Gr.: Intens. māmadyate (मामद्यते), māmatti (मामत्ति), ib.",NULL
56350,119573,mā́dyati,"surge, bubble, be merry","mad (मद्)","2. mad (मद्) (cf. √ mand (मन्द्)) cl. 4. P. (Dhātup. xxvi, 99) mādyáti (माद्यति॑) (ep. also °te (°ते); Ved. also cl. 1. P. Ā. madati (मदति), °te (°ते); cl. 3. P. mamattí (ममत्ति), °ttu (°त्तु), mamadát (ममदत्), amámaduḥ (अममदु॑ः); Ved. Impv. matsí (मत्सि), °sva (°स्व); pf. mamādá (ममाद); aor. amādiṣuḥ (अमादिषुः), amatsuḥ (अमत्सुः), amatta (अमत्त); Subj. matsáti (मत्सति), °sat (°सत्); fut. maditā (मदिता), madiṣyati (मदिष्यति) Gr.; Ved. inf. maditos (मदितोस्)), to rejoice, be glad, exult, delight or revel in (instr. gen. loc., rarely acc.), be drunk (also fig.) with (instr.), RV. &amp;c. &amp;c.; to enjoy heavenly bliss (said of gods and deceased ancestors), RV.; TBr.; to boil, bubble (as water), RV.; TS.; ŚBr.; Hariv.; to gladden, exhilarate, intoxicate, animate, inspire, RV. : Caus. mādayáti (मादयति) or madayáti (मदयति), °te (°ते) (Dhātup. xxxiii, 31, xix, 54; aor. amī́madat (अमी॑मदत्) or amamadat (अममदत्); Ved. inf. mādayadhyái (मादयध्यै)), to gladden, delight, satisfy, exhilarate, intoxicate, inflame, inspire, RV. &amp;c. &amp;c.; (Ā.) to be glad, rejoice, be pleased or happy or at ease, RV.; VS.; Kauś.; (Ā.) to enjoy heavenly bliss, RV.; TBr.; BhP. : Desid. mimadiṣati (मिमदिषति) Gr.: Intens. māmadyate (मामद्यते), māmatti (मामत्ति), ib.",NULL
56351,119573,mamátti,"surge, bubble, be merry","mad (मद्)","2. mad (मद्) (cf. √ mand (मन्द्)) cl. 4. P. (Dhātup. xxvi, 99) mādyáti (माद्यति॑) (ep. also °te (°ते); Ved. also cl. 1. P. Ā. madati (मदति), °te (°ते); cl. 3. P. mamattí (ममत्ति), °ttu (°त्तु), mamadát (ममदत्), amámaduḥ (अममदु॑ः); Ved. Impv. matsí (मत्सि), °sva (°स्व); pf. mamādá (ममाद); aor. amādiṣuḥ (अमादिषुः), amatsuḥ (अमत्सुः), amatta (अमत्त); Subj. matsáti (मत्सति), °sat (°सत्); fut. maditā (मदिता), madiṣyati (मदिष्यति) Gr.; Ved. inf. maditos (मदितोस्)), to rejoice, be glad, exult, delight or revel in (instr. gen. loc., rarely acc.), be drunk (also fig.) with (instr.), RV. &amp;c. &amp;c.; to enjoy heavenly bliss (said of gods and deceased ancestors), RV.; TBr.; to boil, bubble (as water), RV.; TS.; ŚBr.; Hariv.; to gladden, exhilarate, intoxicate, animate, inspire, RV. : Caus. mādayáti (मादयति) or madayáti (मदयति), °te (°ते) (Dhātup. xxxiii, 31, xix, 54; aor. amī́madat (अमी॑मदत्) or amamadat (अममदत्); Ved. inf. mādayadhyái (मादयध्यै)), to gladden, delight, satisfy, exhilarate, intoxicate, inflame, inspire, RV. &amp;c. &amp;c.; (Ā.) to be glad, rejoice, be pleased or happy or at ease, RV.; VS.; Kauś.; (Ā.) to enjoy heavenly bliss, RV.; TBr.; BhP. : Desid. mimadiṣati (मिमदिषति) Gr.: Intens. māmadyate (मामद्यते), māmatti (मामत्ति), ib.",NULL
84335,143453,"vápati ","throws, scatters (the seed)","vap (वप्)","2. vap (वप्) cl. 1. P. Ā. (Dhātup. xxiii, 34) vapáti (वपति), °te (°ते) (Pot. upet (उपेत्), GṛS.; pf. uvāpa (उवाप), ūpuḥ (ऊपुः); ūpe (ऊपे), RV. &amp;c.; vavāpa (ववाप), MBh.; -vepe (-वेपे), Kāś. on Pāṇ. vi, 4, 120; aor. avā (अवा)psIt, Br. &amp;c.;avapta (अवप्त) Gr.; Pot. upyāt (उप्यात्), ib.; fut. vaptā (वप्ता), ib.; vapsyatí (वप्स्यति), Br.; vapiṣyati (वपिष्यति), MBh. &amp;c.; inf. vaptum (वप्तुम्) Gr.; ind.p. uptvā (उप्त्वा), MBh.; -upyá (-उप्य), RV. &amp;c.), to strew, scatter (esp. seed), sow, bestrew, RV. &amp;c. &amp;c.; to throw, cast (dice), ib.; to procreate, beget (see vapus (वपुस्) and 2. vaptṛ (वप्तृ)); to throw or heap up, dam up, AV. : Pass. upyaté (उप्यते) (aor. vāpi (वापि), Br.), to be strewn or sown, RV. &amp;c. &amp;c.: Caus. vāpayati (वापयति) (aor. avīvapat (अवीवपत्) Gr.) to sow, plant, put in the ground, MBh. : Desid. vivapsati (विवप्सति), °te (°ते) Gr.: Intens. vāvapyate (वावप्यते), vāvapti (वावप्ति), ib.",NULL
84343,143453,"vāpayati ",NULL,"vap (वप्)","2. vap (वप्) cl. 1. P. Ā. (Dhātup. xxiii, 34) vapáti (वपति), °te (°ते) (Pot. upet (उपेत्), GṛS.; pf. uvāpa (उवाप), ūpuḥ (ऊपुः); ūpe (ऊपे), RV. &amp;c.; vavāpa (ववाप), MBh.; -vepe (-वेपे), Kāś. on Pāṇ. vi, 4, 120; aor. avā (अवा)psIt, Br. &amp;c.;avapta (अवप्त) Gr.; Pot. upyāt (उप्यात्), ib.; fut. vaptā (वप्ता), ib.; vapsyatí (वप्स्यति), Br.; vapiṣyati (वपिष्यति), MBh. &amp;c.; inf. vaptum (वप्तुम्) Gr.; ind.p. uptvā (उप्त्वा), MBh.; -upyá (-उप्य), RV. &amp;c.), to strew, scatter (esp. seed), sow, bestrew, RV. &amp;c. &amp;c.; to throw, cast (dice), ib.; to procreate, beget (see vapus (वपुस्) and 2. vaptṛ (वप्तृ)); to throw or heap up, dam up, AV. : Pass. upyaté (उप्यते) (aor. vāpi (वापि), Br.), to be strewn or sown, RV. &amp;c. &amp;c.: Caus. vāpayati (वापयति) (aor. avīvapat (अवीवपत्) Gr.) to sow, plant, put in the ground, MBh. : Desid. vivapsati (विवप्सति), °te (°ते) Gr.: Intens. vāvapyate (वावप्यते), vāvapti (वावप्ति), ib.",NULL
