orig_word_id,reflex,gloss_eng,master_lemma,master_entry_str,new_word_id
7280,antarīpa-,island,antara (अन्तर),"antara (अन्तर) [cf. Goth. anthar, Thema anthara; Lith. antra-s, ‘the second’; Lat. alter].",7278
41188,kakubhá-,"protruding, towering",kubja (कुब्ज),"kubja (कुब्ज) [cf. nyubja (न्युब्ज) and kanya-kubja (कन्य-कुब्ज); cf. also Lith. kupra, kupotas; Gk. κυϕός, κύπτω; Lat. gibbus, gibba, gibber.]",41186
46424,kṣiprá-ḥ,quick,kṣipra (क्षिप्र),[cf. Gk. κραιπνός],46418
80244,nas-ṓḥ,nose,nas (नस्),"nas (नस्) [cf. nāsā (नासा), nāsikā (नासिका); Lat. nas-turcium, nāres; Lith. nósis; Slav. nosǔ; Germ. Nase; Angl.Sax. nosu; Eng. nose, nostril = nose-thrill, nose-hole.]",80243
151564,vip-,"rod, switch",vip (विप्),"vip (विप्) [cf. Lat. vibrare; Goth. weiþan; Germ. wîfen, weifen, Wipfel Eng. whiffle.]",151562
195347,sthálā ,"earthwork, embankment",sthalā (स्थला),"(sthalā́ (स्थला)), a heap of artificially raised earth, mound, TS.",195346
300002,asyā́ḥ,NULL,a (अ),"4. a (अ)   the base of some pronouns and pronom. forms, in asya (अस्य), atra (अत्र), &c.",301312
300002,a-,NULL,a (अ),"4. a (अ)   the base of some pronouns and pronom. forms, in asya (अस्य), atra (अत्र), &c.",301312
300060,ándhaḥ,soma plant,andhas (अन्धस्),"2. andhás (अन्धस्)   n. (Gk. ἄνθος), a herb the śoma (शोम) plant śoma (शोम) juice, RV.; VS. juice, ŚBr. grassy ground, RV. vii, 96, 2 food, MBh. iii, 13244; BhP.",7511
300111,ámīti ,"oppressed, assures urgently, swears",am (अम्),"3. am (अम्)   amati (अमति), to go, L.; to go to or towards, L.; to serve or honour, L.; to sound, L.;  (Imper. Ā. 2. sg. amīṣva (अमीष्व); aor. āmīt (आमीत्); cf. abhy-√ am (अभ्य्-√ अम्)) to fix, render firm, TS.;  (perf. p. acc. sg. emuṣam (एमुषम्) for emivāṃsám (एमिवांसम्)) to be pernicious or dangerous, RV. viii, 77, 10 : Caus. āmayáti (आमयति) (impf. āmáyat (आमयत्); aor. Subj. āmamat (आममत्)) to be afflicted or sick, RV.; AV.; VS. (cf. an-āmayat (अन्-आमयत्)).",302535
300111,ámatē ,oppressed,am (अम्),"3. am (अम्)   amati (अमति), to go, L.; to go to or towards, L.; to serve or honour, L.; to sound, L.;  (Imper. Ā. 2. sg. amīṣva (अमीष्व); aor. āmīt (आमीत्); cf. abhy-√ am (अभ्य्-√ अम्)) to fix, render firm, TS.;  (perf. p. acc. sg. emuṣam (एमुषम्) for emivāṃsám (एमिवांसम्)) to be pernicious or dangerous, RV. viii, 77, 10 : Caus. āmayáti (आमयति) (impf. āmáyat (आमयत्); aor. Subj. āmamat (आममत्)) to be afflicted or sick, RV.; AV.; VS. (cf. an-āmayat (अन्-आमयत्)).",302535
300111,āmáyati,"damages; is defective, sick",am (अम्),"3. am (अम्)   amati (अमति), to go, L.; to go to or towards, L.; to serve or honour, L.; to sound, L.;  (Imper. Ā. 2. sg. amīṣva (अमीष्व); aor. āmīt (आमीत्); cf. abhy-√ am (अभ्य्-√ अम्)) to fix, render firm, TS.;  (perf. p. acc. sg. emuṣam (एमुषम्) for emivāṃsám (एमिवांसम्)) to be pernicious or dangerous, RV. viii, 77, 10 : Caus. āmayáti (आमयति) (impf. āmáyat (आमयत्); aor. Subj. āmamat (आममत्)) to be afflicted or sick, RV.; AV.; VS. (cf. an-āmayat (अन्-आमयत्)).",302535
300329,ḗva- ,"course, walk, custom, usage",eva (एव),"2. evá (एव)   mfn. (√ i (इ)), going, moving, speedy, quick, TBr. iii; Uṇ. evá (एव)   (as (अस्)), m. course, way (generally instr. pl.), RV. the earth, world, VS. xv, 4; 5 [Mahīdh.] a horse, RV. i, 158, 3 [Sāy.] evá (एव)   (ās (आस्)), m. pl. way or manner of acting or proceeding, conduct, habit, usage, custom, RV. evá (एव)   m.",32495
300329,ḗva-,manner,eva (एव),"2. evá (एव)   mfn. (√ i (इ)), going, moving, speedy, quick, TBr. iii; Uṇ. evá (एव)   (as (अस्)), m. course, way (generally instr. pl.), RV. the earth, world, VS. xv, 4; 5 [Mahīdh.] a horse, RV. i, 158, 3 [Sāy.] evá (एव)   (ās (आस्)), m. pl. way or manner of acting or proceeding, conduct, habit, usage, custom, RV. evá (एव)   m.",32495
300332,ēṣ̌á-ḥ,"wish, choice",eṣa (एष),"3. eṣá (एष)   mfn. (fr. √ 3. iṣ (इष्)) ifc. seeking, ŚBr. xiii eṣá (एष)   m. the act of seeking or going after, RV. x, 48, 9 (eṣa (एष)), wish, option, RV. i, 180, 4, (cf. svaī (स्वई)za/)",305454
300548,tará-,"crossing over, overcoming",tara (तर),"2. tará (तर)   mfn. (√ tṝ (तॄ); g. pacā (पचा)di) carrying across or beyond, saving (?, said of Śiva (Śइव)), MBh. xii, 10380 ifc. passing over or beyond, W. ‘surpassing, conquering’, see śoka-tara (शोक-तर) cf. rathaṃtara (रथंतर) excelling, w. tará (तर)   m. crossing, passage, RV. ii, 13, 12; viii, 96, 1; Mn. viii, 404 and 407; Yājñ. (ifc.), MBh. xii tará (तर)   m. (a-tara (अ-तर) mfn. ‘impassable’), Bhaṭṭ. vii, 55 (cf. dus- (दुस्-)) tará (तर)   m. ‘excelling, conquering’, see duṣ-ṭará (दुष्-टर), su-tará (सु-तर), dus- (दुस्-) = -paṇya (-पण्य), Mn. viii, 406 a raft, W. a road, L. N. of a magical spell (against evil spirits supposed to possess certain weapons), R. i, 30, 4 fire, W. N. of a man, Rājat. vii, 809",63270
300746,páyatē ,"swells, is turgid, makes swell, be turgid",pī (पी),"2. pī (पी) or pi (पि)   (connected with √ pyai (प्यै)), cl. 1. Ā. payáte (पयते) (cl. 2. Ā. pr.p. piyā́na (पिया॑न) cl. 3. P. Impv. pīpihī (पीपिही); impf. apī́pet (अपी॑पेत्), apī́payat (अपी॑पयत्); Subj. pipyatam (पिप्यतम्), °tām (°ताम्); pīpayat (पीपयत्) Ā. °yanta (°यन्त), p. Ā. pāpyā́na (पाप्या॑न); pf. P. pīpāyá (पीपाय). 2. sg. pīpetha (पीपेथ), 3. pl. pipyur (पिप्युर्); p. Ā. pīpyāna (पीप्यान)), to swell, overflow, be exuberant, abound, increase, grow;  (trans.) to fatten, cause to swell or be exuberant, surfeit, RV.",96084
