index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,0,carmina,noun,carmen,carmin,nsubj,10,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['car', 'mi', 'na']",[karmɪn̪a],1,\N,M1
1,0,qui,pronoun,qui,qui,nsubj,5,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [plural], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['qui'],[kʷɪ],1,\N,M1
2,0,quondam,adposition,quondam,quond,case,3,\N,"{F: [pos], N: [neg], V: [neg]}","['quon', 'dam']",[kʷɔn̪d̪ãː],1,\N,M1
3,0,studio,noun,studium,studi,obl,5,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['stu', 'di', 'o']",[st̪ʊd̪ɪ̣jɔ],1,\N,M1
4,0,florente,verb,floreo,florent,acl,3,"{Aspect: [imperfective], Case: [ablative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['flo', 'ren', 'te']",[flɔrɛn̪t̪ɛ],1,\N,M1
5,0,peregi,verb,perego,pereg,acl:relcl,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pe', 're', 'gi']",[pɛrɛgɪ],1,\N,M1
6,0,",",punctuation,",",",",punct,0,\N,\N,"[',']",\N,1,\N,M1
7,0,flebilis,adjective,flebilis,flebil,xcomp,8,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fle', 'bi', 'lis']",[flɛbɪlɪs],1,\N,M1
8,0,heu,verb,heor,he,advcl,10,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['heu'],[hew],1,\N,M1
9,0,maestos,adjective,maestus,maest,obj,8,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['maes', 'tos']",[majst̪ɔs],1,\N,M1
10,0,cogor,verb,cogor,cogo,root,-1,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['co', 'gor']",[kɔgɔr],1,\N,M1
11,0,inire,verb,ineo,inir,xcomp,10,"{Aspect: [imperfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'i', 're']",[ɪn̪ɪrɛ],1,\N,M1
12,0,modos,noun,modus,mod,obj,11,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['mo', 'dos']",[mɔd̪ɔs],1,\N,M1
13,0,.,punctuation,.,.,punct,10,\N,\N,['.'],\N,1,\N,M1
0,1,ecce,particle,ecce,ecc,discourse,3,{PronominalType: [demonstrative]},{F: [pos]},"['ec', 'ce']",[ɛkkɛ],1,\N,M1
1,1,mihi,pronoun,ego,mih,obl:arg,3,"{Case: [dative], InflClass: [lat_anom], Number: [singular], Person: [first], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['mi', 'hi']",[mɪhɪ],1,\N,M1
2,1,lacerae,noun,lacera,lacer,nsubj,3,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['la', 'ce', 'rae']",[lakɛraj],1,\N,M1
3,1,dictant,verb,dicto,dicta,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['dic', 'tant']",[d̪ɪkt̪an̪t̪],1,\N,M1
4,1,scribenda,verb,scribo,scribend,xcomp,3,"{Aspect: [prospective], Case: [accusative], Gender: [neuter], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['scri', 'ben', 'da']",[skrɪbɛn̪d̪a],1,\N,M1
5,1,Camenae,noun,camena,Camen,nsubj,3,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ca', 'me', 'nae']",[kamɛn̪aj],1,\N,M1
6,1,et,coordinating_conjunction,et,et,cc,8,\N,{F: [pos]},['et'],[ɛt̪],1,\N,M1
7,1,ueris,adjective,uerus,uer,obl:arg,8,"{Case: [dative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'ris']",[wɛrɪs],1,\N,M1
8,1,elegi,verb,eligo,eleg,conj,3,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['e', 'le', 'gi']",[ɛlɛgɪ],1,\N,M1
9,1,fletibus,noun,fletus,flet,obl,8,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_u], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['fle', 'ti', 'bus']",[flɛt̪ɪbʊs],1,\N,M1
10,1,ora,noun,ora,or,obj,11,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['o', 'ra']",[ɔra],1,\N,M1
11,1,rigant,verb,rigo,riga,conj,8,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [subjunctive], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ri', 'gant']",[rɪgan̪t̪],1,\N,M1
12,1,.,punctuation,.,.,punct,3,\N,\N,['.'],\N,1,\N,M1
0,2,has,determiner,hic,h,obj,3,"{Case: [accusative], Gender: [feminine], InflClass: [lat_pron], Number: [plural], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}",['has'],[has],1,\N,M1
1,2,saltem,adverb,saltem,salt,advmod:emph,3,\N,"{F: [neg], N: [pos], V: [pos]}","['sal', 'tem']",[saɫt̪ẽː],1,\N,M1
2,2,nullus,determiner,nullus,null,nsubj,3,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], Polarity: [neg], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['nul', 'lus']",[n̪ʊɫlʊs],1,\N,M1
3,2,potuit,verb,possum,potui,root,-1,"{Aspect: [perfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['po', 'tu', 'it']",[pɔt̪ujt̪],1,\N,M1
4,2,peruincere,verb,peruinco,peruincer,xcomp,3,"{Aspect: [imperfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pe', 'ru', 'in', 'ce', 're']",[pɛrujŋkɛrɛ],1,\N,M1
5,2,terror,noun,terror,terro,nsubj,3,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ter', 'ror']",[t̪ɛrrɔr],1,\N,M1
6,2,",",punctuation,",",",",punct,10,\N,\N,"[',']",\N,1,\N,M1
