index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,0,Christianam,adjective,christianus,Christian,amod,1,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ch', 'ris', 'ti', 'a', 'nam']",[kʰrɪst̪ɪ̣jan̪ãː],\N,\N,1-4
1,0,fidem,noun,fides,fid,obj,6,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_e], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fi', 'dem']",[fɪd̪ẽː],\N,\N,1-4
2,0,noui,adjective,nouus,nou,amod,5,"{Case: [genitive], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['no', 'u', 'i']",[n̪ɔwɪ],\N,\N,1-4
3,0,ac,coordinating_conjunction,atque,ac,cc,4,\N,{F: [pos]},['ac'],[ak],\N,\N,1-4
4,0,ueteris,adjective,uetus,ueter,conj,2,"{Case: [genitive], Degree: [comparative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'te', 'ris']",[wɛt̪ɛrɪs],\N,\N,1-4
5,0,testamenti,noun,testamentum,testament,nmod,7,"{Case: [genitive], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['tes', 'ta', 'men', 'ti']",[t̪ɛst̪amɛn̪t̪ɪ],\N,\N,1-4
6,0,pandit,verb,pando,pandi,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pan', 'dit']",[pan̪d̪ɪt̪],\N,\N,1-4
7,0,auctoritas,noun,auctoritas,auctorit,nsubj,6,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['auc', 'to', 'ri', 'tas']",[awkt̪ɔrɪt̪as],\N,\N,1-4
8,0,;,punctuation,;,;,punct,6,\N,\N,[';'],\N,\N,\N,1-4
0,1,et,coordinating_conjunction,et,et,cc,31,\N,{F: [pos]},['et'],[ɛt̪],\N,\N,1-4
1,1,quamuis,subordinating_conjunction,quamuis,quamu,mark,8,{<class 'NoneType'>: [None]},{F: [pos]},"['qua', 'mu', 'is']",[kʷamujs],\N,\N,1-4
2,1,nomen,noun,nomen,nomen,nsubj,8,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['no', 'men']",[n̪ɔmɛn̪],\N,\N,1-4
3,1,ipsum,determiner,ipse,ips,det,2,"{Case: [nominative], Form: [pos], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['ip', 'sum']",[ɪpsũː],\N,\N,1-4
4,1,Christi,adjective,christus,Christ,nmod,2,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ch', 'ris', 'ti']",[kʰrɪst̪ɪ],\N,\N,1-4
5,1,uetus,adjective,uetus,uet,amod,2,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'tus']",[wɛt̪ʊs],\N,\N,1-4
6,1,intra,adposition,intra,intr,case,7,\N,"{F: [pos], N: [neg], V: [neg]}","['in', 'tra']",[ɪn̪t̪ra],\N,\N,1-4
7,1,semet,pronoun,semet,seme,obl,8,"{Case: [accusative], InflClass: [lat_anom], Person: [third], PronominalType: [personal], Reflexive: [pos]}","{F: [pos], N: [pos], V: [neg]}","['se', 'met']",[sɛmɛt̪],\N,\N,1-4
8,1,continuerit,verb,contineo,continueri,advcl,31,"{Aspect: [perfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['con', 'ti', 'nu', 'e', 'rit']",[kɔn̪t̪ɪn̪ʊjɛrɪt̪],\N,\N,1-4
9,1,instrumentum,noun,instrumentum,instrument,obj,8,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['in', 'stru', 'men', 'tum']",[iːn̪st̪rʊmɛn̪t̪ũː],\N,\N,1-4
10,1,eumque,determiner,idem,e,det,9,"{Case: [accusative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['eum', 'que']",[ewmkʷɛ],\N,\N,1-4
11,1,semper,adverb,semper,sempe,advmod:tmod,12,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}","['sem', 'per']",[sɛmpɛr],\N,\N,1-4
12,1,signauerit,verb,signo,signaueri,conj,8,"{Aspect: [perfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['sig', 'nau', 'e', 'rit']",[sɪŋn̪awɛrɪt̪],\N,\N,1-4
