id,match_str,lex_ref_link_id,Lemma
4592,Dioue,10176,Diovis
4593,Iouem,10180,Jovis
4868,uertī,8877,verto
5015,dīligere,54351,diligo
5022,mihi,57137,ego
5140,iēcī,2257,jacio
5242,id,33885,is
5245,ēdimus,34238,edo
5462,foue,1244,foveo
5641,intellegere,54352,intellego
5667,nāuigāre,60423,navigo
5740,pertinēre,79788,pertineo
5774,algēre,2790,algeo
5802,diem,10212,dies
6174,erat,37157,sum
6202,facētiae,45683,facetia
6220,carpisculum,50158,carpisculus
6227,clunāculum,51624,clunaculus
6278,patre,65011,pater
6370,offendere,2171,offendo
6421,aureae,14419,aurea
6425,mūscerdae,14809,muscerda
6434,patrēs,16633,pater
6437,salis,17147,sal
6489,Furiae,33266,furia
6550,coaxare,52580,coaxo
6587,aureae,62205,aurea
6607,patres,65008,pater
6648,respondēre,75099,respondeo
6746,cane,15041,canis
6750,breuior,15887,brevis
6777,altāre,20674,altar
6803,duae,30982,duo
6823,sunt,37077,sum
6974,templa,79720,templum
6989,Venus,84780,Venus
6999,reddere,1048,reddo
7000,reddidī,1079,reddo
7027,pungere,5825,pungo
7036,reddere,9991,reddo
7038,biduum,10267,biduus
7077,ānsae,21494,ansa
7078,antārium,21555,antarium bellum
7102,biduum,28627,biduus
7126,estis,37076,sum
7184,quae,53509,quis
7199,relicuos,55098,relicuus
7316,tōnsillae,79962,tonsilla
7345,fremere,454,fremo
7406,rūbius,17068,ruber
7597,cōnsulere,69378,consulo
7715,aeuus,13014,aevum
7722,nouior,16208,novus
7726,patrem,16631,pater
7739,aeuus,20092,aevum
7885,nāsum,60398,nasus
7888,nūntium,61182,nuntius
7942,medullae,73989,medulla
7974,uidua,83555,viduus
7990,ire,2361,eo
8003,rŭdere,6213,rudo
8004,inquit,6506,inquam
8005,inquit,6517,inquam
8019,uiēre,8942,vieo
8025,dare,9990,do
8079,abolēscere,20554,abolesco
8125,eam,33917,is
8256,rōbius,67690,robus
8308,uerbera,85151,verber
8315,dedī,615,do
8324,mānsī,5178,maneo
8405,eunt,34602,eo
8415,sumus,37075,sum
8590,uenire,2049,venio
8591,uēnī,2053,venio
8593,edim,2323,edo
8594,est,2494,sum
8602,cluere,3720,cluo
8604,currere,3958,curro
8623,uult,8694,volo
8625,uetuī,8926,veto
8633,condere,10693,condo
8634,abdere,10694,abdo
8638,gnātā,11279,gnatus
8641,bouem,11833,bos
8648,sūcerdae,14810,sucerda
8706,abdere,31389,abdo
8707,condere,31390,condo
8710,eis,33883,is
8723,est,37073,sum
8733,oculi,40703,oculus
8768,utra,53753,uter
8889,operire,2287,operio
8896,moluī,5097,molo
8898,mergere,5264,mergo
8899,mergere,5265,mergo
8933,Diouem,10173,Diovis
8942,arguere,13496,arguo
8955,patris,16632,pater
9040,caurīre,47619,caurio
9052,clāuiculae,51418,clavicula
9241,uīcī,8582,vinco
9247,Ioue,10177,Jovis
9248,Ioue,10182,Jovis
9281,lītigāre,19461,litigo
9286,coalēscere,20551,coalesco
